"","name","height","weight","season","age","team.x","lg","pos","g","mp","per","ts","x3p_ar","f_tr","orb","drb","trb","ast","stl","blk","tov","usg","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","x","team.y","gp","w","l","min","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year"
"2271","Zhaire_Smith",75,199,"2019",19,"PHI","NBA","SG",6,111,9.5,0.533,0.471,0.235,2.9,9.3,6.2,12.3,0.9,1.4,13.8,16.4,0,0.1,0.1,0.048,-2.8,-2.2,-5,-0.1,1711,"PHI",6,2,4,18.4,7941.8,1.5,0.84,0.67,4.58,5.06,4.09,285,2611800,3058800,0
"2272","Zhaire_Smith",75,199,"2020",20,"PHI","NBA","SG",7,32,1.1,0.313,0.273,0.364,0,6.9,3.5,8.3,4.6,0,13.6,19.9,-0.1,0.1,-0.1,-0.118,-10.8,0.8,-10,-0.1,1712,"PHI",7,3,4,4.6,1945.7,0.37,0.19,0.18,4.27,4.2,4.34,264,3058800,3204600,0
"2276","Tony_Snell",78,213,"2017",25,"MIL","NBA","SG",80,2336,9.7,0.603,0.656,0.107,1.1,11.1,6.2,5.9,1.2,0.5,8.8,12.1,2.1,1.3,3.4,0.071,-1,-0.7,-1.7,0.2,1579,"MIL",80,42,38,29.2,10281.1,1.95,0.96,0.99,4.02,4.02,4.02,286,2368327,0,1
"2277","Tony_Snell",78,213,"2018",26,"MIL","NBA","SG",75,2053,8.5,0.578,0.631,0.113,0.5,7.5,4,6.5,1.1,1.2,7.5,10.6,1.6,0.7,2.4,0.056,-1.5,-0.8,-2.3,-0.1,1580,"MIL",74,42,32,27.4,9712.2,1.84,0.9,0.94,4.06,4.18,3.94,125,9821429,10607143,0
"2278","Tony_Snell",78,213,"2019",27,"MIL","NBA","SF",74,1304,10.7,0.585,0.565,0.116,2.4,9.4,6.1,6.7,0.9,1.2,5.7,12.9,1.6,1.6,3.2,0.117,-1,0.3,-0.7,0.4,1581,"MIL",74,55,19,17.6,6991.8,1.32,0.69,0.63,4.2,4.5,3.91,126,10607143,11392857,0
"2279","Tony_Snell",78,213,"2020",28,"DET","NBA","SF",59,1641,9.7,0.598,0.665,0.084,0.6,7.1,3.8,10.9,1,0.8,7.3,11.4,2.1,0.5,2.6,0.076,-1.1,-0.6,-1.8,0.1,1582,"DET",58,18,40,27.8,10513.2,1.99,1.12,0.87,4.06,4.39,3.71,114,11392857,12178571,0
"2280","Ray_Spalding",82,215,"2019",21,"TOT","NBA","PF",14,148,14.6,0.516,0.064,0.255,11.1,25.1,18,5.1,2.9,4.5,14.7,17.8,0,0.2,0.2,0.051,-4.3,-0.8,-5.1,-0.1,1353,"PHX",14,3,11,10.6,4405.2,0.83,0.44,0.39,4.41,4.95,3.92,464,838464,1416852,0
"2281","Omari_Spellman",80,245,"2019",21,"ATL","NBA","PF",46,805,12.4,0.516,0.525,0.184,9.2,16.3,12.7,8,1.5,2.7,10.5,14.9,0.6,0.5,1.2,0.07,-0.5,-0.7,-1.2,0.2,1279,"ATL",46,15,31,17.5,7375.7,1.4,0.76,0.64,4.46,4.87,4.04,378,1620480,1897800,0
"2282","Omari_Spellman",80,245,"2020",22,"GSW","NBA","PF",49,886,14.4,0.551,0.373,0.312,9.1,18,13.4,8.1,1.8,2.4,13.9,18.8,0.5,0.7,1.2,0.065,-0.7,-1,-1.7,0.1,1280,"MIN",49,11,38,18.1,7026.6,1.33,0.7,0.63,4.19,4.41,3.98,362,1897800,1988280,0
"2291","Lance_Stephenson",78,230,"2017",26,"TOT","NBA","SG",18,361,9.6,0.485,0.167,0.108,1.2,14.8,8,24.8,0.7,0.7,17.1,18.7,-0.2,0.2,0.1,0.008,-3.4,-0.6,-4,-0.2,1028,"IND",18,8,10,20.1,6949.2,1.32,0.71,0.6,3.94,4.24,3.64,375,1227286,0,1
"2292","Lance_Stephenson",78,230,"2018",27,"IND","NBA","SG",82,1850,12.4,0.495,0.327,0.179,3.8,22,12.9,18.6,1.2,0.8,14.6,21.6,-0.2,2,1.8,0.046,-1.5,-0.3,-1.8,0.1,1029,"IND",82,48,34,22.6,8020.4,1.52,0.8,0.72,4.06,4.23,3.89,216,4180000,4360000,0
"2293","Lance_Stephenson",78,230,"2019",28,"LAL","NBA","SG",68,1123,11.8,0.529,0.456,0.169,3,16.5,9.9,17.3,1.7,0.5,15.6,20.3,-0.1,1.2,1.1,0.049,-1.6,0.1,-1.5,0.1,1030,"LAL",68,33,35,16.5,6260.8,1.19,0.63,0.56,4.01,4.31,3.72,222,4449000,0,1
