"","name","height","weight","season","age","team.x","lg","pos","g","mp","per","ts","x3p_ar","f_tr","orb","drb","trb","ast","stl","blk","tov","usg","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","x","team.y","gp","w","l","min","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year"
"619","Seth_Curry",74,185,"2019",28,"POR","NBA","SG",74,1399,11.4,0.595,0.54,0.112,2.1,6.9,4.6,6.5,1.2,0.7,11.1,16.6,1.5,0.9,2.4,0.082,-0.4,-0.7,-1,0.3,1454,"POR",74,49,25,18.9,7493.4,1.42,0.78,0.64,4.18,4.39,3.95,277,2795000,0,1
"620","Seth_Curry",74,185,"2020",29,"DAL","NBA","SG",59,1448,16.2,0.65,0.564,0.165,1.9,8,5,12.1,1.2,0.5,9.5,18.6,3.4,0.9,4.3,0.144,2,-0.7,1.4,1.2,1455,"DAL",57,34,23,24.2,9269.5,1.76,0.97,0.78,4.06,4.35,3.75,160,7441860,7813953,0
"624","Troy_Daniels",76,205,"2017",25,"MEM","NBA","SG",67,1183,10.4,0.531,0.717,0.109,2.1,7.8,4.8,6.6,0.9,0.3,8,21.7,0.5,0.8,1.3,0.051,0.2,-1.9,-1.8,0,1608,"MEM",67,33,34,17.7,6670,1.26,0.71,0.56,4.3,4.6,3.97,245,3332940,3408520,0
"625","Troy_Daniels",76,205,"2018",26,"PHO","NBA","SG",79,1622,9.8,0.583,0.797,0.111,0.8,7.7,4.2,4.5,0.8,0.2,8.5,17.2,1.4,0,1.4,0.042,-0.5,-2.1,-2.6,-0.3,1609,"PHX",79,20,59,20.5,8272.2,1.57,0.86,0.7,4.59,5.09,4.1,234,3408520,3258540,0
"626","Troy_Daniels",76,205,"2019",27,"PHO","NBA","SG",51,760,9.8,0.558,0.705,0.084,1.9,8.9,5.3,5,1.6,0.5,8.7,17.6,0.2,0.1,0.3,0.02,-1.7,-2,-3.7,-0.3,1610,"PHX",51,13,38,14.9,6143,1.16,0.64,0.53,4.36,4.81,3.92,260,3258539,0,1
"627","Troy_Daniels",76,205,"2020",28,"TOT","NBA","SG",42,457,8.9,0.524,0.711,0.101,2.9,7.9,5.5,4.1,0.8,0.6,5.1,16.2,0.2,0.4,0.7,0.07,-1.2,-1,-2.2,0,1611,"DEN",42,32,10,10.9,3677.5,0.7,0.38,0.32,4.31,4.54,4.04,344,2028594,0,1
"628","Troy_Daniels",76,205,"2020",28,"TOT","NBA","SG",42,457,8.9,0.524,0.711,0.101,2.9,7.9,5.5,4.1,0.8,0.6,5.1,16.2,0.2,0.4,0.7,0.07,-1.2,-1,-2.2,0,1612,"DEN",42,32,10,10.9,3677.5,0.7,0.38,0.32,4.31,4.54,4.04,489,481000,0,1
"633","Anthony_Davis",82,253,"2017",23,"NOP","NBA","C",75,2708,27.5,0.58,0.088,0.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11,0.195,4.4,1.4,5.9,5.4,86,"NOP",75,31,44,36.1,12574.2,2.38,1.24,1.15,3.96,4.33,3.64,16,22116750,23775506,0
"634","Anthony_Davis",82,253,"2018",24,"NOP","NBA","PF",75,2727,28.9,0.612,0.111,0.409,7.7,24.8,16.5,10.8,2,5.6,8.6,30,8.8,4.9,13.7,0.241,5.3,1.4,6.7,5.9,87,"NOP",75,45,30,36.4,12633.8,2.39,1.24,1.15,3.96,4.31,3.64,22,23775506,25434263,0
"635","Anthony_Davis",82,253,"2019",25,"NOP","NBA","C",56,1850,30.3,0.597,0.141,0.422,9.9,27.5,18.8,19,2.2,6,8.4,29.5,6.4,3.1,9.5,0.247,7.1,2.3,9.4,5.3,88,"NOP",56,25,31,33,12060.3,2.28,1.19,1.09,3.9,4.24,3.57,24,25434263,27093019,0
"636","Anthony_Davis",82,253,"2020",26,"LAL","NBA","PF",55,1889,28.2,0.614,0.195,0.46,7.3,22.1,14.9,14.6,2.1,6.2,10.1,29.7,6.2,4.1,10.3,0.262,5.8,2.8,8.5,5,89,"LAL",55,43,12,34.4,12039.3,2.28,1.17,1.11,3.72,3.86,3.59,35,27093019,28751775,0
"637","Deyonta_Davis",83,237,"2017",20,"MEM","NBA","C",36,238,10.6,0.528,0,0.383,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12,0.1,0.4,0.5,0.097,-5,0.4,-4.6,-0.2,425,"MEM",36,23,13,6.6,2397,0.45,0.24,0.22,4.12,4.34,3.95,362,1369229,1307614,0
"638","Deyonta_Davis",83,237,"2018",21,"MEM","NBA","C",62,943,16.6,0.621,0,0.215,9,22,15.3,7.1,0.8,3.9,9.9,15.3,1.9,0.8,2.7,0.138,-0.9,-0.6,-1.5,0.1,426,"MEM",62,16,46,15.2,5748.3,1.09,0.58,0.51,4.33,4.61,4.05,390,1312611,1544951,0
"639","Deyonta_Davis",83,237,"2019",22,"ATL","NBA","C",9,118,15.6,0.682,0.045,0.455,8.7,23.7,16,5.8,1.2,3.7,10.2,10.1,0.3,0.1,0.4,0.145,-1.5,-0.6,-2,0,427,"ATL",9,3,6,13.2,5517.7,1.05,0.54,0.5,4.4,4.69,4.12,392,1544951,0,1
"646","Ed_Davis",81,225,"2017",27,"POR","NBA","PF",46,789,11.5,0.563,0,0.57,13.4,20.9,17.1,4.6,0.9,2.2,17.2,12,1,0.7,1.7,0.104,-3.2,-0.8,-4.1,-0.4,490,"POR",46,19,27,17.1,6428,1.22,0.65,0.56,4.26,4.48,4.03,149,6666667,6352531,0
"647","Ed_Davis",81,225,"2018",28,"POR","NBA","C",78,1471,15.5,0.607,0.003,0.38,13.7,28.8,21.3,3.9,1.1,2.9,16.2,12.1,2.5,2.5,5,0.164,-1.2,0.6,-0.6,0.5,491,"POR",78,48,30,18.9,7113.7,1.35,0.74,0.61,4.3,4.52,4.06,164,6352531,0,1
"648","Ed_Davis",81,225,"2019",29,"BRK","NBA","C",81,1446,17.3,0.632,0.007,0.536,15.8,34.6,25.2,6,1.2,1.8,14.6,12.7,3.3,2.5,5.7,0.191,-0.6,0.7,0,0.7,492,"BKN",81,42,39,17.9,7071.8,1.34,0.74,0.6,4.19,4.55,3.8,224,4449000,0,1
"649","Ed_Davis",81,225,"2020",30,"UTA","NBA","C",25,268,7.3,0.425,0,0.324,12.4,25.8,19.4,3.8,1.8,2.8,25.1,8.5,-0.1,0.5,0.4,0.074,-5.5,1.7,-3.9,-0.1,493,"UTA",25,15,10,10.7,4220.7,0.8,0.43,0.37,4.16,4.4,3.9,204,4767000,5005350,0
"650","Terence_Davis",76,205,"2020",22,"TOR","NBA","SG",64,1087,14.5,0.598,0.568,0.133,4.6,16.3,10.5,14.6,1.4,1.1,13.6,18.9,1.4,1.6,3,0.133,0.7,0.6,1.3,0.9,1522,"TOR",63,45,18,17.2,7141.7,1.35,0.72,0.64,4.37,4.71,4.05,460,898310,1517981,0
"659","DeMar_DeRozan",78,220,"2017",27,"TOR","NBA","SG",74,2620,24,0.552,0.08,0.419,3,13.6,8.3,20.6,1.5,0.4,9,34.3,6.7,2.4,9,0.166,4.1,-1,3,3.3,375,"TOR",73,46,27,35.5,12655.3,2.4,1.34,1.06,4.06,4.42,3.69,2,26540100,27739975,0
"660","DeMar_DeRozan",78,220,"2018",28,"TOR","NBA","SG",80,2711,21,0.555,0.203,0.396,2.5,10.4,6.5,25,1.5,0.6,9.5,29.6,6.8,2.8,9.6,0.17,3.3,-0.6,2.8,3.2,376,"TOR",80,57,23,33.9,12623.5,2.39,1.33,1.06,4.24,4.71,3.77,10,27739975,27739975,0
"661","DeMar_DeRozan",78,220,"2019",29,"SAS","NBA","SG",77,2688,19.6,0.542,0.034,0.336,2.2,16.4,9.4,27.6,1.6,1.1,11.7,27.9,3.6,2.6,6.3,0.112,1,0.1,1.1,2.2,377,"SAS",77,44,33,34.9,13516.5,2.56,1.44,1.12,4.18,4.59,3.76,15,27739975,27739975,0
"662","DeMar_DeRozan",78,220,"2020",30,"SAS","NBA","SF",61,2091,21.3,0.597,0.031,0.419,2,15.7,8.9,26,1.4,0.6,11.5,26.6,5.1,1.1,6.2,0.143,2.1,-0.5,1.6,1.9,378,"SAS",60,25,35,34.3,13205.8,2.5,1.4,1.1,4.11,4.57,3.65,25,27739975,27739975,0
"666","Dewayne_Dedmon",84,245,"2017",27,"SAS","NBA","C",76,1330,16,0.645,0,0.359,11.2,30.6,21.1,4.8,1.4,3.7,16.9,12.3,2.3,3,5.2,0.189,-1.4,2,0.6,0.9,421,"SAS",75,55,20,17.5,6444.7,1.22,0.66,0.56,4.19,4.5,3.87,262,2898000,3028410,0
"667","Dewayne_Dedmon",84,245,"2018",28,"ATL","NBA","C",62,1542,15.8,0.599,0.296,0.18,7.2,28.1,17.7,9.2,1.3,2.8,14.3,17,1.8,1.9,3.7,0.114,-0.4,0.5,0.1,0.8,422,"ATL",61,18,43,24.9,9351.2,1.77,0.97,0.81,4.29,4.65,3.92,179,6e+06,6300000,0
"668","Dewayne_Dedmon",84,245,"2019",29,"ATL","NBA","C",64,1609,16,0.602,0.413,0.215,6.7,25,15.7,8.1,2,3.8,12.7,16.7,2.1,1.9,4,0.119,-0.3,0.8,0.5,1,423,"ATL",64,24,40,25.1,9900.7,1.88,1.02,0.86,4.19,4.55,3.82,172,7200000,0,1
"669","Dewayne_Dedmon",84,245,"2020",30,"TOT","NBA","C",44,774,9.4,0.473,0.42,0.141,8.5,27.7,17.9,4.1,1.5,4.8,17.4,18.2,-1,1.1,0.1,0.006,-5.8,0,-5.8,-0.7,424,"ATL",44,17,27,17.6,6613.5,1.25,0.66,0.59,3.97,4.23,3.72,93,13333334,13333333,0
"670","Sam_Dekker",81,230,"2017",22,"HOU","NBA","PF",77,1419,13.1,0.549,0.436,0.159,7.2,14.6,10.9,7.7,1.3,1.2,8.2,14.9,1.9,1.2,3.1,0.104,0.3,-0.6,-0.2,0.6,1437,"HOU",77,52,25,18.4,7444.9,1.41,0.74,0.67,4.6,5.09,4.15,322,1720560,1794600,0
"671","Sam_Dekker",81,230,"2018",23,"LAC","NBA","PF",73,883,11.5,0.534,0.232,0.216,5.6,16,10.8,6.2,1.3,0.9,10.4,15.5,0.6,0.6,1.2,0.066,-2.3,-0.6,-2.9,-0.2,1438,"LAC",73,36,37,12.1,5036.1,0.95,0.51,0.45,4.74,5.27,4.27,323,1794600,2760095,0
"672","Sam_Dekker",81,230,"2019",24,"TOT","NBA","PF",47,788,13.3,0.519,0.242,0.18,7.2,13.5,10.2,8.3,2.3,0.7,8,16.2,0.6,0.5,1,0.064,-1,-0.7,-1.8,0.1,1439,"WAS",46,13,33,16.7,7170.6,1.36,0.74,0.62,4.56,4.99,4.14,279,2760095,0,1
"673","Malcolm_Delaney",75,190,"2017",27,"ATL","NBA","PG",73,1248,7.5,0.456,0.284,0.24,0.9,9.8,5.4,23.1,1.5,0.1,18.1,18.3,-1.2,1.3,0.1,0.005,-5.3,-0.3,-5.6,-1.1,1085,"ATL",73,37,36,17.1,6209.4,1.18,0.62,0.55,4.15,4.5,3.82,281,2500000,2500000,0
"674","Malcolm_Delaney",75,190,"2018",28,"ATL","NBA","PG",54,1014,10.6,0.519,0.435,0.323,1,10,5.5,23.4,1.7,0.5,16.9,16.9,0.4,0.6,1,0.047,-2.2,-0.4,-2.6,-0.1,1086,"ATL",53,16,37,18.7,6928.1,1.31,0.71,0.6,4.23,4.57,3.89,272,2500000,0,1
"677","Cheick_Diallo",80,220,"2017",20,"NOP","NBA","PF",17,199,16.8,0.51,0,0.276,12.1,26.7,19.4,3.2,1,2.9,7.6,20.5,0.2,0.3,0.5,0.111,-1.8,-1.9,-3.7,-0.1,230,"NOP",17,9,8,11.7,4548.7,0.86,0.44,0.42,4.41,4.79,4.07,470,543471,905249,0
"678","Cheick_Diallo",80,220,"2018",21,"NOP","NBA","PF",52,581,17,0.619,0,0.375,9.1,29.6,19.7,4.7,0.9,2.9,12,17.4,1.1,0.8,1.9,0.157,-1.3,0.1,-1.2,0.1,231,"NOP",52,29,23,11.2,4313.8,0.82,0.44,0.38,4.53,5.01,4.08,393,1312611,1544951,0
"679","Cheick_Diallo",80,220,"2019",22,"NOP","NBA","PF",64,896,17.5,0.644,0.015,0.247,8.8,29.3,19.2,5.1,1.5,3,14,16,1.4,1.2,2.6,0.14,-1.1,0.1,-0.9,0.2,232,"NOP",64,27,37,14,5853.4,1.11,0.61,0.5,4.44,4.91,3.99,396,1544951,0,1
"680","Cheick_Diallo",80,220,"2020",23,"PHO","NBA","C",44,467,16.3,0.688,0.015,0.27,6.5,24.1,15.1,7.2,1,2.3,16.4,16.7,0.8,0.5,1.3,0.129,-1.1,-0.3,-1.4,0.1,233,"PHX",44,17,27,10.6,4142.6,0.78,0.43,0.36,4.25,4.63,3.87,379,1678854,1824003,0
"684","Spencer_Dinwiddie",77,215,"2018",24,"BRK","NBA","PG",80,2306,15.9,0.527,0.517,0.32,1.8,10.2,6,35,1.4,0.7,11.8,20.3,4.3,1.4,5.7,0.118,1.3,-0.7,0.6,1.5,1484,"BKN",78,27,51,28.9,10504.7,1.99,1.12,0.87,4.13,4.51,3.72,352,1524305,1656092,0
"685","Spencer_Dinwiddie",77,215,"2019",25,"BRK","NBA","PG",68,1914,16.3,0.58,0.447,0.43,1.4,7.6,4.6,25.6,1,0.7,13.4,24.9,3.5,1.4,4.8,0.121,1.4,-0.8,0.6,1.3,1485,"BKN",68,36,32,28.1,10896.8,2.06,1.18,0.89,4.06,4.54,3.56,367,1656092,0,1
"686","Spencer_Dinwiddie",77,215,"2020",26,"BRK","NBA","SG",64,1994,17.9,0.541,0.392,0.437,1.7,9.5,5.7,35.6,1,0.9,12.5,29.2,3.4,1.7,5.1,0.123,2.6,-0.8,1.7,1.9,1486,"BKN",64,30,34,31.2,11843.4,2.24,1.28,0.97,4.04,4.6,3.48,119,10600000,11400000,0
"687","Tyler_Dorsey",77,183,"2018",21,"ATL","NBA","SG",56,974,10,0.494,0.521,0.165,1.9,12.9,7.4,12.5,0.9,0.4,8.3,20,0,0.4,0.4,0.02,-1.4,-1.5,-2.9,-0.2,1621,"ATL",56,15,41,17.4,6824.9,1.29,0.68,0.61,4.49,4.65,4.31,450,815615,1378242,0
"688","Tyler_Dorsey",77,183,"2019",22,"TOT","NBA","SG",48,698,11.2,0.509,0.5,0.231,4.2,13.7,8.9,12.4,1,0.3,8.5,19.7,0.2,0.4,0.6,0.043,-1.4,-2.1,-3.5,-0.3,1622,"MEM",48,11,37,14.5,6091.9,1.15,0.61,0.54,4.44,4.77,4.12,435,1378242,0,1
"690","Damyean_Dotson",77,202,"2018",23,"NYK","NBA","SG",44,474,11.6,0.532,0.422,0.143,2.1,17.5,9.8,9.5,1.3,0.4,9,17.3,0.3,0.3,0.6,0.06,-1.6,-0.6,-2.3,0,303,"NYK",44,11,33,10.8,4349.5,0.82,0.44,0.38,4.59,4.99,4.24,432,1100000,1378242,0
"691","Damyean_Dotson",77,202,"2019",24,"NYK","NBA","SG",73,2004,10.8,0.526,0.49,0.14,1.7,12.2,6.8,10.4,1.4,0.4,8.7,17.3,0.7,0.9,1.5,0.037,-1.7,-0.9,-2.6,-0.3,304,"NYK",72,12,60,27.5,11031.1,2.09,1.13,0.96,4.27,4.58,3.95,423,1378242,1618520,0
"692","Damyean_Dotson",77,202,"2020",25,"NYK","NBA","SG",48,836,10.9,0.527,0.562,0.114,1.2,10.6,5.8,10,1.3,0.5,6.5,16.5,0.6,0.3,0.9,0.053,-0.9,-0.5,-1.4,0.1,305,"NYK",48,14,34,17.4,6721,1.27,0.68,0.59,4.14,4.44,3.83,394,1618520,0,1
"701","Milton_Doyle",76,185,"2018",24,"BRK","NBA","SG",10,125,5.2,0.337,0.489,0.17,2.5,12.9,7.6,11.7,2.3,1.2,3.8,18.2,-0.3,0.1,-0.1,-0.052,-6.6,-0.2,-6.8,-0.1,1208,"BKN",10,2,8,12.4,4847.1,0.92,0.51,0.4,4.45,4.7,4.06,471,815615,0,1
"702","PJ_Dozier",78,205,"2018",21,"OKC","NBA","PG",2,3,-5,0.5,0,0,0,38.3,18.5,0,0,0,33.3,42.9,0,0,0,-0.404,-17.7,-2.7,-20.4,0,1330,"OKC",2,1,1,1.6,593.5,0.11,0.06,0.05,3.76,3.87,3.66,467,815615,0,1
"709","Andre_Drummond",82,279,"2017",23,"DET","NBA","C",81,2409,20.9,0.518,0.008,0.39,15.1,36.2,25.2,6,2.6,3.1,12.5,22.4,1.4,5.3,6.7,0.133,0.1,0.8,1,1.8,60,"DET",81,36,45,29.8,10624.3,2.01,1.02,0.99,4.07,4.15,3.99,19,22116750,23775506,0
"710","Andre_Drummond",82,279,"2018",24,"DET","NBA","C",78,2625,22.9,0.555,0.012,0.448,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2,4.6,5.7,10.3,0.189,1.5,1.7,3.2,3.4,61,"DET",78,37,41,33.6,11952.5,2.26,1.15,1.12,4.06,4.12,4.01,23,23775506,25434263,0
"711","Andre_Drummond",82,279,"2019",25,"DET","NBA","C",79,2647,23.4,0.555,0.036,0.392,16.8,34.7,25.4,7.2,2.5,4.4,12.4,22.9,4.1,5.9,10,0.181,1.3,0.8,2.1,2.7,62,"DET",79,40,39,33.5,12292.3,2.33,1.23,1.1,3.94,3.99,3.88,25,25434263,27093019,0
"712","Andre_Drummond",82,279,"2020",26,"TOT","NBA","C",57,1879,22,0.553,0.045,0.375,14.9,37.5,26,13.6,2.8,4.2,18.2,25.9,0.7,3.6,4.3,0.109,-0.1,1.1,1,1.4,63,"CLE",56,21,35,32.9,11928,2.26,1.2,1.06,3.86,3.97,3.74,36,27093019,28751775,0
"722","Jared_Dudley",78,237,"2017",31,"PHO","NBA","PF",64,1362,10.6,0.579,0.587,0.188,2.4,15.9,9,12.5,1.5,0.9,16.3,13.8,1.1,0.7,1.8,0.064,-1.1,0.1,-1,0.3,715,"PHX",64,17,47,21.3,7678.1,1.45,0.8,0.66,4.13,4.65,3.62,103,10470000,1e+07,0
"723","Jared_Dudley",78,237,"2018",32,"PHO","NBA","PF",48,686,8.8,0.553,0.656,0.287,1.2,13.6,7.3,15.6,1.7,1.3,16.9,10.2,0.5,0.4,0.8,0.058,-3,0.5,-2.5,-0.1,716,"PHX",48,7,41,14.3,5261.9,1,0.54,0.46,4.17,4.76,3.66,121,1e+07,9530000,0
"724","Jared_Dudley",78,237,"2019",33,"BRK","NBA","PF",59,1220,7.8,0.554,0.632,0.192,2.9,10.4,6.7,9.2,1.4,1,14.2,10.4,0.6,1.2,1.8,0.07,-2.9,1.1,-1.8,0.1,717,"BKN",59,28,31,20.7,8006.2,1.52,0.86,0.65,4.09,4.53,3.63,139,9530000,0,1
"725","Jared_Dudley",78,237,"2020",34,"LAL","NBA","SF",40,311,7.4,0.57,0.68,0.04,1.8,13,7.5,7.4,1.8,0.8,10.5,7.7,0.2,0.4,0.7,0.103,-2.7,2,-0.7,0.1,718,"LAL",40,29,11,7.8,2988.6,0.57,0.32,0.24,4.09,4.58,3.58,294,2564753,0,1
"726","Kris_Dunn",75,205,"2017",22,"MIN","NBA","PG",78,1333,8.1,0.432,0.233,0.188,2.1,12.6,7.3,19.4,3,2.3,20.8,14.2,-1.2,1.3,0.1,0.004,-4.5,1.8,-2.8,-0.3,987,"MIN",78,30,48,17.1,6711.6,1.27,0.67,0.6,4.47,4.67,4.27,226,3872520,4046760,0
"727","Kris_Dunn",75,205,"2018",23,"CHI","NBA","PG",52,1525,14.5,0.488,0.201,0.171,1.6,14.4,7.8,33.3,3.3,1.6,17.3,24.7,-1,1.9,0.9,0.027,-2.4,1.1,-1.3,0.3,988,"CHI",52,19,33,29.3,11534.9,2.18,1.16,1.02,4.48,4.89,4.09,220,4046760,4221000,0
"728","Kris_Dunn",75,205,"2019",24,"CHI","NBA","PG",46,1389,12.4,0.484,0.19,0.136,1.5,13.3,7.3,30,2.4,1.3,16.2,20.1,-0.5,1.2,0.6,0.022,-2.8,0.2,-2.7,-0.2,989,"CHI",45,14,31,30.3,12048.6,2.28,1.24,1.04,4.28,4.66,3.89,231,4221000,5348007,0
"729","Kris_Dunn",75,205,"2020",25,"CHI","NBA","PG",51,1269,12.1,0.51,0.327,0.158,1.9,14.9,8.1,19.4,3.8,1.3,15.7,14.6,0.3,2,2.3,0.085,-3.7,3.1,-0.6,0.4,990,"CHI",51,19,32,24.9,10082.1,1.91,0.99,0.92,4.31,4.59,4.05,192,5348007,0,1
"739","Kevin_Durant",82,240,"2017",28,"GSW","NBA","PF",62,2070,27.6,0.651,0.304,0.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,8,4,12,0.278,6.7,2.2,8.9,5.7,958,"GSW",62,51,11,33.4,11874.8,2.25,1.17,1.08,4.05,4.55,3.62,6,26540100,27734406,0
"740","Kevin_Durant",82,240,"2018",29,"GSW","NBA","SF",68,2325,26,0.64,0.338,0.331,1.6,19.5,11.2,25.5,1,4,12.9,30.4,7.5,2.9,10.4,0.215,6.7,0.6,7.3,5.5,959,"GSW",68,49,19,34.2,12128.8,2.3,1.21,1.09,4.06,4.55,3.63,16,2.5e+07,26250000,0
"741","Kevin_Durant",82,240,"2019",30,"GSW","NBA","SF",78,2702,24.2,0.631,0.281,0.366,1.4,17.5,9.8,26.2,1,2.6,12.3,29,8.6,2.9,11.5,0.204,5.4,0.1,5.5,5.1,960,"GSW",78,54,24,34.6,12582,2.38,1.28,1.11,3.93,4.46,3.45,11,3e+07,31500000,0
"744","Jarell_Eddie",79,218,"2017",25,"PHO","NBA","SF",5,62,9.7,0.523,0.842,0.474,1.7,10.8,6.1,0,0.8,0,4.2,16.2,0.1,0,0.1,0.054,-0.8,-1.7,-2.4,0,720,"PHX",5,0,5,12.5,4844,0.92,0.49,0.43,4.45,4.81,4.11,497,175000,0,1
"746","Carsen_Edwards",71,200,"2020",21,"BOS","NBA","SG",35,316,6.5,0.446,0.602,0.115,2.1,12.4,7.3,9.5,1.5,0.9,11.2,18.1,-0.3,0.4,0.1,0.012,-4.6,-0.3,-4.9,-0.2,215,"BOS",35,24,11,9,3586.6,0.68,0.36,0.32,4.36,4.52,4.2,438,1228026,1517981,0
"748","Henry_Ellenson",82,240,"2017",20,"DET","NBA","PF",19,146,7.5,0.444,0.547,0.125,5.8,25.6,15.3,7.2,0.3,0.6,17.2,24.7,-0.4,0.2,-0.2,-0.071,-4.1,-1.8,-5.9,-0.1,612,"DET",19,8,11,7.7,3088.7,0.58,0.32,0.26,4.56,4.94,4.17,324,1704120,1780800,0
"749","Henry_Ellenson",82,240,"2018",21,"DET","NBA","PF",38,329,10.5,0.476,0.411,0.199,3.3,24.3,13.6,9.4,0.8,0,10.2,23.8,-0.2,0.4,0.1,0.02,-2.6,-1.9,-4.4,-0.2,613,"DET",38,21,17,8.7,3660.3,0.69,0.39,0.31,4.85,5.55,4.22,325,1780800,1857480,0
"750","Henry_Ellenson",82,240,"2019",22,"TOT","NBA","PF",19,259,13.1,0.538,0.4,0.263,2,25.5,13.4,9.6,1.3,0.7,7.8,19,0.2,0.2,0.4,0.077,-1,-0.5,-1.5,0,614,"NYK",19,4,15,13.6,6021,1.14,0.65,0.49,4.71,5.23,4.16,350,1857480,2856804,0
"759","Wayne_Ellington",76,200,"2017",29,"MIA","NBA","SG",62,1500,12.6,0.565,0.71,0.077,1.3,8.5,4.9,7.1,1.2,0.2,5,17.9,2.1,1.2,3.3,0.105,0.8,-0.9,-0.1,0.7,1661,"MIA",62,35,27,24.2,9160,1.73,0.96,0.77,4.32,4.64,3.97,432,923670,0,1
"760","Wayne_Ellington",76,200,"2017",29,"MIA","NBA","SG",62,1500,12.6,0.565,0.71,0.077,1.3,8.5,4.9,7.1,1.2,0.2,5,17.9,2.1,1.2,3.3,0.105,0.8,-0.9,-0.1,0.7,1662,"MIA",62,35,27,24.2,9160,1.73,0.96,0.77,4.32,4.64,3.97,165,6e+06,6270000,0
"761","Wayne_Ellington",76,200,"2018",30,"MIA","NBA","SG",77,2041,12.5,0.588,0.827,0.111,1.3,10.7,6,5.9,1.3,0.3,6.6,17.3,2.6,1.9,4.5,0.105,1,-0.6,0.4,1.2,1663,"MIA",76,41,35,26.6,10160.2,1.92,1.07,0.86,4.36,4.7,3.99,167,6270000,0,1
"762","Wayne_Ellington",76,200,"2019",31,"TOT","NBA","SG",53,1297,11.8,0.569,0.814,0.107,1.1,7.9,4.5,8.3,2,0.4,7.7,17.2,1.3,1.4,2.6,0.097,-0.3,0.3,0,0.7,1664,"DET",53,26,27,24.5,9688,1.83,1.03,0.81,4.28,4.69,3.85,186,6270000,0,1
"763","Wayne_Ellington",76,200,"2020",32,"NYK","NBA","SG",36,558,8.5,0.509,0.822,0.075,0.7,12,6.2,11,1.1,0.7,9.1,15,0.2,0.2,0.4,0.035,-1.9,-1,-2.8,-0.1,1665,"NYK",36,9,27,15.5,5967.6,1.13,0.64,0.49,4.26,4.82,3.71,157,7804878,8195122,0
"772","Tyler_Ennis",75,194,"2017",22,"TOT","NBA","PG",53,588,10.9,0.521,0.337,0.12,1.6,6.8,4.2,21.7,2.1,0.3,17,19.1,0.1,0.3,0.4,0.031,-2.4,-0.8,-3.2,-0.2,1623,"LAL",53,28,25,11.1,4435.2,0.84,0.45,0.39,4.55,5.05,4.08,321,1733880,0,1
"773","Tyler_Ennis",75,194,"2018",23,"LAL","NBA","PG",54,683,11.1,0.473,0.25,0.129,3,11.8,7.4,21.9,2.1,1.2,13.8,17.1,0.1,0.7,0.8,0.058,-3,0.9,-2.1,0,1624,"LAL",54,22,32,12.7,5013.5,0.95,0.51,0.44,4.63,5.18,4.14,347,1524305,1656092,0
"776","Jacob_Evans",76,210,"2019",21,"GSW","NBA","SG",30,204,3.5,0.374,0.283,0.019,3.3,9.5,6.5,13.7,1.2,1.2,17.1,13.5,-0.3,0.2,-0.1,-0.03,-6.9,-1.2,-8.2,-0.3,667,"GSW",30,21,9,6.8,2884.5,0.55,0.3,0.25,4.51,4.98,4.04,370,1644240,1925880,0
"777","Jacob_Evans",76,210,"2020",22,"TOT","NBA","SG",29,418,5.5,0.436,0.291,0.216,2.3,8.6,5.3,10.8,1.3,2.6,14.6,17.5,-0.7,0.2,-0.5,-0.056,-5.7,-1.3,-7,-0.5,668,"MIN",29,8,21,14.4,6108.3,1.16,0.62,0.53,4.53,4.93,4.14,359,1925880,2017320,0
"778","Jawun_Evans",72,185,"2018",21,"LAC","NBA","PG",48,778,7.2,0.421,0.213,0.194,1.3,10.4,5.9,17.8,2.3,0.6,13.8,17.7,-0.8,0.6,-0.2,-0.011,-5.4,0.4,-5,-0.6,744,"LAC",48,24,24,16.2,6718.9,1.27,0.64,0.63,4.72,4.99,4.48,447,815615,1378242,0
"779","Jawun_Evans",72,185,"2019",22,"TOT","NBA","PG",8,65,0.1,0.214,0.214,0,1.7,19,10.2,19.7,2.2,0,30,13.2,-0.2,0,-0.2,-0.151,-10.4,0.1,-10.3,-0.1,745,"OKC",8,4,4,8.1,3426.5,0.65,0.35,0.3,4.5,4.79,4.21,428,1378242,0,1
"788","Dante_Exum",77,190,"2017",21,"UTA","NBA","PG",66,1228,8.5,0.521,0.41,0.201,2.9,9.3,6.2,14.1,0.9,0.8,16.8,18.1,-0.1,1.3,1.2,0.046,-3.2,-0.1,-3.3,-0.4,322,"UTA",66,40,26,18.6,7200.2,1.36,0.73,0.64,4.41,4.58,4.23,222,3940320,4992385,0
"789","Dante_Exum",77,190,"2018",22,"UTA","NBA","PG",14,235,16.7,0.566,0.207,0.356,2,10.5,6.3,29.7,1.7,1.1,16.6,23.1,0.3,0.3,0.7,0.133,-0.3,0.4,0.1,0.1,323,"UTA",14,10,4,16.8,6885.2,1.3,0.69,0.61,4.7,5.24,4.21,201,4992385,0,1
