"","x","name","season","team.x","gp.x","w","l","min.x","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year","team.y","age","gp.y","min.y","box_outs","off_box_outs","def_box_outs","team_reb_on_box_outs","player_reb_on_box_outs","x_box_outs_off","x_box_outs_def","x_team_reb_when_box_out","x_player_reb_when_box_out"
"965",965,"Kevin_Love","2019","CLE",22,7,15,27.2,10200,1.93,1.03,0.9,4.01,4.22,3.79,30,24119025,28900000,0,"CLE",31,56,31.8,3.8,0.4,3.5,2.3,1.4,9.8,90.2,91.4,55
"968",968,"Kevon_Looney","2017","GSW",53,44,9,8.4,3223.7,0.61,0.33,0.28,4.35,4.53,4.14,388,1182840,1233840,0,"GSW",22,66,13.8,3.3,0.4,2.9,1.7,0.7,12.4,87.6,84.7,34.4
"969",969,"Kevon_Looney","2018","GSW",66,45,21,13.8,5374.8,1.02,0.54,0.48,4.46,4.75,4.18,368,1471382,2227081,0,"GSW",23,80,18.5,5.1,0.6,4.5,2.5,0.9,12.2,87.8,89.4,32.2
"970",970,"Kevon_Looney","2019","GSW",80,56,24,18.5,7434.3,1.41,0.73,0.68,4.3,4.67,3.96,385,1567007,0,1,"GSW",24,20,13.1,2.5,0.1,2.4,1.4,0.7,6,94,96.4,50
"972",972,"Khem_Birch","2018","ORL",42,14,28,13.8,5149.9,0.98,0.52,0.45,4.32,4.54,4.09,460,815615,1378242,0,"ORL",26,50,12.9,3.8,0.5,3.3,2.1,0.8,14.1,85.9,89.6,36.5
"973",973,"Khem_Birch","2019","ORL",50,26,24,12.9,5093,0.96,0.51,0.45,4.19,4.49,3.91,420,1378242,0,1,"ORL",27,40,19.4,2.2,0.3,1.9,1.1,0.5,15.9,84.1,91.8,40.8
"975",975,"Khris_Middleton","2017","MIL",29,19,10,30.7,10842.5,2.05,1.07,0.98,4.03,4.24,3.83,56,15200000,14100000,0,"MIL",26,82,36.4,3,0.1,2.8,1.4,0.4,4.9,95.1,88.3,25.8
"976",976,"Khris_Middleton","2018","MIL",81,44,37,36.4,13019.7,2.47,1.27,1.2,4.09,4.38,3.82,81,14100000,1.3e+07,0,"MIL",27,77,31.1,1.6,0.3,1.3,0.8,0.2,20.7,79.3,79.5,24.7
"977",977,"Khris_Middleton","2019","MIL",77,56,21,31.1,12401.9,2.35,1.25,1.1,4.26,4.72,3.84,97,1.3e+07,1.3e+07,0,"MIL",28,55,30.1,1.2,0.1,1.1,0.8,0.3,7.5,92.5,88,32
"979",979,"Khyri_Thomas","2019","DET",26,13,13,7.5,3236,0.61,0.35,0.26,4.51,4.78,4.18,465,838464,838464,0,"DET",24,8,7.7,0.1,0,0.1,0,0,0,100,0,0
"981",981,"Klay_Thompson","2017","GSW",78,66,12,34,13011.7,2.46,1.3,1.16,4.36,4.95,3.85,46,16663575,17826150,0,"GSW",28,73,34.3,1.6,0.1,1.5,1.1,0.2,7,93,85.6,18.9
"982",982,"Klay_Thompson","2018","GSW",73,55,18,34.3,13177.2,2.5,1.32,1.18,4.4,4.93,3.93,54,17826150,18988725,0,"GSW",29,78,34,1.1,0.1,1.1,0.7,0.2,6.7,93.3,84.6,23.1
"984",984,"Kosta_Koufos","2017","SAC",71,27,44,20,7524.5,1.43,0.76,0.66,4.29,4.42,4.16,127,8046500,8393000,0,"SAC",29,71,19.6,5.4,1,4.3,2.8,1.3,19.3,80.7,85.9,40.2
"985",985,"Kosta_Koufos","2018","SAC",71,22,49,19.6,7439.1,1.41,0.74,0.66,4.36,4.56,4.16,136,8393000,8739500,0,"SAC",30,42,11.9,3.4,0.6,2.9,1.6,0.8,16.7,83.3,85.7,44.2
"987",987,"Kris_Dunn","2017","MIN",78,30,48,17.1,6711.6,1.27,0.67,0.6,4.47,4.67,4.27,226,3872520,4046760,0,"CHI",24,52,29.3,0.7,0,0.7,0.5,0.1,2.7,97.3,89.7,27.6
"988",988,"Kris_Dunn","2018","CHI",52,19,33,29.3,11534.9,2.18,1.16,1.02,4.48,4.89,4.09,220,4046760,4221000,0,"CHI",25,46,30.2,0.8,0,0.7,0.4,0.1,5.6,94.4,90.5,33.3
"989",989,"Kris_Dunn","2019","CHI",45,14,31,30.3,12048.6,2.28,1.24,1.04,4.28,4.66,3.89,231,4221000,5348007,0,"CHI",26,51,24.9,0.7,0,0.7,0.4,0.1,0,100,100,31.6
"992",992,"Kristaps_Porzingis","2017","NYK",66,26,40,32.8,11840.3,2.24,1.21,1.03,4.11,4.43,3.79,212,4317720,4503600,0,"NYK",22,48,32.4,4.7,0.5,4.3,2.5,0.8,10.1,89.9,88.9,28.9
"995",995,"Kyle_Anderson","2017","SAS",71,53,18,14.2,5406.1,1.02,0.56,0.46,4.34,4.75,3.92,383,1192080,2151704,0,"SAS",24,74,26.7,1.8,0.5,1.4,0.9,0.3,26.5,73.5,83.8,27.5
"996",996,"Kyle_Anderson","2018","SAS",74,41,33,26.7,10330.2,1.96,1.08,0.88,4.41,4.69,4.1,297,2151704,0,1,"MEM",25,43,29.8,2,0.4,1.6,0.8,0.4,20.5,79.5,79.5,36.4
"997",997,"Kyle_Anderson","2019","MEM",43,19,24,29.8,11668,2.21,1.19,1.02,4.16,4.27,4.03,148,8641000,9073050,0,"MEM",26,59,19.3,0.8,0.1,0.7,0.6,0.3,16.7,83.3,91.7,47.2
"999",999,"Kyle_Korver","2017","CLE",67,33,34,26.2,9805.3,1.86,0.98,0.87,4.27,4.59,3.97,189,5239437,0,1,"CLE",37,73,21.6,1.9,0,1.9,1,0.1,0,100,89.4,9.4
"1000",1000,"Kyle_Korver","2018","CLE",73,43,30,21.6,8395.5,1.59,0.83,0.76,4.44,4.78,4.12,154,7e+06,7560000,0,"UTA",38,70,19.1,1.1,0,1.1,0.6,0,0,100,85.7,6.1
"1001",1001,"Kyle_Korver","2019","UTA",69,39,30,19.1,7951.1,1.51,0.83,0.68,4.44,4.89,3.99,164,7560000,7500000,0,"MIL",39,50,16.7,0.6,0,0.6,0.4,0,3.2,96.8,95,10
"1004",1004,"Kyle_Kuzma","2018","LAL",77,34,43,31.2,12165.6,2.3,1.23,1.07,4.52,5.05,4.03,381,1423560,1689840,0,"LAL",23,70,33.1,3.8,0.3,3.5,1.7,0.4,8.2,91.8,87.8,19.4
"1005",1005,"Kyle_Kuzma","2019","LAL",70,33,37,33,13741.5,2.6,1.4,1.2,4.42,4.92,3.95,363,1689840,1974600,0,"LAL",24,54,24.6,1.9,0.1,1.7,0.9,0.4,7,93,90.7,37
"1007",1007,"Kyle_Lowry","2017","TOR",59,35,24,37.5,13163.5,2.49,1.35,1.14,4.01,4.33,3.69,86,1.2e+07,1.2e+07,0,"TOR",32,78,32.2,1.6,0.3,1.3,1,0.2,18.5,81.5,86.4,15.9
"1008",1008,"Kyle_Lowry","2018","TOR",78,57,21,32.2,11844.8,2.24,1.23,1.02,4.21,4.62,3.8,6,28703704,3.1e+07,0,"TOR",33,65,34.1,2.1,0.4,1.7,1.1,0.3,17.8,82.2,77.8,24.4
"1009",1009,"Kyle_Lowry","2019","TOR",65,47,18,34,12649,2.4,1.32,1.08,3.95,4.4,3.52,7,31200000,33296296,0,"TOR",34,52,36.6,1.9,0.1,1.8,1.4,0.3,8.1,91.9,89.3,16.7
"1011",1011,"Kyle_OQuinn","2017","NYK",79,29,50,15.6,5579.2,1.06,0.57,0.48,4.08,4.3,3.85,225,3900000,4100000,0,"NYK",28,77,18,5.6,1.4,4.2,3,1.4,25,75,87.4,42.9
"1012",1012,"Kyle_OQuinn","2018","NYK",76,27,49,17.9,6482.6,1.23,0.65,0.57,4.14,4.37,3.91,218,4087500,4256250,0,"IND",29,45,8.2,2.6,0.4,2.2,1.2,0.4,14.8,85.2,92.9,30.4
"1013",1013,"Kyle_OQuinn","2019","IND",45,27,18,8.2,3072.1,0.58,0.31,0.27,3.93,4.13,3.73,223,4449000,0,1,"PHI",30,26,9.9,1.5,0.3,1.2,0.8,0.3,20,80,90.9,40.9
"1015",1015,"Kyle_Singler","2017","OKC",32,15,17,12,4648.4,0.88,0.46,0.42,4.4,4.81,4,198,4837500,4666500,0,"OKC",30,12,4.9,0.4,0,0.4,0.3,0,0,100,100,0
"1018",1018,"Kyrie_Irving","2017","CLE",72,47,25,35.1,12428.6,2.35,1.28,1.08,4.03,4.34,3.72,35,17638063,18868625,0,"BOS",26,60,32.2,1.3,0.1,1.2,0.8,0.1,11.4,88.6,89.5,14
"1019",1019,"Kyrie_Irving","2018","BOS",57,38,19,32.2,11906.3,2.25,1.24,1.02,4.22,4.65,3.79,48,18868625,20099188,0,"BOS",27,67,33,1,0.2,0.8,0.6,0.1,18.2,81.8,85.4,16.7
"1020",1020,"Kyrie_Irving","2019","BOS",67,37,30,33,12702.7,2.41,1.3,1.1,4.11,4.6,3.64,45,20099189,21329750,0,"BKN",28,20,32.9,0.8,0.1,0.8,0.5,0,5.9,94.1,81.8,0
"1024",1024,"LaMarcus_Aldridge","2017","SAS",71,52,19,32.4,11517,2.18,1.16,1.02,4.05,4.16,3.93,27,20575005,21461010,0,"SAS",32,75,33.4,9.4,2.4,7,5,2,25.4,74.6,86.5,35.8
"1025",1025,"LaMarcus_Aldridge","2018","SAS",75,45,30,33.5,12054.6,2.28,1.23,1.06,4.11,4.23,3.97,37,21461010,22347015,0,"SAS",33,81,33.2,9.8,1.7,8.1,5.2,1.9,17.3,82.7,86.3,30.9
"1026",1026,"LaMarcus_Aldridge","2019","SAS",81,48,33,33.2,12418.2,2.35,1.26,1.09,4.05,4.25,3.84,38,22347015,2.6e+07,0,"SAS",34,53,33.1,5.5,0.5,5,3.2,1.4,8.9,91.1,92.8,40.3
"1028",1028,"Lance_Stephenson","2017","IND",18,8,10,20.1,6949.2,1.32,0.71,0.6,3.94,4.24,3.64,375,1227286,0,1,"IND",27,82,22.6,0.8,0.2,0.7,0.5,0.1,22.9,77.1,88.1,16.7
"1029",1029,"Lance_Stephenson","2018","IND",82,48,34,22.6,8020.4,1.52,0.8,0.72,4.06,4.23,3.89,216,4180000,4360000,0,"LAL",28,68,16.5,0.8,0,0.7,0.4,0.1,5.7,94.3,96.8,32.3
"1031",1031,"Lance_Thomas","2017","NYK",46,15,31,21,8196.1,1.55,0.83,0.72,4.44,4.71,4.15,159,6191000,6655325,0,"NYK",30,73,18.5,2.4,0.3,2,1,0.3,14.4,85.6,82,22.5
"1032",1032,"Lance_Thomas","2018","NYK",72,24,48,18.4,7362.6,1.39,0.74,0.66,4.58,4.76,4.39,161,6655325,7119650,0,"NYK",31,46,17,3.4,0.2,3.2,1.7,0.5,7,93,87,23.9
"1034",1034,"Landry_Shamet","2019","LAC",78,51,27,22.9,9999.1,1.89,1.05,0.84,4.63,5.2,4.07,360,1703640,1995120,0,"LAC",23,47,27.5,0.8,0,0.8,0.5,0.1,0,100,88.9,14.8
"1036",1036,"Langston_Galloway","2017","SAC",74,29,45,20.2,7536.7,1.43,0.73,0.69,4.25,4.54,3.98,191,5200000,5430000,0,"DET",26,58,14.9,0.7,0,0.7,0.4,0.1,0,100,91.3,17.4
"1037",1037,"Langston_Galloway","2018","DET",58,28,30,14.9,5860.3,1.11,0.59,0.52,4.49,4.86,4.14,160,6666667,7e+06,0,"DET",27,80,21.8,0.7,0,0.7,0.4,0,5.1,94.9,91.7,2.8
"1038",1038,"Langston_Galloway","2019","DET",80,41,39,21.8,9004.8,1.71,0.92,0.79,4.4,4.56,4.22,175,7e+06,7333333,0,"DET",28,66,25.8,0.6,0,0.6,0.4,0.1,2.7,97.3,86.2,17.2
"1040",1040,"Larry_Nance Jr","2017","LAL",63,21,42,22.9,8865.3,1.68,0.9,0.78,4.42,4.76,4.07,380,1207680,1259640,0,"CLE",25,66,21.5,6.8,1.3,5.5,3.6,1.4,19.3,80.7,86.9,32.8
"1041",1041,"Larry_Nance Jr","2018","CLE",66,32,34,21.5,8504.4,1.61,0.84,0.77,4.49,4.92,4.1,365,1471382,2272391,0,"CLE",26,67,26.8,6.7,1.2,5.5,3.3,1.6,17.8,82.2,84.2,39.5
"1043",1043,"Lauri_Markkanen","2018","CHI",68,23,45,29.7,11629.3,2.2,1.24,0.97,4.46,5.08,3.86,225,3821640,4536120,0,"CHI",22,52,32.3,3.6,0.3,3.3,1.6,0.6,7.5,92.5,84.7,32.7
"1044",1044,"Lauri_Markkanen","2019","CHI",51,16,35,32.4,12721,2.41,1.36,1.05,4.2,4.64,3.74,221,4536120,5300400,0,"CHI",23,50,29.8,2,0.1,2,1.2,0.3,2.9,97.1,92.5,23.9
"1048",1048,"LeBron_James","2017","CLE",74,51,23,37.8,12611.3,2.39,1.26,1.13,3.8,3.99,3.62,1,30963450,33285709,0,"CLE",33,82,36.9,3.3,0.4,2.9,1.8,0.9,12.2,87.8,87.9,44.8
"1049",1049,"LeBron_James","2018","CLE",82,50,32,36.9,12556.1,2.38,1.26,1.12,3.88,4.1,3.65,2,33285709,35607968,0,"LAL",34,55,35.2,2.4,0.2,2.2,1.2,0.7,9.8,90.2,94.4,55.6
"1050",1050,"LeBron_James","2019","LAL",55,28,27,35.2,12497.8,2.37,1.28,1.09,3.78,4.26,3.35,4,35654150,37436858,0,"LAL",35,60,34.9,1.6,0.2,1.5,0.9,0.5,10.2,89.8,83.3,48.5
"1052",1052,"Lonzo_Ball","2018","LAL",52,24,28,34.2,13096.7,2.48,1.3,1.18,4.45,4.92,4.03,166,6286560,7461960,0,"LAL",21,47,30.3,0.7,0.2,0.5,0.4,0.2,28.1,71.9,77.3,45.5
"1053",1053,"Lonzo_Ball","2019","LAL",47,25,22,30.3,12394.8,2.35,1.21,1.14,4.38,4.71,4.08,167,7461960,8719320,0,"NOP",22,56,32.4,0.5,0.1,0.5,0.3,0.1,10.7,89.3,78.9,31.6
"1056",1056,"Lou_Williams","2017","HOU",81,34,47,24.6,8811.3,1.67,0.89,0.77,4.08,4.46,3.71,146,7e+06,7e+06,0,"LAC",31,79,32.8,0.9,0,0.8,0.5,0,1.5,98.5,82,4
"1057",1057,"Lou_Williams","2018","LAC",79,42,37,32.8,11630.9,2.2,1.18,1.02,4.04,4.44,3.66,157,7e+06,0,1,"LAC",32,75,26.6,0.8,0,0.8,0.4,0.1,1.6,98.4,82.5,10
"1058",1058,"Lou_Williams","2019","LAC",75,47,28,26.6,10057,1.9,1.07,0.83,3.97,4.53,3.43,158,8e+06,8e+06,0,"LAC",33,60,29.3,0.5,0,0.5,0.3,0,0,100,90,10
"1060",1060,"Luc_Mbah a Moute","2017","LAC",80,49,31,22.3,8309.8,1.57,0.81,0.76,4.24,4.41,4.07,297,2203000,2302135,0,"HOU",31,61,25.6,3.3,0.3,3.1,2,0.4,7.4,92.6,91.2,16.2
"1061",1061,"Luc_Mbah a Moute","2018","HOU",61,52,9,25.6,9124.9,1.73,0.9,0.83,4.05,4.25,3.86,302,2116955,0,1,"LAC",32,4,15.3,2.8,0.3,2.5,1.5,0,9.1,90.9,100,0
"1063",1063,"Lucas_Nogueira","2017","TOR",56,33,23,19.1,6924.7,1.31,0.69,0.62,4.15,4.36,3.94,312,1921320,2947305,0,"TOR",25,49,8.5,1.4,0,1.4,0.7,0.1,2.9,97.1,92.3,15.4
"1066",1066,"Luka_Doncic","2019","DAL",72,28,44,32.2,12307.7,2.33,1.33,1,4.06,4.48,3.62,181,6560640,7683360,0,"DAL",21,54,33.3,0.3,0,0.3,0.2,0.1,5.6,94.4,100,36.4
"1067",1067,"Luke_Babbitt","2017","MIA",68,35,33,15.7,6240.8,1.18,0.67,0.52,4.55,5.09,3.99,377,1227000,0,1,"MIA",29,50,14.3,2.7,0.1,2.6,1,0.3,2.3,97.7,86.4,23.7
"1069",1069,"Luke_Kennard","2018","DET",73,34,39,20,7799.3,1.48,0.81,0.67,4.47,4.89,4.06,261,2759280,3275280,0,"DET",23,63,22.8,1.1,0,1,0.7,0.1,1.5,98.5,90.2,5.9
"1070",1070,"Luke_Kennard","2019","DET",63,30,33,22.8,8996.5,1.7,0.97,0.73,4.25,4.65,3.82,258,3275280,3827160,0,"DET",23,28,32.9,0.6,0,0.6,0.4,0.1,0,100,83.3,25
"1072",1072,"Luke_Kornet","2019","NYK",45,9,36,16.7,6623.5,1.25,0.7,0.55,4.24,4.74,3.72,379,1619000,0,1,"CHI",24,36,15.5,2.6,0.2,2.4,1.4,0.6,6.4,93.6,94.5,36.4
"1074",1074,"Luol_Deng","2017","LAL",56,18,38,26.5,10108.7,1.91,1.03,0.88,4.34,4.67,4,33,1.8e+07,17190000,0,"LAL",33,1,13.1,0,0,0,0,0,0,0,0,0
"1075",1075,"Luol_Deng","2018","LAL",1,0,1,13.1,5284,1,0.49,0.51,4.61,4.9,4.35,57,17190000,1.8e+07,0,"MIN",34,22,17.8,1.9,0.5,1.4,1.1,0.3,23.8,76.2,80,20
"1078",1078,"Malachi_Richardson","2017","SAC",22,9,13,9,3314.4,0.63,0.35,0.27,4.19,4.59,3.77,351,1439880,1504560,0,"TOR",22,26,12.4,0.6,0,0.6,0.3,0.1,0,100,81.8,18.2
"1079",1079,"Malachi_Richardson","2018","TOR",26,8,18,12.4,4506.3,0.85,0.46,0.39,4.13,4.37,3.84,356,1504560,1569360,0,"TOR",23,22,4.7,0.3,0,0.3,0.1,0,0,100,75,0
"1081",1081,"Malcolm_Brogdon","2017","MIL",75,38,37,26.4,9875.6,1.87,1.01,0.86,4.27,4.69,3.86,431,925000,955249,0,"MIL",25,48,29.9,1.5,0.1,1.5,0.8,0.1,4.1,95.9,90.2,17.1
"1082",1082,"Malcolm_Brogdon","2018","MIL",47,25,22,29.8,11227.6,2.13,1.12,1.01,4.29,4.67,3.93,402,1312611,1544951,0,"MIL",26,64,28.6,0.8,0.1,0.6,0.5,0.1,16.7,83.3,93.5,25.8
"1083",1083,"Malcolm_Brogdon","2019","MIL",64,49,15,28.6,11441.1,2.17,1.16,1,4.25,4.69,3.83,397,1544951,0,1,"IND",27,48,30.7,0.4,0.1,0.3,0.3,0.1,30,70,86.7,33.3
"1085",1085,"Malcolm_Delaney","2017","ATL",73,37,36,17.1,6209.4,1.18,0.62,0.55,4.15,4.5,3.82,281,2500000,2500000,0,"ATL",29,54,18.8,0.7,0,0.7,0.4,0.1,5.4,94.6,82.1,14.3
"1088",1088,"Malik_Beasley","2017","DEN",21,11,10,7.7,3000.5,0.57,0.3,0.27,4.42,4.85,4.03,327,1627320,1700640,0,"DEN",21,62,9.4,0.4,0.1,0.4,0.3,0.1,11.1,88.9,90.5,19
"1089",1089,"Malik_Beasley","2018","DEN",62,34,28,9.4,3659.1,0.69,0.37,0.33,4.48,4.78,4.18,332,1700640,1773840,0,"DEN",22,81,23.2,1,0,1,0.6,0.1,1.2,98.8,87.3,16.4
"1090",1090,"Malik_Beasley","2019","DEN",81,53,28,23.2,9061.3,1.72,0.92,0.79,4.14,4.41,3.87,353,1773840,2731714,0,"MIN",23,55,22,0.7,0,0.6,0.4,0.1,5.6,94.4,85.7,17.9
"1092",1092,"Malik_Monk","2018","CHA",63,26,37,13.6,5366.1,1.02,0.55,0.46,4.51,4.84,4.18,258,2904480,3447480,0,"CHA",21,73,17.2,0.3,0,0.3,0.2,0,4.2,95.8,92.9,7.1
"1093",1093,"Malik_Monk","2019","CHA",73,34,39,17.2,7048,1.33,0.74,0.6,4.34,4.79,3.89,251,3447480,4028400,0,"CHA",22,55,21.3,0.3,0,0.2,0.1,0.1,7.1,92.9,87.5,50
"1096",1096,"Manu_Ginobili","2017","SAS",68,51,17,18.6,6756.8,1.28,0.68,0.6,4.13,4.45,3.82,64,1.4e+07,0,1,"SAS",40,65,20,1.2,0.1,1.1,0.7,0.1,10.1,89.9,91.8,18.4
"1097",1097,"Marc_Gasol","2017","MEM",74,40,34,34.2,10950.1,2.07,1.13,0.95,3.65,3.82,3.46,22,21165675,22642350,0,"MEM",33,73,33,6.6,0.4,6.2,3.7,1.5,6,94,92.9,36.4
"1098",1098,"Marc_Gasol","2018","MEM",73,21,52,33,10781.3,2.04,1.13,0.92,3.74,3.98,3.47,29,22642350,24119025,0,"TOR",34,79,30.8,6.9,0.3,6.5,3.9,1.5,5,95,92.7,35.6
"1099",1099,"Marc_Gasol","2019","TOR",79,39,40,30.8,10628.1,2.01,1.1,0.91,3.67,3.89,3.43,31,24119025,25595700,0,"TOR",35,36,27.5,3.9,0.2,3.7,2.4,0.9,5.7,94.3,90.6,32.3
"1102",1102,"Marcin_Gortat","2017","WAS",82,49,33,31.2,11345.3,2.15,1.12,1.03,4.15,4.44,3.87,85,1.2e+07,12782609,0,"WAS",34,82,25.3,8.3,2.5,5.8,4.4,2,30.5,69.5,83.3,37.5
"1103",1103,"Marcin_Gortat","2018","WAS",82,43,39,25.3,9496.3,1.8,0.95,0.85,4.28,4.5,4.06,92,12782609,13565218,0,"LAC",35,47,16,4.5,1,3.4,2.2,1.1,23.4,76.6,83.3,42.9
"1105",1105,"Marco_Belinelli","2017","CHA",74,34,40,24,9417.8,1.78,1.01,0.77,4.46,4.95,3.95,157,6333333,6333333,0,"PHI",32,80,24.3,1,0.1,0.9,0.6,0.1,8.9,91.1,86.8,15.1
"1106",1106,"Marco_Belinelli","2018","PHI",79,39,40,24.3,9545.4,1.81,1,0.81,4.47,5.01,3.95,162,6606060,0,1,"SAS",33,79,23,0.6,0,0.6,0.5,0,2,98,92.3,7.7
"1107",1107,"Marco_Belinelli","2019","SAS",79,46,33,23,9565.8,1.81,1.02,0.79,4.48,5.01,3.94,187,6153846,5846154,0,"SAS",34,52,15,0.3,0,0.3,0.2,0,0,100,91.7,16.7
"1109",1109,"Marcus_GeorgesHunt","2017","ORL",5,2,3,9.5,3510.4,0.66,0.37,0.29,4.18,4.48,4.11,551,25000,0,1,"MIN",24,42,5.3,0.4,0.1,0.4,0.2,0,16.7,83.3,87.5,12.5
"1110",1110,"Marcus_Smart","2017","BOS",79,51,28,30.4,10674.5,2.02,1.07,0.95,4,4.25,3.76,233,3578880,4538020,0,"BOS",24,54,29.9,2.9,0.6,2.3,1.5,0.3,20.3,79.7,75.7,15.9
"1111",1111,"Marcus_Smart","2018","BOS",51,35,16,30.1,10837.5,2.05,1.09,0.96,4.1,4.37,3.83,208,4538020,0,1,"BOS",25,80,27.5,2.5,0.5,2,1.4,0.3,18,82,84.4,15.6
"1112",1112,"Marcus_Smart","2019","BOS",80,48,32,27.5,10524,1.99,1.04,0.96,4.09,4.36,3.83,117,11660716,12553471,0,"BOS",26,53,32.5,1.6,0.1,1.6,1,0.3,3.5,96.5,87.3,25.4
"1116",1116,"Mario_Hezonja","2017","ORL",65,20,45,14.8,5587.1,1.06,0.56,0.5,4.31,4.53,4.09,224,3909840,4078320,0,"ORL",23,75,22.1,2,0.3,1.7,0.8,0.3,12.9,87.1,76.2,29.8
"1117",1117,"Mario_Hezonja","2018","ORL",75,21,54,22.1,8266.3,1.57,0.85,0.72,4.29,4.63,3.95,219,4078320,5167231,0,"NYK",24,58,20.8,1.8,0.1,1.7,0.7,0.2,3.9,96.1,89.6,29.2
"1118",1118,"Mario_Hezonja","2019","NYK",57,12,45,20.8,8398.1,1.59,0.87,0.72,4.31,4.68,3.93,183,6500000,0,1,"POR",25,47,16.3,1,0,1,0.6,0.2,0,100,96.4,35.7
"1120",1120,"Markelle_Fultz","2018","PHI",14,11,3,18.1,7396.1,1.4,0.76,0.64,4.67,5.07,4.27,153,7026240,8339880,0,"ORL",21,19,22.5,1.5,0.1,1.4,0.7,0.1,7.1,92.9,87.5,6.3
"1121",1121,"Markelle_Fultz","2019","ORL",19,12,7,22.5,9771.8,1.85,1.01,0.84,4.64,5.05,4.23,153,8339880,9745200,0,"ORL",22,64,28.3,0.8,0,0.8,0.6,0.1,4,96,92.9,7.1
"1123",1123,"Markieff_Morris","2017","WAS",76,45,31,31.2,10423.6,1.97,1,0.98,3.8,3.95,3.66,140,7400000,8e+06,0,"WAS",28,73,27,5,1.3,3.8,2.4,1,24.8,75.2,82.1,34.4
"1124",1124,"Markieff_Morris","2018","WAS",73,37,36,27,9193.2,1.74,0.91,0.83,3.89,4.04,3.74,137,8e+06,8600000,0,"OKC",29,58,21.9,5.2,0.9,4.4,2.4,0.8,16.4,83.6,84.7,28.2
"1125",1125,"Markieff_Morris","2019","OKC",58,24,34,21.9,7977.7,1.51,0.78,0.73,3.84,4.08,3.61,150,8600000,0,1,"LAL",30,52,21.3,1.9,0.1,1.8,1.1,0.4,4,96,89.2,35.4
"1130",1130,"Marquese_Chriss","2017","PHX",80,23,57,21.3,8225.6,1.56,0.83,0.73,4.4,4.83,4,261,2941440,3073800,0,"PHX",20,72,21.2,4.2,0.8,3.4,2.3,0.8,18.9,81.1,90.5,31.8
"1131",1131,"Marquese_Chriss","2018","PHX",72,19,53,21.2,8110.6,1.54,0.83,0.7,4.35,4.8,3.92,249,3073800,3206160,0,"CLE",21,43,11.6,3,0.5,2.6,1.5,0.6,15.4,84.6,91.7,34.7
"1132",1132,"Marquese_Chriss","2019","CLE",43,17,26,11.6,4623.9,0.88,0.48,0.4,4.27,4.63,3.9,263,3206160,4078236,0,"GSW",22,59,20.3,2.2,0.2,2,1.1,0.6,10.6,89.4,87.8,51.4
"1135",1135,"Marreese_Speights","2017","LAC",82,51,31,15.7,5339.9,1.01,0.54,0.48,3.88,4.04,3.73,357,1403611,1459969,0,"ORL",30,52,13,3,0.4,2.6,1.5,0.5,12.8,87.2,86.8,29.7
"1137",1137,"Marshall_Plumlee","2017","NYK",21,6,15,8.1,3150.3,0.6,0.32,0.28,4.42,4.75,4.09,469,543471,905249,0,"MIL",25,8,6.5,3.4,1,2.4,1.3,0.6,29.6,70.4,90.9,45.5
"1140",1140,"Marvin_Williams","2017","CHA",76,32,44,30.2,11506.8,2.18,1.22,0.96,4.34,4.8,3.86,81,12250000,13168750,0,"CHA",32,78,25.7,4.4,0.5,3.8,1.8,0.5,12.4,87.6,83.5,23.5
"1141",1141,"Marvin_Williams","2018","CHA",78,33,45,25.7,9814.3,1.86,1.02,0.84,4.35,4.77,3.93,87,13168750,14087500,0,"CHA",33,75,28.4,5.1,0.3,4.9,2.4,0.5,5.2,94.8,86.3,18
"1142",1142,"Marvin_Williams","2019","CHA",75,35,40,28.4,10773.9,2.04,1.09,0.95,4.06,4.28,3.83,87,14087500,15006250,0,"MIL",33,52,19.4,2.4,0.2,2.2,1.2,0.2,8.7,91.3,81,11.4
"1145",1145,"Mason_Plumlee","2017","DEN",81,38,43,26.5,9886.9,1.87,1.01,0.86,4.26,4.58,3.94,289,2328530,0,1,"DEN",28,74,19.5,5.4,1.8,3.6,2.6,0.9,32.7,67.3,82,28.9
"1146",1146,"Mason_Plumlee","2019","DEN",82,54,28,21.1,8265,1.57,0.84,0.72,4.16,4.44,3.86,99,12917808,14041096,0,"DEN",30,53,17,1.4,0.4,1.1,0.8,0.3,25,75,95.5,36.4
"1151",1151,"Matthew_Dellavedova","2017","MIL",76,39,37,26.1,9789,1.85,1,0.85,4.28,4.74,3.83,112,9607500,9607500,0,"MIL",27,38,18.8,1.6,0,1.6,0.8,0,1.6,98.4,78.4,2.7
"1152",1152,"Matthew_Dellavedova","2018","MIL",37,21,16,18.7,7106.8,1.35,0.72,0.62,4.34,4.8,3.9,127,9607500,9607500,0,"CLE",28,48,16.9,1.4,0.1,1.3,0.8,0.2,6.1,93.9,84.4,22.2
"1153",1153,"Matthew_Dellavedova","2019","CLE",48,20,28,16.9,6695,1.27,0.71,0.56,4.2,4.65,3.72,137,9607500,9607500,0,"CLE",29,57,14.4,1.1,0.1,1,0.7,0.1,6.7,93.3,86,9.3
