"","x","name","season","team.x","gp.x","w","l","min.x","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year","team.y","age","gp.y","min.y","box_outs","off_box_outs","def_box_outs","team_reb_on_box_outs","player_reb_on_box_outs","x_box_outs_off","x_box_outs_def","x_team_reb_when_box_out","x_player_reb_when_box_out"
"659",659,"JJ_Barea","2019","DAL",38,20,18,19.8,8013.7,1.52,0.88,0.64,4.25,4.8,3.66,240,3710850,0,1,"DAL",35,26,15,0.1,0,0.1,0.1,0,0,100,75,25
"663",663,"Jabari_Parker","2017","MIL",51,22,29,33.9,12897.3,2.44,1.28,1.16,4.34,4.7,4.01,184,5374320,6782392,0,"MIL",23,31,24,2.6,0.4,2.2,1.2,0.5,16,84,78.7,29.8
"664",664,"Jabari_Parker","2018","MIL",31,16,15,24,9189.3,1.74,0.91,0.83,4.42,4.75,4.08,159,6782392,0,1,"WAS",24,64,26.9,3,0.3,2.6,1.3,0.4,10.5,88.9,87.8,23.5
"665",665,"Jabari_Parker","2019","WAS",63,18,45,27.3,11090,2.1,1.15,0.95,4.32,4.84,3.83,46,2e+07,2e+07,0,"SAC",25,33,25.8,2.2,0.5,1.7,1,0.5,22.2,77.8,86.8,44.7
"667",667,"Jacob_Evans","2019","GSW",30,21,9,6.8,2884.5,0.55,0.3,0.25,4.51,4.98,4.04,370,1644240,1925880,0,"MIN",22,29,14.4,0.5,0,0.5,0.3,0.1,0,100,100,20
"669",669,"Jae_Crowder","2017","BOS",72,48,24,32.4,11815.3,2.24,1.18,1.06,4.15,4.43,3.88,158,6286408,6796117,0,"UTA",27,80,26.1,2.2,0.2,2,1.1,0.3,8.9,90.5,93.5,28
"670",670,"Jae_Crowder","2018","UTA",80,52,28,26.1,9595.9,1.82,0.95,0.87,4.22,4.42,4.02,158,6796117,7305825,0,"UTA",28,80,27.1,2.6,0,2.6,1,0.3,1.4,98.6,90.2,29.3
"671",671,"Jae_Crowder","2019","UTA",79,48,31,27.1,10612,2.01,1.1,0.91,4.15,4.59,3.71,169,7305825,7815533,0,"MIA",29,58,29.2,1,0.1,1,0.6,0.2,5.1,94.9,94.3,40
"673",673,"Jahlil_Okafor","2017","PHI",50,15,35,22.7,8328,1.58,0.86,0.72,4.19,4.33,4.03,202,4788840,4995120,0,"BKN",22,28,12.6,3.6,0.5,3.1,2,0.8,12.9,87.1,88.9,34.9
"674",674,"Jahlil_Okafor","2018","BKN",28,7,21,12.6,4673,0.89,0.49,0.39,4.23,4.51,3.93,200,4995120,6313832,0,"NOP",23,59,15.8,4.2,0.7,3.5,2.2,0.9,17,83,89.6,37.5
