"","name","height","weight","season","age.x","team.x","lg","pos","g","mp","per","ts","x3p_ar","f_tr","orb","drb","trb","ast","stl","blk","tov","usg","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","x","team.y","gp.x","w.x","l.x","min.x","dist_miles","avg_speed","rk","salary_current","contract_year","team.x.x","age.y","gp.y","min.y","box_outs","off_box_outs","def_box_outs","team_reb_on_box_outs","player_reb_on_box_outs","x_box_outs_off","x_box_outs_def","x_team_reb_when_box_out","x_player_reb_when_box_out","team.y.y","w.y","l.y","min","pts","touches","front_ct_touches","time_of_poss","avg_sec_per_touch","avg_drib_per_touch","pts_per_touch","elbow_touches","post_ups","paint_touches","pts_per_elbow_touch","pts_per_post_touch","pts_per_paint_touch"
"134","Ron_Baker",76,220,"2017",23,"NYK","NBA","SG",52,857,7.5,0.456,0.396,0.198,1.5,10.8,6.2,17.3,2,0.8,19.2,14.8,-0.6,0.5,-0.1,-0.008,-4.5,-0.3,-4.7,-0.6,1399,"NYK",52,14,38,16.5,1.24,4.52,467,543471,1,"NYK",25,29,13.3,1,0,1,0.5,0,0,100,68.4,5.3,"NYK",11,17,13.1,2.1,19.2,12.2,0.9,2.95,2.41,0.112,0.1,0,0.4,0.5,0,1
"135","Ron_Baker",76,220,"2018",24,"NYK","NBA","SG",29,385,9.3,0.504,0.559,0.441,1.4,7.2,4.3,15.5,3.3,1.3,20.4,10,0.1,0.4,0.5,0.059,-2.8,2.4,-0.4,0.2,1400,"NYK",28,11,17,13.1,1.04,4.78,212,4328000,0,"WAS",26,15,10.1,1.3,0,1.3,0.6,0.1,0,100,90,10,"WAS",4,11,10.1,0.9,15.1,6.2,0.9,3.59,3.31,0.062,0.2,0,0.3,0.667,0,0.6
"144","Harrison_Barnes",80,225,"2017",24,"DAL","NBA","PF",79,2803,16.3,0.541,0.173,0.22,3.7,13.1,8.2,7.7,1.2,0.5,6.8,25.3,2.5,2.1,4.6,0.078,0.4,-1.2,-0.8,0.8,604,"DAL",78,31,47,35.5,2.52,4.28,20,22116750,0,"DAL",26,77,34.2,4.6,0.3,4.3,2.3,0.7,5.7,94.3,89.2,27.2,"DAL",24,53,34.2,18.9,59.2,36.3,2.5,2.49,1.41,0.318,1.2,4.5,1.7,0.684,0.49,0.896
"145","Harrison_Barnes",80,225,"2018",25,"DAL","NBA","PF",77,2634,15.8,0.539,0.276,0.259,3.1,17.1,9.9,9.9,0.9,0.5,8.1,25.2,2,1.9,3.8,0.07,0.8,-1.3,-0.5,1,605,"DAL",77,24,53,34.2,2.5,4.39,27,23112004,0,"SAC",27,77,32.9,3.3,0.1,3.3,1.7,0.5,2.3,97.7,88.7,24.5,"SAC",34,43,32.9,16.4,50.8,30.8,1.9,2.22,1.13,0.323,0.7,3.3,1.8,0.518,0.614,0.964
"146","Harrison_Barnes",80,225,"2019",26,"TOT","NBA","PF-SF",77,2533,12.8,0.55,0.429,0.271,2.4,12.7,7.5,6.7,0.9,0.4,7.9,20.9,2,1.6,3.6,0.068,-0.2,-1.2,-1.4,0.4,606,"SAC",77,34,43,32.9,2.53,4.32,33,24107258,0,"SAC",28,64,34.9,2.2,0.2,2,1.2,0.3,7.9,92.1,87.1,25.9,"SAC",28,35,34.9,14.8,46.3,29.2,1.8,2.28,1.18,0.319,1.1,3.9,2.2,0.444,0.49,1.007
"152","Will_Barton",77,175,"2017",26,"DEN","NBA","SG",60,1705,15.5,0.547,0.353,0.285,3.8,12.9,8.4,17.7,1.4,1.3,11.5,21.1,2.5,0.8,3.3,0.093,1.2,-1,0.2,1,1676,"DEN",59,30,29,28.5,1.98,4.18,236,3533333,0,"DEN",27,81,33.1,0.8,0,0.7,0.4,0.1,4.9,95.1,78.9,18.4,"DEN",46,35,33.1,15.7,58.5,33.3,3.8,3.89,3.09,0.268,0.5,0.1,1.4,0.667,0,1.009
"153","Will_Barton",77,175,"2018",27,"DEN","NBA","SG",81,2683,16.2,0.562,0.411,0.22,3,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,0.111,1.6,-0.4,1.1,2.1,1677,"DEN",81,46,35,33.1,2.28,4.21,229,3533333,1,"DEN",28,43,27.7,0.6,0,0.6,0.3,0.1,0,100,73.7,26.3,"DEN",27,16,27.7,11.5,47.2,29.7,2.5,3.23,2.59,0.243,0.5,0.2,1.1,0.6,0.444,0.75
"154","Will_Barton",77,175,"2019",28,"DEN","NBA","SF",43,1189,11,0.501,0.426,0.161,2.9,15.3,9.1,14.6,0.7,1.6,11.7,20,0.1,1.1,1.2,0.049,-1.1,-0.8,-1.8,0,1678,"DEN",43,27,16,27.6,2.04,4.17,114,11830358,0,"DEN",29,58,33,0.3,0,0.3,0.3,0.1,0,100,100,43.8,"DEN",38,20,33,15.1,55.8,32.3,3.3,3.56,2.79,0.27,1.3,0.1,1.9,0.605,0.286,0.85
"156","Keita_BatesDiop",80,229,"2019",23,"MIN","NBA","SF",30,503,9.6,0.489,0.366,0.197,3.4,14.4,8.8,4.6,1.7,2.4,8.3,14.1,0,0.4,0.3,0.032,-2.8,-0.6,-3.4,-0.2,933,"MIN",30,10,20,16.8,1.28,4.22,460,838464,0,"DEN",24,39,17.1,0.6,0,0.6,0.3,0.1,0,100,100,16.7,"DEN",10,29,17.1,6.6,20.7,13,0.6,1.84,0.93,0.319,0.5,0.1,1.3,0.833,1,1.115
"166","Jerryd_Bayless",75,200,"2017",28,"PHI","NBA","PG",3,71,8.7,0.453,0.156,0.313,4.6,14,9.3,29.4,0,0,19.8,27.7,-0.1,0,-0.1,-0.067,-2.1,-2.4,-4.4,0,783,"PHI",3,1,2,23.8,1.7,4.28,113,9424084,0,"PHI",29,39,23.7,0.6,0.1,0.6,0.3,0,12,88,76.5,0,"PHI",21,17,23.9,8,30.1,22.2,1.2,2.41,1.62,0.266,0.4,0,1,0.643,0,1.105
