"","name","height","weight","season","age.x","team.x","lg","pos","g","mp","per","ts","x3p_ar","f_tr","orb","drb","trb","ast","stl","blk","tov","usg","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","x","team.y","gp.x","w.x","l.x","min.x","dist_miles","avg_speed","rk","salary_current","contract_year","team.x.x","age.y","gp.y","min.y","box_outs","off_box_outs","def_box_outs","team_reb_on_box_outs","player_reb_on_box_outs","x_box_outs_off","x_box_outs_def","x_team_reb_when_box_out","x_player_reb_when_box_out","team.y.y","w.y","l.y","min","pts","touches","front_ct_touches","time_of_poss","avg_sec_per_touch","avg_drib_per_touch","pts_per_touch","elbow_touches","post_ups","paint_touches","pts_per_elbow_touch","pts_per_post_touch","pts_per_paint_touch"
"1363","Damian_Jones",83,245,"2018",22,"GSW","NBA","C",15,89,6.8,0.517,0,0.227,6.8,10.6,8.8,2.9,0.5,2.7,14.2,13.9,0,0.1,0.1,0.031,-5.3,-1.8,-7.1,-0.1,294,"GSW",15,7,8,5.9,0.42,4.35,406,1312611,0,"GSW",24,24,17.1,4,0.5,3.5,1.8,0.3,13.5,86.5,84.3,13.7,"GSW",15,9,17.1,5.4,21.5,13.5,0.5,1.31,0.25,0.252,1.1,0.9,4,0.654,0.045,0.958
"1364","Damian_Jones",83,245,"2019",23,"GSW","NBA","C",24,410,15.3,0.72,0,0.5,8.4,11,9.8,8.7,1.4,5.1,15.1,11.1,1,0.5,1.5,0.173,-0.6,1.7,1.1,0.3,295,"GSW",24,15,9,17.1,1.29,4.33,401,1544951,0,"ATL",24,55,16.1,2.4,0.5,2,1.3,0.6,19.4,80.6,89,37.8,"ATL",15,40,16.1,5.6,19.6,10.9,0.5,1.44,0.33,0.283,1.2,0.1,4.4,0.493,0.25,0.996
"1380","Tyus_Jones",72,196,"2017",20,"MIN","NBA","PG",60,774,13.8,0.523,0.403,0.238,1.5,8.7,5,28,3.1,0.6,16,13.6,1,0.6,1.5,0.096,-0.6,0.7,0.2,0.4,1643,"MIN",60,23,37,12.9,0.93,4.35,366,1339680,0,"MIN",22,82,17.9,0.5,0,0.5,0.3,0.1,2.5,97.5,81.5,18.5,"MIN",47,35,17.9,5.1,38.3,12.8,3.1,4.81,4.28,0.132,0.2,0,0.3,0.316,0,0.769
"1381","Tyus_Jones",72,196,"2018",21,"MIN","NBA","PG",82,1467,14.1,0.572,0.393,0.247,1.2,9.2,5.2,21.2,3.2,0.4,14,12.7,2.3,1.2,3.6,0.117,-0.8,1.7,0.8,1.1,1644,"MIN",82,47,35,17.9,1.34,4.5,362,1471382,0,"MIN",23,68,22.9,0.3,0,0.3,0.2,0,0,100,82.4,5.9,"MIN",29,39,22.9,6.9,54.4,17.4,4.5,4.92,4.44,0.127,0.2,0,0.3,0.75,0,0.727
"1382","Tyus_Jones",72,196,"2019",22,"MIN","NBA","PG",68,1560,13.7,0.491,0.283,0.155,1.6,7.7,4.6,28.3,2.5,0.3,9,14.1,2.1,0.9,3,0.091,-0.9,0.3,-0.6,0.6,1645,"MIN",68,29,39,22.9,1.75,4.28,297,2444053,1,"MEM",24,65,19,0.2,0,0.2,0.1,0,0,100,88.9,22.2,"MEM",32,33,19,7.4,43.7,16.4,3.2,4.45,3.96,0.17,0.2,0,0.2,0.857,0,0.857
"1389","Cory_Joseph",75,200,"2017",25,"TOR","NBA","PG",80,2003,13.2,0.518,0.204,0.185,2.9,10.4,6.6,20,1.7,0.6,13.1,18.4,1.7,1.7,3.4,0.082,-0.9,-0.4,-1.3,0.4,269,"TOR",79,48,31,25,1.91,4.6,143,7330000,0,"IND",26,82,27,1.4,0.1,1.4,0.8,0.1,6.7,93.3,85.4,12.2,"IND",48,34,27,7.9,51.6,22,3.8,4.37,4.52,0.153,0.5,0,0.5,0.59,0.5,0.553
"1390","Cory_Joseph",75,200,"2018",26,"IND","NBA","PG",82,2210,11,0.503,0.315,0.156,2,11.4,6.7,16.1,1.8,0.7,11.9,14.8,1.2,2,3.1,0.068,-1.8,0.3,-1.5,0.3,270,"IND",82,48,34,26.9,2.07,4.64,143,7630000,0,"IND",27,82,25.2,1.3,0,1.3,0.7,0.1,0.9,99.1,83.6,9.6,"IND",48,34,25.2,6.5,51.5,19.6,3.9,4.56,4.79,0.127,0.3,0.1,0.6,0.292,0,0.404
"1391","Cory_Joseph",75,200,"2019",27,"IND","NBA","PG",82,2063,11,0.474,0.312,0.078,2.1,12.6,7.5,20.7,2.2,0.9,12.4,13.7,0.5,2.9,3.5,0.081,-2.1,1.7,-0.4,0.9,271,"IND",82,48,34,25.2,2.03,4.49,161,7945000,1,"SAC",28,64,24,0.7,0,0.7,0.4,0.1,4.3,95.7,82.4,14.7,"SAC",28,35,24.1,6.4,46.6,17.8,3.7,4.73,4.81,0.137,0.4,0.1,0.7,0.25,0.333,0.581
"1395","Frank_Kaminsky",84,240,"2017",23,"CHO","NBA","C",75,1954,13,0.502,0.441,0.195,3.2,15.8,9.5,13.5,1.2,1.5,8,21.8,0.4,1.9,2.3,0.056,-0.5,-0.6,-1.2,0.4,535,"CHA",75,31,44,26.1,1.89,4.36,271,2730000,0,"CHA",25,79,23.2,4.3,0.5,3.8,2.1,0.5,12.1,87.9,87.1,20.1,"CHA",35,44,23.2,11.1,47.3,26.6,1.3,1.64,0.6,0.233,2,1.2,1.3,0.443,0.598,0.835
"1396","Frank_Kaminsky",84,240,"2018",24,"CHO","NBA","PF",79,1835,14.4,0.545,0.383,0.271,2.7,14.5,8.5,11,1,0.9,7.6,20.5,2.3,1.3,3.6,0.094,0.6,-0.8,-0.2,0.8,536,"CHA",79,35,44,23.2,1.67,4.33,259,2847600,0,"CHA",26,47,16.1,4.5,0.3,4.2,2.4,0.6,7.5,92.5,90.5,23,"CHA",22,25,16.1,8.6,33.5,21,0.8,1.52,0.56,0.257,1.2,0.7,1.8,0.719,0.875,0.93
"1397","Frank_Kaminsky",84,240,"2019",25,"CHO","NBA","C",47,755,16.8,0.587,0.466,0.359,5.5,18.1,11.7,12.9,0.8,1.4,10.6,22.1,1.3,0.5,1.8,0.114,1.4,-1.1,0.3,0.4,537,"CHA",47,22,25,16.1,1.21,4.22,243,3627842,1,"PHX",27,32,22.4,4.3,0.3,3.9,2.2,0.8,8,92,89.7,30.8,"PHX",12,19,22.1,10.6,45.6,28.2,1.2,1.54,0.52,0.234,4.1,1.5,3.9,0.378,0.66,0.758
"1406","Sean_Kilpatrick",76,210,"2017",27,"BRK","NBA","SG",70,1754,13.1,0.546,0.419,0.329,1.3,15.4,8.4,14.6,1.2,0.3,13.8,23.8,0.4,1.1,1.4,0.04,-0.9,-1.4,-2.3,-0.1,1441,"BKN",69,14,55,25.1,1.79,4.29,424,980431,0,"CHI",28,52,12.3,0.4,0,0.3,0.3,0.1,5.3,94.7,100,46.7,"CHI",22,30,12.3,6.3,17.9,11.8,0.9,3.09,2.53,0.354,0.3,0,0.3,0.625,0,0.692
"1409","Maxi_Kleber",82,240,"2018",26,"DAL","NBA","PF",72,1206,13.4,0.576,0.414,0.191,6.3,15.6,10.8,6.4,1.1,3.5,8.2,13.7,1.6,1.2,2.8,0.113,-1,0.5,-0.5,0.5,1162,"DAL",72,20,52,16.8,1.18,4.25,456,815615,0,"DAL",27,71,21.2,4.3,0.6,3.8,2.2,0.8,12.8,87.2,88.6,30.9,"DAL",30,41,21.2,6.8,35.7,20.1,0.8,1.36,0.33,0.191,0.6,0.6,2.1,0.326,0.717,0.664
"1410","Maxi_Kleber",82,240,"2019",27,"DAL","NBA","PF",71,1502,13.1,0.579,0.565,0.192,6.5,16.9,11.7,6.8,1.2,4.4,11.4,13.5,1.6,1.8,3.5,0.111,-0.8,1.2,0.4,0.9,1163,"DAL",71,30,41,21.2,1.57,4.14,431,1378242,1,"DAL",28,66,25.7,3.7,0.3,3.4,2.2,0.7,7,93,91.7,28,"DAL",37,27,25.6,9.3,36.6,21.2,0.7,1.2,0.3,0.254,0.8,0.1,2.9,0.833,0.5,0.893
"1418","Brandon_Knight",74,195,"2019",27,"TOT","NBA","PG",39,736,8.9,0.484,0.496,0.131,1.4,7.7,4.4,14.4,1.4,0.2,9.8,18.1,-0.1,0,0,-0.002,-3.5,-2,-5.4,-0.6,169,"CLE",39,17,22,18.9,1.35,4.23,84,14631250,0,"DET",28,25,18.5,0.6,0,0.6,0.4,0,0,100,81.8,9.1,"DET",4,21,18.5,7.3,35.6,14.2,2.8,4.72,4.73,0.206,0,0,0.2,0,2,0.5
"1424","Luke_Kornet",86,240,"2019",23,"NYK","NBA","PF",46,784,14.8,0.531,0.682,0.163,3.6,14.6,9,10.5,1.7,4.5,7.6,17.9,0.6,0.7,1.4,0.083,1.4,0.7,2.1,0.8,1072,"NYK",45,9,36,16.7,1.25,4.24,379,1619000,1,"CHI",24,36,15.5,2.6,0.2,2.4,1.4,0.6,6.4,93.6,94.5,36.4,"CHI",11,25,15.5,6,21.3,14.9,0.5,1.48,0.62,0.281,1.1,0.2,2.4,0.487,1,0.954
"1439","Kyle_Korver",79,212,"2017",35,"TOT","NBA","SG",67,1753,12.1,0.635,0.697,0.082,0.5,11,5.8,9.4,1,1,11.5,15.2,2.3,1.3,3.7,0.1,0.5,-0.5,0,0.9,999,"CLE",67,33,34,26.2,1.86,4.27,189,5239437,1,"CLE",37,73,21.6,1.9,0,1.9,1,0.1,0,100,89.4,9.4,"CLE",43,30,21.6,9.2,21.5,16.3,0.5,1.37,0.52,0.429,0.2,0,0.5,0.588,1,0.8
"1440","Kyle_Korver",79,212,"2018",36,"CLE","NBA","SG",73,1574,13.4,0.652,0.777,0.149,0.7,10.9,5.9,8,1,1.5,9.6,16,2.8,0.6,3.4,0.104,1.5,-1.2,0.2,0.9,1000,"CLE",73,43,30,21.6,1.59,4.44,154,7e+06,0,"UTA",38,70,19.1,1.1,0,1.1,0.6,0,0,100,85.7,6.1,"UTA",39,30,19.1,8.7,22,16.8,0.6,1.55,0.88,0.393,0.3,0,0.2,0.611,0,0.615
"1441","Kyle_Korver",79,212,"2019",37,"TOT","NBA","SG-PF",70,1334,11.2,0.582,0.72,0.151,0.7,12.4,6.6,8.9,0.9,0.7,10.3,18.5,1,1.3,2.3,0.082,-0.2,-0.3,-0.5,0.5,1001,"UTA",69,39,30,19.1,1.51,4.44,164,7560000,0,"MIL",39,50,16.7,0.6,0,0.6,0.4,0,3.2,96.8,95,10,"MIL",39,10,16.6,6.7,18.9,13.9,0.5,1.6,0.71,0.352,0.1,0,0.2,0.4,0,0.333
"1452","Kosta_Koufos",84,245,"2017",27,"SAC","NBA","C",71,1419,13.8,0.56,0.003,0.158,9.7,23,16.4,5.3,1.3,3.1,12.7,15.3,1.2,1.4,2.6,0.089,-2.1,-0.4,-2.5,-0.2,984,"SAC",71,27,44,20,1.43,4.29,127,8046500,0,"SAC",29,71,19.6,5.4,1,4.3,2.8,1.3,19.3,80.7,85.9,40.2,"SAC",22,49,19.6,6.7,34.9,19.3,1,1.7,0.41,0.192,4.3,1.4,5.4,0.362,0.438,0.813
"1453","Kosta_Koufos",84,245,"2018",28,"SAC","NBA","C",71,1391,17.5,0.566,0,0.19,11.7,27.6,19.3,9.7,1.7,2.2,10.4,15.2,2.3,1.5,3.9,0.134,-0.2,-0.2,-0.4,0.6,985,"SAC",71,22,49,19.6,1.41,4.36,136,8393000,0,"SAC",30,42,11.9,3.4,0.6,2.9,1.6,0.8,16.7,83.3,85.7,44.2,"SAC",21,21,11.9,3.7,20.6,11.3,0.6,1.65,0.38,0.181,2.2,1.2,3.7,0.385,0.42,0.605
"1455","Rodions_Kurucs",81,228,"2019",20,"BRK","NBA","SF",63,1294,11,0.545,0.41,0.205,4.6,15.4,10,6,1.5,1.5,13.6,18.4,0.1,1.5,1.6,0.059,-2.9,0.3,-2.6,-0.2,1387,"BKN",63,36,27,20.5,1.7,4.65,380,1618320,0,"BKN",22,39,12.8,1.3,0.1,1.3,0.7,0.1,3.9,96.1,90.3,19.4,"BKN",13,26,12.8,4.2,18.2,9.4,0.5,1.73,0.86,0.228,0.3,0.1,1.1,0.6,0,0.905
"1457","Skal_Labissiere",82,216,"2017",20,"SAC","NBA","PF",33,612,16.8,0.577,0.037,0.339,9.7,20.7,15.3,7.5,1.3,1.9,12.9,21.3,0.7,0.5,1.3,0.099,-0.9,-1.4,-2.3,0,1477,"SAC",33,9,24,18.5,1.32,4.28,387,1188840,0,"SAC",22,60,20.7,4.7,1.1,3.6,2,0.8,22.9,77.1,81.6,32.7,"SAC",19,41,20.7,8.7,33.9,21.1,1,1.84,0.52,0.258,4,3.8,4.2,0.315,0.408,0.693
"1458","Skal_Labissiere",82,216,"2018",21,"SAC","NBA","PF",60,1240,14.3,0.513,0.111,0.258,8.7,18.1,13.2,9.1,1,3.7,12.5,21.1,0.4,1,1.4,0.054,-1.9,-0.8,-2.7,-0.2,1478,"SAC",60,19,41,20.7,1.51,4.42,398,1312611,0,"POR",23,22,8,2.1,0.2,1.9,0.8,0.2,8.7,91.3,78.3,21.7,"POR",12,10,8,3,11.3,5.5,0.4,1.93,0.58,0.27,0.4,1,1.3,0.667,0.5,0.929
"1459","Skal_Labissiere",82,216,"2019",22,"TOT","NBA","PF",22,176,12.6,0.593,0.265,0.347,5.4,20.3,12.8,8.6,1.4,2.8,16.3,16,0.1,0.2,0.3,0.089,-2.9,-0.1,-3,0,1479,"POR",22,12,10,8,0.63,4.31,389,1544951,0,"ATL",24,33,17.2,2.7,0.5,2.2,1.4,0.4,16.9,83.1,88.9,25.9,"ATL",14,19,17.2,5.8,22.4,13.5,0.6,1.63,0.37,0.257,2.2,0.9,4.2,0.554,0.2,0.755
"1465","Jeremy_Lamb",77,185,"2017",24,"CHO","NBA","SG",62,1143,17,0.55,0.297,0.263,2.9,22.6,12.7,11.3,1.2,1.8,6.8,23.2,1.4,1.3,2.7,0.115,0.5,0.1,0.5,0.7,770,"CHA",62,27,35,18.4,1.35,4.42,153,6511628,0,"CHA",26,80,24.6,0.5,0.1,0.5,0.4,0.1,9.8,90.2,100,29,"CHA",36,44,24.6,12.9,36,26.5,2,3.38,2.42,0.358,0.7,0.1,1,0.943,0.5,0.91
"1466","Jeremy_Lamb",77,185,"2018",25,"CHO","NBA","SG",80,1967,17,0.559,0.305,0.25,2.7,15.4,8.9,15.4,1.5,1.4,9.1,22.4,3,1.9,4.9,0.12,1.3,0.2,1.6,1.8,771,"CHA",80,36,44,24.6,1.81,4.42,155,7e+06,0,"CHA",27,79,28.5,0.7,0.1,0.6,0.4,0.2,9.4,90.6,85,32.5,"CHA",38,41,28.5,15.3,42.2,26.7,2.1,3.06,2.34,0.363,0.5,0.1,1.4,0.833,0.857,0.815
"1467","Jeremy_Lamb",77,185,"2019",26,"CHO","NBA","SG",79,2250,17.3,0.552,0.337,0.266,3.1,18.1,10.4,11.9,1.9,1.2,6.8,22.5,3.3,2,5.3,0.113,1.2,0,1.2,1.8,772,"CHA",79,38,41,28.5,2.2,4.35,165,7488372,1,"IND",28,46,28.1,0.3,0,0.3,0.2,0,14.3,85.7,100,25,"IND",27,19,28.1,12.5,43.9,27.7,2.2,2.95,1.92,0.286,0.4,0.1,0.9,0.944,0,1.195
"1477","Joffrey_Lauvergne",83,220,"2017",25,"TOT","NBA","PF-C",70,980,12.6,0.509,0.292,0.217,8,20.2,14.1,10.8,1.3,0.5,13.2,18.5,0.4,1.1,1.5,0.075,-1.5,-0.7,-2.2,-0.1,817,"CHI",70,41,29,14,0.98,4.19,323,1709720,1,"SAS",26,55,9.7,3.3,1.1,2.2,1.9,0.8,34.1,65.9,81.6,37.6,"SAS",30,25,9.7,4.1,15.1,9.8,0.5,1.83,0.7,0.271,2,1.1,3.5,0.389,0.467,0.821
"1488","Jake_Layman",80,209,"2017",22,"POR","NBA","SF",35,249,4.9,0.404,0.573,0.191,2.7,8,5.3,6.2,1.8,1,10.2,19,-0.4,0.1,-0.3,-0.054,-5.2,-1.2,-6.4,-0.3,678,"POR",35,16,19,7.1,0.52,4.43,456,6e+05,0,"POR",24,35,4.6,0.3,0.1,0.3,0.2,0.1,16.7,83.3,87.5,25,"POR",22,13,4.6,1,5.3,4.1,0.2,1.75,0.88,0.184,0.1,0.1,0.2,0,0,0.714
"1489","Jake_Layman",80,209,"2018",23,"POR","NBA","SF",35,160,4.9,0.352,0.426,0.064,2.8,8.1,5.5,9.4,1.9,2,9.4,14.6,-0.3,0.2,-0.1,-0.021,-4.8,0.4,-4.3,-0.1,679,"POR",35,22,13,4.6,0.35,4.57,399,1312611,0,"POR",25,71,18.7,1.3,0.3,1,0.6,0.2,20,80,84,26,"POR",46,25,18.7,7.6,21.8,14.7,0.6,1.77,0.91,0.35,0.6,0.3,2,0.5,0.913,1.083
"1490","Jake_Layman",80,209,"2019",24,"POR","NBA","SF",71,1327,13.5,0.594,0.427,0.167,4.6,12.6,8.7,5.6,1.1,1.8,9.2,15.9,1.9,1.2,3.1,0.111,-0.1,-0.3,-0.5,0.5,680,"POR",71,46,25,18.7,1.49,4.48,394,1544951,1,"MIN",26,23,22,2.6,0.2,2.4,1.1,0.3,6.7,93.3,83.9,22.6,"MIN",11,12,22,9.1,24,16.3,0.8,2.02,1.19,0.38,0.3,0.2,1.4,1.333,0.5,1.188
"1503","Courtney_Lee",77,215,"2017",31,"NYK","NBA","SG",77,2459,12.2,0.559,0.382,0.139,2.3,9,5.7,10.6,1.6,0.8,8.5,14.4,3.1,1.1,4.2,0.081,-0.7,-0.2,-0.9,0.7,273,"NYK",77,29,48,31.9,2.26,4.25,92,11242000,0,"NYK",32,76,30.4,0.9,0,0.8,0.5,0.1,1.5,98.5,88.1,23.8,"NYK",26,49,30.4,11.9,38.5,29.3,1.8,2.78,1.91,0.309,0.9,0,0.9,0.515,2,0.8
"1504","Courtney_Lee",77,215,"2018",32,"NYK","NBA","SG",76,2310,13,0.564,0.368,0.164,1.4,9.3,5.4,11.3,1.7,0.6,9.4,16.9,2.7,1.2,3.9,0.082,-0.1,-0.2,-0.3,1,274,"NYK",75,26,49,30.4,2.19,4.33,103,11747890,0,"DAL",33,34,12.6,0.4,0,0.4,0.3,0,7.1,92.9,91.7,8.3,"DAL",6,28,12.6,4,14,10.2,0.6,2.67,1.96,0.285,0.4,0,0.3,0.692,0,0.778
"1505","Courtney_Lee",77,215,"2019",33,"TOT","NBA","SG",34,428,10.3,0.492,0.426,0.163,2.2,11.2,6.7,12.8,2.4,0.6,9.2,15.3,0.1,0.4,0.4,0.05,-3.4,0.8,-2.5,-0.1,275,"DAL",34,6,28,12.6,0.96,4.28,107,12253780,0,"DAL",34,24,14.4,0.7,0,0.7,0.4,0.1,0,100,76.9,15.4,"DAL",14,9,14.5,4.4,13.9,9.2,0.6,2.58,1.79,0.319,0,0,0.3,0,0,0.75
"1515","Alex_Len",84,250,"2017",23,"PHO","NBA","C",77,1560,15,0.553,0.026,0.449,10.6,25.3,17.8,4.2,1.2,5.1,15.5,17.6,1.2,1.7,3,0.091,-2.4,0.1,-2.3,-0.1,35,"PHX",75,20,55,20.4,1.41,4.17,201,4823621,1,"PHX",25,69,20.2,7.6,1.6,6,3.7,1.6,20.4,79.2,87.3,37.8,"PHX",20,49,20.2,8.5,32.1,19,0.8,1.47,0.35,0.265,4,1.8,6.3,0.373,0.402,0.873
"1517","Alex_Len",84,250,"2019",25,"ATL","NBA","C",77,1544,17.2,0.575,0.315,0.333,10.5,18.5,14.4,8.6,0.8,3.9,11.5,22.1,2.2,1,3.2,0.1,0,-1.3,-1.2,0.3,36,"ATL",77,28,49,20.1,1.52,4.23,227,4350000,0,"SAC",26,49,18.3,3.4,0.3,3,1.7,0.9,9.1,90.9,87.6,43.3,"SAC",15,33,18.3,8.2,32.6,17.8,0.8,1.54,0.54,0.251,2.4,0.7,5.6,0.5,0.618,0.974
"1523","Meyers_Leonard",84,260,"2017",24,"POR","NBA","PF",74,1222,8.9,0.507,0.563,0.106,2.4,19.1,10.8,8.4,0.5,1.8,8.1,15.5,0.5,0.8,1.4,0.053,-2.6,-0.6,-3.3,-0.4,1166,"POR",74,37,37,16.5,1.06,3.86,115,9213484,0,"POR",26,33,7.7,3.1,0.4,2.7,1.4,0.5,12.9,87.1,85.5,30.9,"POR",17,16,7.7,3.4,14,8.5,0.4,1.76,0.36,0.242,1.1,0.3,1.5,0.676,1,0.843
"1524","Meyers_Leonard",84,260,"2018",25,"POR","NBA","C",33,254,17.8,0.676,0.333,0.141,5.2,24.7,15,10.6,1.4,0,10.8,16.1,0.7,0.3,1.1,0.2,1,0.9,2,0.3,1167,"POR",33,17,16,7.7,0.53,4.13,124,9904495,0,"POR",27,61,14.4,4.5,0.5,4,2.5,0.7,10.2,89.8,92,27.6,"POR",35,26,14.4,5.9,25.4,15.6,0.7,1.71,0.38,0.23,1.1,0.6,2.4,0.338,0.308,0.866
"1525","Meyers_Leonard",84,260,"2019",26,"POR","NBA","C",61,878,15.8,0.675,0.459,0.211,6.1,21.8,14.2,11.8,0.7,0.8,14,14.8,2.1,0.9,3,0.164,1.5,0.3,1.8,0.8,1168,"POR",61,35,26,14.4,1,3.89,127,10595506,0,"MIA",28,49,20.1,4.5,0.5,4,2.6,0.9,10.1,89.9,87,30.8,"MIA",34,15,20.1,6.1,29.5,16.3,0.9,1.75,0.34,0.207,1.3,0.6,1.8,0.306,0.448,0.921
"1532","Jon_Leuer",82,228,"2017",27,"DET","NBA","PF",75,1944,14.2,0.551,0.259,0.175,5.5,17.5,11.3,8.6,0.8,1.1,8.7,17.3,2.5,2,4.5,0.112,-0.4,0.3,-0.1,1,832,"DET",75,34,41,25.9,1.92,4.44,100,10991957,0,"DET",29,8,17.1,5.1,0.3,4.9,2.6,0.5,4.9,95.1,84,16,"DET",5,3,17.1,5.4,28.6,15.9,0.8,1.72,0.56,0.188,2.6,0.8,2.6,0.095,0.333,0.857
"1533","Jon_Leuer",82,228,"2018",28,"DET","NBA","PF",8,136,8.9,0.505,0.083,0.417,5.6,20.7,13,5.3,0.4,2,14.1,16.1,0,0.1,0.1,0.05,-4.3,-0.3,-4.6,-0.1,833,"DET",8,5,3,17.1,1.36,4.78,118,10497319,0,"DET",30,41,9.8,2.6,0.3,2.3,1.3,0.4,11.1,88.9,83.3,25.8,"DET",16,25,9.8,3.8,14.4,7.7,0.4,1.67,0.47,0.264,0.9,0.7,2.1,0.447,0.63,1.034
"1538","DeAndre_Liggins",78,209,"2017",28,"TOT","NBA","SG",62,777,7.5,0.476,0.324,0.282,2.9,12.2,7.7,9.2,3,1.5,20.8,11.6,-0.4,0.9,0.5,0.031,-4.5,2.4,-2.2,0,366,"DAL",62,40,22,12.5,0.93,4.48,409,1015696,0,"NOP",30,58,12.5,0.4,0.1,0.3,0.2,0,13.6,86.4,87.5,12.5,"NOP",34,23,12.4,1.8,12.3,8.5,0.5,2.47,1.75,0.144,0.1,0,0.2,0,3,0.889
"1544","Damian_Lillard",74,195,"2017",26,"POR","NBA","PG",75,2694,24.1,0.586,0.389,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,8.8,1.5,10.4,0.185,6.1,-1.1,5,4.8,297,"POR",75,38,37,35.9,2.49,4.17,10,24328425,0,"POR",27,73,36.6,0.7,0,0.6,0.5,0,6.3,93.8,89.5,7.9,"POR",44,29,36.6,26.9,82.2,30.1,7.9,5.75,5.33,0.327,0.5,0,0.8,0.615,1,0.695
"1545","Damian_Lillard",74,195,"2018",27,"POR","NBA","PG",73,2670,25.2,0.594,0.445,0.38,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,9.9,2.7,12.6,0.227,7,0.3,7.2,6.3,298,"POR",73,44,29,36.6,2.53,4.16,13,26153057,0,"POR",28,80,35.5,0.3,0,0.3,0.3,0,0,100,90.9,13.6,"POR",51,29,35.5,25.8,81.2,29.8,7.7,5.7,5.23,0.318,0.5,0.1,1,0.558,1,0.593
"1546","Damian_Lillard",74,195,"2019",28,"POR","NBA","PG",80,2838,23.7,0.588,0.419,0.335,2.6,11.1,7,30.6,1.5,1,10.8,29.3,9.7,2.4,12.1,0.205,6.6,-0.3,6.4,6,299,"POR",80,51,29,35.5,2.52,3.99,14,27977689,0,"POR",29,58,36.9,0.3,0,0.3,0.3,0.1,10,90,93.8,43.8,"POR",26,31,36.9,28.8,83.4,24.4,8.6,6.22,5.72,0.346,0.4,0.1,0.7,0.75,0,0.548
"1554","Jeremy_Lin",75,200,"2017",28,"BRK","NBA","PG",36,883,19.2,0.566,0.39,0.353,1.3,14.7,8.1,35.5,2.3,1.2,15.7,26.6,1.3,0.8,2.1,0.116,1.9,0.1,2,0.9,774,"BKN",35,13,22,24.5,1.8,4.41,90,11483254,0,"BKN",29,1,25.2,1,0,1,1,0,0,100,100,0,"BKN",0,1,25.2,18,50,22,4.3,5.11,5.22,0.36,1,0,1,2,0,2
"1555","Jeremy_Lin",75,200,"2018",29,"BRK","NBA","PG",1,25,15.9,0.597,0.167,0.583,0,0,0,27.1,0,0,16.6,31.3,0,0,0,0.087,-1,-4.4,-5.4,0,775,"BKN",1,0,1,25.2,1.99,4.8,101,1.2e+07,0,"TOR",30,74,19.4,0.6,0,0.6,0.3,0.1,0,100,96.3,14.8,"TOR",31,43,19.4,9.6,43.5,17,3.3,4.55,4.3,0.22,0.3,0.1,0.4,0.632,0,0.31
"1560","Kevon_Looney",81,220,"2017",20,"GSW","NBA","C",53,447,13.6,0.553,0.084,0.318,11.5,18.5,15.2,8.5,1.6,3,12.2,13.4,0.7,0.8,1.4,0.155,-2.4,0.7,-1.7,0,968,"GSW",53,44,9,8.4,0.61,4.35,388,1182840,0,"GSW",22,66,13.8,3.3,0.4,2.9,1.7,0.7,12.4,87.6,84.7,34.4,"GSW",45,21,13.8,4,21.1,12.5,0.6,1.62,0.62,0.191,1.2,0.8,2.8,0.354,0.208,0.732
"1561","Kevon_Looney",81,220,"2018",21,"GSW","NBA","C",66,910,14.8,0.588,0.026,0.399,11,15.2,13.2,6,1.8,4.9,12,12.4,1.5,1.3,2.8,0.145,-1.2,1,-0.2,0.4,969,"GSW",66,45,21,13.8,1.02,4.46,368,1471382,0,"GSW",23,80,18.5,5.1,0.6,4.5,2.5,0.9,12.2,87.8,89.4,32.2,"GSW",56,24,18.5,6.3,28.1,18,0.7,1.4,0.45,0.222,1.5,1,4.9,0.537,0.152,0.852
"1562","Kevon_Looney",81,220,"2019",22,"GSW","NBA","C",80,1481,17.3,0.636,0.029,0.303,14.6,15.4,15,10.9,1.5,3,11.5,12.8,4.2,1.8,6,0.194,0.1,0.4,0.5,0.9,970,"GSW",80,56,24,18.5,1.41,4.3,385,1567007,1,"GSW",24,20,13.1,2.5,0.1,2.4,1.4,0.7,6,94,96.4,50,"GSW",6,14,13.1,3.4,21,13.9,0.6,1.78,0.72,0.162,1.2,1.3,2.4,0.217,0.192,0.83
"1572","Brook_Lopez",84,270,"2017",28,"BRK","NBA","C",75,2222,20.4,0.578,0.33,0.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,3.1,1.8,4.9,0.105,2.9,-0.6,2.3,2.4,177,"BKN",75,20,55,29.6,2,4.05,25,21165675,0,"LAL",30,74,23.4,6.7,0.5,6.3,3.5,0.9,6.6,93.4,86.8,23,"LAL",34,40,23.4,13,37.2,26.1,1.1,1.74,0.54,0.349,3,5.5,3.1,0.416,0.495,0.948
