"","x","name","season","team.x","gp.x","w.x","l.x","min.x","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","rk","salary_current","salary_next","contract_year","team.y","gp.y","w.y","l.y","min.y","pts","touches","front_ct_touches","time_of_poss","avg_sec_per_touch","avg_drib_per_touch","pts_per_touch","elbow_touches","post_ups","paint_touches","pts_per_elbow_touch","pts_per_post_touch","pts_per_paint_touch"
"869",869,"Jose_Calderon","2018","CLE",57,33,24,16,6215.6,1.18,0.62,0.55,4.42,4.64,4.2,289,2328652,0,1,"DET",49,22,27,12.9,2.3,31.2,12.7,2.5,4.73,4.72,0.074,0.1,0,0.2,0,0,0.2
"871",871,"Josh_Hart","2018","LAL",63,27,36,23.2,8943.5,1.69,0.87,0.83,4.4,4.71,4.11,385,1394520,1655160,0,"LAL",67,31,36,25.6,7.8,30.6,17.2,1,2.02,1.23,0.256,0.7,0,0.8,0.478,2,0.642
"872",872,"Josh_Hart","2019","LAL",67,31,36,25.6,10489.5,1.99,1.04,0.95,4.33,4.68,4.01,368,1655160,1934160,0,"NOP",56,24,32,27.7,10.3,40.8,22,1.3,1.98,1.23,0.252,0.3,0.1,0.9,0.429,0,0.745
"874",874,"Josh_Huestis","2017","OKC",2,0,2,15.4,6276,1.19,0.62,0.57,4.67,4.84,4.14,384,1191480,1242840,0,"OKC",68,43,25,14.2,2.3,12.9,7.4,0.3,1.46,0.48,0.181,0.2,0,0.9,0.071,1,0.61
"876",876,"Josh_Jackson","2018","PHX",77,19,58,25.4,10022.3,1.9,1.02,0.88,4.5,4.93,4.1,196,5090040,6041520,0,"PHX",79,19,60,25.2,11.5,40.3,25.3,1.7,2.51,1.74,0.286,0.5,0.2,1.4,0.757,0.471,0.842
"877",877,"Josh_Jackson","2019","PHX",79,19,60,25.2,10017.9,1.9,1.01,0.88,4.21,4.5,3.92,189,6041520,7059480,0,"MEM",18,9,9,19.8,10.4,28.2,16.1,1.1,2.42,1.7,0.37,0.2,0.1,1.3,0.667,0,0.826
"880",880,"Josh_McRoberts","2017","MIA",22,6,16,17.3,6322.4,1.2,0.69,0.51,4.15,4.49,3.76,173,5782450,6021175,0,"DAL",2,2,0,2.9,0,3.5,1,0.1,1.19,0.57,0,0.5,0,0,0,0,0
"882",882,"Josh_Okogie","2019","MIN",74,32,42,23.8,9842.3,1.86,0.96,0.9,4.4,4.44,4.35,329,2160720,2530680,0,"MIN",62,19,43,25,8.6,27.9,19,1,2.23,1.53,0.308,0.3,0,2,0.684,0,0.837
"884",884,"Josh_Richardson","2017","MIA",53,23,30,30.5,11435,2.17,1.18,0.99,4.27,4.53,4,439,874636,1014746,0,"MIA",80,43,37,33.2,13,57.2,31.1,3.4,3.62,2.86,0.227,0.7,0.2,1.2,0.492,0.533,0.688
"885",885,"Josh_Richardson","2018","MIA",80,43,37,33.2,12934.8,2.45,1.33,1.12,4.43,4.72,4.12,363,1471382,0,1,"MIA",73,35,38,34.8,16.6,67.5,36.3,4.2,3.77,3.11,0.245,0.7,0.2,1.3,0.5,0.714,0.688
"886",886,"Josh_Richardson","2019","MIA",73,35,38,34.8,14120.4,2.67,1.5,1.17,4.3,4.72,3.85,141,9367200,10100000,0,"PHI",48,29,19,30.7,13.8,51,32.8,3.1,3.62,2.94,0.271,0.8,0.1,1.1,0.556,1,0.792
"889",889,"Jrue_Holiday","2017","NOP",67,32,35,32.7,12430.5,2.35,1.28,1.08,4.33,4.95,3.78,91,11286518,0,1,"NOP",81,47,34,36.1,19,77,36.7,4.6,3.61,3.19,0.246,1.1,0.7,2.2,0.644,0.746,0.896
"890",890,"Jrue_Holiday","2018","NOP",81,47,34,36.1,13957.3,2.64,1.41,1.24,4.4,4.91,3.93,14,25686667,26131111,0,"NOP",67,30,37,35.8,21.2,86.3,41.7,5.4,3.76,3.33,0.246,1.1,0.5,2,0.662,0.722,0.8
"891",891,"Jrue_Holiday","2019","NOP",67,30,37,35.9,14546.4,2.75,1.51,1.25,4.32,4.92,3.76,18,25976111,26131111,0,"NOP",54,24,30,34.9,19.6,80.8,36.9,4.9,3.65,3.2,0.242,1.2,0.3,1.9,0.683,0.571,0.663
"894",894,"Julius_Randle","2017","LAL",74,24,50,28.8,10344.4,1.96,1.08,0.88,4.09,4.49,3.68,246,3267120,4149242,0,"LAL",82,35,47,26.7,16.1,51.1,29.4,2.2,2.61,1.35,0.316,3.1,4.6,5.5,0.563,0.467,0.978
"895",895,"Julius_Randle","2018","LAL",82,35,47,26.7,9538,1.81,0.96,0.85,4.13,4.54,3.74,217,4149242,0,1,"NOP",73,31,42,30.6,21.4,59.5,36.1,2.9,2.88,1.8,0.361,3.7,5.2,5.5,0.731,0.529,1.002
"896",896,"Julius_Randle","2019","NOP",73,31,42,30.6,11509.7,2.18,1.16,1.02,4.01,4.36,3.67,149,8641000,9073050,0,"NYK",64,21,43,32.5,19.5,68.8,40.7,3.2,2.76,1.67,0.283,3.5,4.8,4.5,0.608,0.563,0.937
"898",898,"Justin_Anderson","2017","PHI",74,23,51,16.6,6297.1,1.19,0.66,0.53,4.34,4.68,3.97,345,1514160,1579440,0,"PHI",37,27,10,13.9,6.2,20.4,15.6,0.7,1.94,0.85,0.305,0.4,0,1.7,0.846,0,0.71
"899",899,"Justin_Anderson","2018","PHI",37,27,10,13.9,5265.9,1,0.54,0.46,4.31,4.64,3.97,339,1579440,2516048,0,"ATL",48,17,31,9.7,3.7,11.7,7.3,0.4,1.89,1.1,0.318,0.3,0,0.8,0.5,0,1
"900",900,"Justin_Anderson","2019","ATL",48,17,31,9.7,3919.9,0.74,0.39,0.35,4.25,4.69,3.85,290,2516048,0,1,"BKN",3,2,1,5.6,1,6.7,3.3,0.2,1.94,0.8,0.15,0,0,0,0,0,0
"903",903,"Justin_Holiday","2017","NYK",82,31,51,20,7733.4,1.46,0.79,0.68,4.4,4.78,4.04,406,1015696,0,1,"CHI",72,24,48,31.5,12.2,34.4,26.1,1.2,2.13,1.55,0.353,0.5,0,1,0.568,0,0.873
"904",904,"Justin_Holiday","2018","CHI",72,24,48,31.5,12448.9,2.36,1.27,1.09,4.5,4.92,4.09,206,4615385,4384616,0,"MEM",81,25,56,31.7,10.4,36.6,26.7,1.2,2.02,1.22,0.283,0.7,0,1.2,0.611,0,0.673
"905",905,"Justin_Holiday","2019","MEM",81,25,56,31.7,12989.7,2.46,1.33,1.13,4.37,4.69,4.03,226,4384616,0,1,"IND",65,39,26,24.9,8.4,29.2,16.7,0.8,1.62,0.75,0.289,0.4,0,1,0.429,0,0.703
"907",907,"Justin_Jackson","2018","SAC",68,21,47,22.1,8625,1.63,0.88,0.75,4.47,4.8,4.13,280,2365560,2807880,0,"DAL",81,36,45,19.9,7.2,25.1,16.5,0.7,1.7,0.74,0.286,0.5,0.2,1,0.5,0.25,1.19
"908",908,"Justin_Jackson","2019","DAL",81,36,45,19.9,8198.9,1.55,0.85,0.71,4.38,4.8,3.96,275,2807880,3280920,0,"DAL",57,35,22,15.9,5.7,22,12.9,0.6,1.73,0.91,0.261,0.3,0,0.9,0.737,1,1.041
"911",911,"Justin_Patton","2018","MIN",1,0,1,3.7,1347,0.26,0.12,0.13,4.81,4.57,2.47,292,2247480,2667600,0,"PHI",3,2,1,6.9,1.7,14.7,7.3,0.3,1.07,0.23,0.114,1.3,0,2,0.5,0,0.667
"912",912,"Justin_Patton","2019","PHI",3,2,1,6.9,2884,0.55,0.32,0.23,4.45,5,3.9,281,2667600,3117240,0,"OKC",5,2,3,4.8,1.8,10.4,6.6,0.3,1.54,0.48,0.173,0.6,0.2,0.8,0,0,1.5
"915",915,"Justise_Winslow","2017","MIA",18,4,14,34.7,12841.3,2.43,1.32,1.11,4.22,4.52,3.89,276,2593440,2705040,0,"MIA",67,32,35,24.7,7.7,47,19.2,2.4,3.01,2.21,0.163,0.7,0.6,2,0.543,0.216,0.562
"916",916,"Justise_Winslow","2018","MIA",67,32,35,24.7,9540.1,1.81,0.97,0.84,4.4,4.63,4.14,262,2705040,3448926,0,"MIA",66,30,36,29.7,12.6,69.2,26.8,4.4,3.8,3.18,0.182,0.5,0.3,1.7,0.438,0.235,0.818
"917",917,"Justise_Winslow","2019","MIA",66,30,36,29.7,11713.7,2.22,1.22,1,4.19,4.54,3.84,250,3448926,1.3e+07,0,"MEM",11,7,4,32,11.3,67.5,26.9,4.5,3.98,3.38,0.167,0.5,0.9,2.5,1.333,0.6,0.963
"919",919,"Jusuf_Nurkic","2017","POR",64,33,31,21.6,7880.4,1.49,0.81,0.68,4.16,4.45,3.86,313,1921320,2947305,0,"POR",79,48,31,26.4,14.3,57.1,30.9,1.6,1.71,0.53,0.251,4.5,4.5,6.2,0.511,0.517,0.965
"920",920,"Jusuf_Nurkic","2018","POR",79,48,31,26.4,9815.8,1.86,1.02,0.84,4.25,4.56,3.92,257,2947305,0,1,"POR",72,45,27,27.4,15.6,59.5,34.2,1.7,1.71,0.51,0.263,4.8,4.4,7.5,0.616,0.525,0.937
"923",923,"KarlAnthony_Towns","2017","MIN",82,31,51,37,13353.1,2.53,1.35,1.18,4.11,4.28,3.94,170,5960160,6216840,0,"MIN",82,47,35,35.6,21.3,69.4,42.3,2,1.75,0.53,0.306,3.6,6.5,6.2,0.622,0.675,1.079
"924",924,"KarlAnthony_Towns","2018","MIN",82,47,35,35.6,12738.5,2.41,1.27,1.14,4.07,4.16,3.98,169,6216840,7839435,0,"MIN",77,34,43,33,24.4,73.3,44.8,2.4,1.99,0.66,0.333,3.6,12.9,6.5,0.568,0.543,0.964
"925",925,"KarlAnthony_Towns","2019","MIN",77,34,43,33,12486.2,2.36,1.25,1.12,4.01,4.15,3.87,163,7839435,27250000,0,"MIN",35,10,25,33.9,26.5,69.5,47.8,2.3,2.01,0.79,0.381,3.3,7.9,5.7,0.491,0.554,1.05
"927",927,"Kawhi_Leonard","2017","SAS",73,54,19,33.5,13000.5,2.46,1.38,1.08,4.43,4.86,3.97,34,17638063,18868625,0,"SAS",9,5,4,23.3,16.2,41.3,25.1,3.2,4.7,3.98,0.392,0.8,2.6,1.4,1.143,0.348,0.692
"928",928,"Kawhi_Leonard","2018","SAS",9,5,4,23.3,9013.4,1.71,0.95,0.76,4.5,4.87,4.05,47,18868625,20099189,0,"TOR",60,41,19,34,26.6,57.2,38.1,4,4.24,3.64,0.465,1.1,4,2.6,0.857,0.594,0.928
"929",929,"Kawhi_Leonard","2019","TOR",60,41,19,34,13517.8,2.56,1.38,1.18,4.23,4.63,3.84,36,23114067,21329752,0,"LAC",51,38,13,32.2,26.9,64.3,39.4,4.6,4.27,3.44,0.418,1,4.7,1.7,0.792,0.51,0.678
"931",931,"Kay_Felder","2017","CLE",42,25,17,9.2,3651.8,0.69,0.36,0.33,4.52,4.79,4.25,481,543471,905249,0,"DET",16,6,10,8.7,3.6,20.8,9.3,1.4,4.17,4.2,0.172,0,0,0.3,0,0,0
"933",933,"Keita_BatesDiop","2019","MIN",30,10,20,16.8,6754.2,1.28,0.67,0.61,4.22,4.38,4.07,460,838464,1416852,0,"DEN",39,10,29,17.1,6.6,20.7,13,0.6,1.84,0.93,0.319,0.5,0.1,1.3,0.833,1,1.115
"936",936,"Kelly_Olynyk","2017","BOS",75,49,26,20.5,7586.4,1.44,0.78,0.66,4.22,4.55,3.88,252,3094014,0,1,"MIA",75,41,34,23.3,11.5,50.3,30.2,1.7,1.99,0.78,0.228,2,1.9,2.9,0.311,0.455,0.739
"937",937,"Kelly_Olynyk","2018","MIA",75,41,34,23.3,8848.8,1.68,0.91,0.76,4.31,4.64,3.98,112,10607169,11137527,0,"MIA",79,39,40,22.9,10,46.4,26.2,1.3,1.67,0.59,0.215,1.2,1.2,2.1,0.5,0.574,0.793
"938",938,"Kelly_Olynyk","2019","MIA",79,39,40,22.9,9197.3,1.74,0.98,0.76,4.26,4.68,3.83,110,12137527,11667885,0,"MIA",58,38,20,18.6,7.7,32.9,17.3,1,1.76,0.55,0.234,0.9,0.6,1.6,0.491,0.219,0.914
"940",940,"Kemba_Walker","2017","CHA",79,36,43,34.7,12613.8,2.39,1.33,1.06,4.14,4.59,3.69,87,1.2e+07,1.2e+07,0,"CHA",80,36,44,34.2,22.1,81.2,25.5,7.8,5.77,5.51,0.272,0.2,0,0.5,0.375,0,0.535
"941",941,"Kemba_Walker","2018","CHA",80,36,44,34.2,12611.1,2.39,1.33,1.06,4.2,4.66,3.73,99,1.2e+07,1.2e+07,0,"CHA",82,39,43,34.9,25.6,84.5,31.4,7.5,5.35,5.04,0.303,0.4,0,0.6,0.467,0,0.5
"942",942,"Kemba_Walker","2019","CHA",82,39,43,34.9,13477.9,2.55,1.46,1.09,4.13,4.69,3.56,113,1.2e+07,0,1,"BOS",50,33,17,31.8,21.2,73.1,24.5,6.2,5.07,4.65,0.29,0.3,0,0.7,0.5,0,0.444
"945",945,"Kenneth_Faried","2017","DEN",60,28,32,21.3,8004.9,1.52,0.81,0.7,4.28,4.55,4.01,84,12078652,12921348,0,"DEN",32,16,16,14.4,5.9,20.4,11.3,0.6,1.62,0.56,0.288,1.4,1.1,5,0.591,0.471,0.855
"946",946,"Kenneth_Faried","2018","DEN",32,16,16,14.4,5387.3,1.02,0.55,0.47,4.28,4.52,4.01,91,12921348,13764045,0,"HOU",37,21,16,19.7,10.4,32.7,16.5,0.9,1.62,0.54,0.317,2.7,0.4,5.9,0.82,0.923,1.078
"948",948,"Kenrich_Williams","2019","NOP",46,17,29,23.5,9896,1.87,1.01,0.87,4.5,4.83,4.18,473,838464,1416852,0,"NOP",35,12,23,22.3,3.8,31.3,16.7,0.8,1.52,0.82,0.121,0.2,0,1.7,0.25,0,0.414
"950",950,"Kent_Bazemore","2017","ATL",73,39,34,26.9,10223.4,1.94,1,0.93,4.34,4.62,4.07,52,15730338,16910113,0,"ATL",64,19,45,27.5,12.8,52.9,35.4,2.3,2.59,1.72,0.241,0.6,0,0.7,0.541,0,0.956
"951",951,"Kent_Bazemore","2018","ATL",64,19,45,27.5,10809.1,2.05,1.08,0.96,4.48,4.73,4.24,62,16910113,18089887,0,"ATL",67,24,43,24.5,11.6,36.8,24.5,1.5,2.49,1.98,0.316,0.4,0,0.7,0.741,0,0.96
"952",952,"Kent_Bazemore","2019","ATL",67,24,43,24.5,10135.4,1.92,1.01,0.91,4.36,4.71,4.03,59,18089887,19269662,0,"SAC",63,31,32,25,8.6,33,18.5,1.4,2.55,1.7,0.26,0.3,0.2,0.8,0.571,0.8,0.706
"954",954,"Kentavious_CaldwellPope","2017","DET",76,33,43,33.3,12501.3,2.37,1.26,1.1,4.27,4.62,3.95,230,3678319,0,1,"LAL",74,31,43,33.2,13.4,42.6,24.1,1.7,2.33,1.65,0.315,0.6,0,1.3,0.561,0,0.811
"955",955,"Kentavious_CaldwellPope","2018","LAL",74,31,43,33.2,12482.7,2.36,1.22,1.14,4.35,4.69,4.03,56,17745894,0,1,"LAL",82,37,45,24.8,11.4,35,19.1,1.2,2,1.27,0.327,0.9,0,1,0.7,0,0.864
"956",956,"Kentavious_CaldwellPope","2019","LAL",82,37,45,24.8,10024.5,1.9,1.01,0.89,4.28,4.64,3.93,111,1.2e+07,0,1,"LAL",63,49,14,25.5,9.5,30.7,20.2,0.9,1.82,0.95,0.311,0.8,0,1,0.706,0,0.889
"958",958,"Kevin_Durant","2017","GSW",62,51,11,33.4,11874.8,2.25,1.17,1.08,4.05,4.55,3.62,6,26540100,27734406,0,"GSW",68,49,19,34.2,26.4,67.9,39.1,3.9,3.45,2.42,0.388,1.7,4.3,1.7,0.649,0.534,1.19
"959",959,"Kevin_Durant","2018","GSW",68,49,19,34.2,12128.8,2.3,1.21,1.09,4.06,4.55,3.63,16,2.5e+07,26250000,0,"GSW",78,54,24,34.6,26,69.5,39.9,4.2,3.6,2.61,0.374,2,6.3,1.6,0.686,0.49,1.089
"961",961,"Kevin_Huerter","2019","ATL",75,27,48,27.3,11336.1,2.15,1.14,1.01,4.41,4.72,4.1,320,2250960,2636280,0,"ATL",56,19,37,31.4,12.2,43.5,29,2.2,3.05,2.4,0.281,0.3,0,1,0.778,2,0.741
"963",963,"Kevin_Love","2017","CLE",60,40,20,31.4,11328.6,2.15,1.13,1.02,4.1,4.27,3.93,24,21165675,22642350,0,"CLE",59,37,22,28,17.6,52.2,28.2,1.4,1.66,0.42,0.338,1.6,4.5,4.8,0.358,0.629,0.89
"964",964,"Kevin_Love","2018","CLE",59,37,22,28,10488.8,1.99,1.05,0.94,4.27,4.46,4.09,30,22642350,24119025,0,"CLE",22,7,15,27.2,17,55.4,33.3,1.7,1.9,0.66,0.307,1.4,5.6,3.6,0.323,0.419,0.747
"965",965,"Kevin_Love","2019","CLE",22,7,15,27.2,10200,1.93,1.03,0.9,4.01,4.22,3.79,30,24119025,28900000,0,"CLE",56,16,40,31.8,17.6,61.1,37.4,2,1.93,0.58,0.289,1.4,6.8,3.1,0.628,0.532,0.901
"968",968,"Kevon_Looney","2017","GSW",53,44,9,8.4,3223.7,0.61,0.33,0.28,4.35,4.53,4.14,388,1182840,1233840,0,"GSW",66,45,21,13.8,4,21.1,12.5,0.6,1.62,0.62,0.191,1.2,0.8,2.8,0.354,0.208,0.732
"969",969,"Kevon_Looney","2018","GSW",66,45,21,13.8,5374.8,1.02,0.54,0.48,4.46,4.75,4.18,368,1471382,2227081,0,"GSW",80,56,24,18.5,6.3,28.1,18,0.7,1.4,0.45,0.222,1.5,1,4.9,0.537,0.152,0.852
"970",970,"Kevon_Looney","2019","GSW",80,56,24,18.5,7434.3,1.41,0.73,0.68,4.3,4.67,3.96,385,1567007,0,1,"GSW",20,6,14,13.1,3.4,21,13.9,0.6,1.78,0.72,0.162,1.2,1.3,2.4,0.217,0.192,0.83
"972",972,"Khem_Birch","2018","ORL",42,14,28,13.8,5149.9,0.98,0.52,0.45,4.32,4.54,4.09,460,815615,1378242,0,"ORL",50,26,24,12.9,4.8,18.4,10.1,0.4,1.42,0.53,0.261,1.6,0.4,3.8,0.593,0.55,0.849
"973",973,"Khem_Birch","2019","ORL",50,26,24,12.9,5093,0.96,0.51,0.45,4.19,4.49,3.91,420,1378242,0,1,"ORL",40,16,24,19.4,3.8,25.4,14.5,0.6,1.33,0.43,0.15,2.7,0.5,4.6,0.312,0.286,0.511
"975",975,"Khris_Middleton","2017","MIL",29,19,10,30.7,10842.5,2.05,1.07,0.98,4.03,4.24,3.83,56,15200000,14100000,0,"MIL",81,44,37,36.4,20.2,64.5,36.9,3.1,2.91,2.11,0.313,1.4,1.5,1,0.412,0.624,0.8
"976",976,"Khris_Middleton","2018","MIL",81,44,37,36.4,13019.7,2.47,1.27,1.2,4.09,4.38,3.82,81,14100000,1.3e+07,0,"MIL",77,56,21,31.1,18.3,55.7,27,3.3,3.6,2.91,0.328,0.7,2,1.1,0.577,0.684,0.701
"977",977,"Khris_Middleton","2019","MIL",77,56,21,31.1,12401.9,2.35,1.25,1.1,4.26,4.72,3.84,97,1.3e+07,1.3e+07,0,"MIL",54,43,11,30,21.2,58.6,28.4,3.4,3.51,2.74,0.362,1.4,2.3,1.2,0.712,0.794,0.954
"979",979,"Khyri_Thomas","2019","DET",26,13,13,7.5,3236,0.61,0.35,0.26,4.51,4.78,4.18,465,838464,838464,0,"DET",8,2,6,7.6,2.1,13,6.8,0.9,3.97,3.71,0.163,0.4,0,0.3,0,0,0
"981",981,"Klay_Thompson","2017","GSW",78,66,12,34,13011.7,2.46,1.3,1.16,4.36,4.95,3.85,46,16663575,17826150,0,"GSW",73,55,18,34.3,20,47.7,36.5,1.7,2.13,1.38,0.42,1.6,1.1,2.1,0.843,0.7,0.815
"982",982,"Klay_Thompson","2018","GSW",73,55,18,34.3,13177.2,2.5,1.32,1.18,4.4,4.93,3.93,54,17826150,18988725,0,"GSW",78,55,23,34,21.5,46.3,35.5,1.6,2.04,1.32,0.465,1.5,1.3,1.9,0.924,0.709,1.097
"984",984,"Kosta_Koufos","2017","SAC",71,27,44,20,7524.5,1.43,0.76,0.66,4.29,4.42,4.16,127,8046500,8393000,0,"SAC",71,22,49,19.6,6.7,34.9,19.3,1,1.7,0.41,0.192,4.3,1.4,5.4,0.362,0.438,0.813
"985",985,"Kosta_Koufos","2018","SAC",71,22,49,19.6,7439.1,1.41,0.74,0.66,4.36,4.56,4.16,136,8393000,8739500,0,"SAC",42,21,21,11.9,3.7,20.6,11.3,0.6,1.65,0.38,0.181,2.2,1.2,3.7,0.385,0.42,0.605
"987",987,"Kris_Dunn","2017","MIN",78,30,48,17.1,6711.6,1.27,0.67,0.6,4.47,4.67,4.27,226,3872520,4046760,0,"CHI",52,19,33,29.3,13.4,73.9,26.2,5.6,4.54,3.94,0.182,0.3,1,0.6,0.667,0.46,0.97
"988",988,"Kris_Dunn","2018","CHI",52,19,33,29.3,11534.9,2.18,1.16,1.02,4.48,4.89,4.09,220,4046760,4221000,0,"CHI",45,14,31,30.3,11.4,69.6,23.5,5.8,4.97,4.55,0.164,0.4,0.5,0.5,0.368,0.739,0.792
"989",989,"Kris_Dunn","2019","CHI",45,14,31,30.3,12048.6,2.28,1.24,1.04,4.28,4.66,3.89,231,4221000,5348007,0,"CHI",51,19,32,24.9,7.3,45.6,20.5,2.6,3.43,2.78,0.16,0.2,0.1,0.8,0.6,0.333,0.634
"992",992,"Kristaps_Porzingis","2017","NYK",66,26,40,32.8,11840.3,2.24,1.21,1.03,4.11,4.43,3.79,212,4317720,4503600,0,"NYK",48,22,26,32.4,22.7,61,40.2,1.7,1.64,0.55,0.371,5.4,8,4.3,0.669,0.687,0.83
"995",995,"Kyle_Anderson","2017","SAS",71,53,18,14.2,5406.1,1.02,0.56,0.46,4.34,4.75,3.92,383,1192080,2151704,0,"SAS",74,41,33,26.7,7.9,40.5,24.6,1.8,2.64,1.58,0.195,0.8,0.4,2.4,0.542,0.406,0.943
"996",996,"Kyle_Anderson","2018","SAS",74,41,33,26.7,10330.2,1.96,1.08,0.88,4.41,4.69,4.1,297,2151704,0,1,"MEM",43,19,24,29.8,8,44.6,30.2,2,2.71,1.48,0.18,1.6,0.3,3,0.5,0.769,0.931
"997",997,"Kyle_Anderson","2019","MEM",43,19,24,29.8,11668,2.21,1.19,1.02,4.16,4.27,4.03,148,8641000,9073050,0,"MEM",59,30,29,19.3,5.7,28.1,16.5,1.1,2.45,1.37,0.202,1,0.2,1.9,0.439,0.455,0.827
"999",999,"Kyle_Korver","2017","CLE",67,33,34,26.2,9805.3,1.86,0.98,0.87,4.27,4.59,3.97,189,5239437,0,1,"CLE",73,43,30,21.6,9.2,21.5,16.3,0.5,1.37,0.52,0.429,0.2,0,0.5,0.588,1,0.8
"1000",1000,"Kyle_Korver","2018","CLE",73,43,30,21.6,8395.5,1.59,0.83,0.76,4.44,4.78,4.12,154,7e+06,7560000,0,"UTA",69,39,30,19.1,8.7,22,16.8,0.6,1.55,0.88,0.393,0.3,0,0.2,0.611,0,0.615
"1001",1001,"Kyle_Korver","2019","UTA",69,39,30,19.1,7951.1,1.51,0.83,0.68,4.44,4.89,3.99,164,7560000,7500000,0,"MIL",49,39,10,16.6,6.7,18.9,13.9,0.5,1.6,0.71,0.352,0.1,0,0.2,0.4,0,0.333
"1004",1004,"Kyle_Kuzma","2018","LAL",77,34,43,31.2,12165.6,2.3,1.23,1.07,4.52,5.05,4.03,381,1423560,1689840,0,"LAL",70,33,37,33.1,18.7,50.2,29.6,2.1,2.46,1.68,0.372,1.7,2.1,2.5,0.762,0.476,0.933
"1005",1005,"Kyle_Kuzma","2019","LAL",70,33,37,33,13741.5,2.6,1.4,1.2,4.42,4.92,3.95,363,1689840,1974600,0,"LAL",54,43,11,24.6,12.5,34.9,21.8,1.5,2.57,1.67,0.358,1.3,1.1,1.7,0.886,0.5,1.011
"1007",1007,"Kyle_Lowry","2017","TOR",59,35,24,37.5,13163.5,2.49,1.35,1.14,4.01,4.33,3.69,86,1.2e+07,1.2e+07,0,"TOR",78,57,21,32.2,16.2,76.3,30.9,5.1,3.98,3.34,0.213,0.3,0.1,1.1,0.385,0.571,0.53
"1008",1008,"Kyle_Lowry","2018","TOR",78,57,21,32.2,11844.8,2.24,1.23,1.02,4.21,4.62,3.8,6,28703704,3.1e+07,0,"TOR",65,47,18,34.1,14.2,80.6,33.8,5.1,3.82,3.2,0.177,0.6,0.1,1.4,0.2,0.444,0.477
"1009",1009,"Kyle_Lowry","2019","TOR",65,47,18,34,12649,2.4,1.32,1.08,3.95,4.4,3.52,7,31200000,33296296,0,"TOR",51,35,16,36.6,19.5,84.3,36.1,5.8,4.13,3.43,0.232,0.4,0,0.7,0.273,0,0.368
"1011",1011,"Kyle_OQuinn","2017","NYK",79,29,50,15.6,5579.2,1.06,0.57,0.48,4.08,4.3,3.85,225,3900000,4100000,0,"NYK",76,27,49,17.9,7.1,38.1,20.5,1.2,1.83,0.32,0.187,2.8,1.2,3.7,0.443,0.394,0.993
"1012",1012,"Kyle_OQuinn","2018","NYK",76,27,49,17.9,6482.6,1.23,0.65,0.57,4.14,4.37,3.91,218,4087500,4256250,0,"IND",45,27,18,8.2,3.5,18.3,10.1,0.5,1.58,0.33,0.189,1.3,0.5,1.6,0.576,0.429,0.757
"1013",1013,"Kyle_OQuinn","2019","IND",45,27,18,8.2,3072.1,0.58,0.31,0.27,3.93,4.13,3.73,223,4449000,0,1,"PHI",26,17,9,9.9,3.3,22.6,13.3,0.7,1.77,0.45,0.148,2,0.7,1.9,0.075,0.118,0.66
"1015",1015,"Kyle_Singler","2017","OKC",32,15,17,12,4648.4,0.88,0.46,0.42,4.4,4.81,4,198,4837500,4666500,0,"OKC",11,5,6,3.3,1.3,4.8,3.6,0.1,1.85,1.45,0.264,0.2,0,0.5,2,0,1.2
"1018",1018,"Kyrie_Irving","2017","CLE",72,47,25,35.1,12428.6,2.35,1.28,1.08,4.03,4.34,3.72,35,17638063,18868625,0,"BOS",57,38,19,32.2,24.4,76,29.9,6.1,4.82,4.47,0.321,1,0.5,1.1,0.729,0.645,0.831
"1019",1019,"Kyrie_Irving","2018","BOS",57,38,19,32.2,11906.3,2.25,1.24,1.02,4.22,4.65,3.79,48,18868625,20099188,0,"BOS",67,37,30,33,23.8,76.8,31.1,5.5,4.27,3.91,0.31,1.3,0.7,2,0.464,0.72,0.71
"1020",1020,"Kyrie_Irving","2019","BOS",67,37,30,33,12702.7,2.41,1.3,1.1,4.11,4.6,3.64,45,20099189,21329750,0,"BKN",20,8,12,32.9,27.4,77.6,26.6,6.3,4.91,4.55,0.353,0.8,0.3,1.8,0.667,1.333,0.743
"1024",1024,"LaMarcus_Aldridge","2017","SAS",71,52,19,32.4,11517,2.18,1.16,1.02,4.05,4.16,3.93,27,20575005,21461010,0,"SAS",75,45,30,33.4,23.1,61,45.2,2.2,2.12,0.91,0.379,4,13.9,8.7,0.515,0.577,0.957
"1025",1025,"LaMarcus_Aldridge","2018","SAS",75,45,30,33.5,12054.6,2.28,1.23,1.06,4.11,4.23,3.97,37,21461010,22347015,0,"SAS",81,48,33,33.2,21.3,56.2,39.5,1.9,2.02,0.81,0.379,3.6,12.4,8.7,0.534,0.657,0.984
"1026",1026,"LaMarcus_Aldridge","2019","SAS",81,48,33,33.2,12418.2,2.35,1.26,1.09,4.05,4.25,3.84,38,22347015,2.6e+07,0,"SAS",52,22,30,33,18.9,55.1,38.7,1.8,1.92,0.76,0.343,2.9,9.7,4.8,0.44,0.588,1.008
"1028",1028,"Lance_Stephenson","2017","IND",18,8,10,20.1,6949.2,1.32,0.71,0.6,3.94,4.24,3.64,375,1227286,0,1,"IND",82,48,34,22.6,9.2,36.9,22.3,2.5,4.03,3.32,0.25,0.2,0.1,0.8,0.8,0.571,0.754
