Player,Season,TEAM,AGE,GP,MIN,Box Outs,OFF Box Outs,DEF Box Outs,Team Reb on Box Outs,Player Reb on Box Outs,% Box Outs Off,% Box Outs Def,% Team Reb When Box Out,% Player Reb When Box Out
Gabe Vincent,2019,MIA,23,6,6.9,0.5,0,0.5,0.5,0,0,100,100,0
Furkan Korkmaz,2019,PHI,22,64,21.8,0.2,0,0.2,0.1,0,0,100,85.7,28.6
Fred VanVleet,2019,TOR,26,48,35.8,1.3,0,1.3,1,0.2,0,100,87,16.7
Frank Ntilikina,2019,NYK,21,57,20.8,0.2,0,0.2,0.1,0,0,100,66.7,16.7
Frank Mason,2019,MIL,26,6,8.8,0,0,0,0,0,0,0,0,0
Frank Kaminsky,2019,PHX,27,32,22.4,4.3,0.3,3.9,2.2,0.8,8,92,89.7,30.8
Frank Jackson,2019,NOP,22,51,12.9,0.3,0,0.3,0.2,0,0,100,84.6,15.4
Evan Turner,2019,MIN,31,19,13.2,0.7,0,0.7,0.4,0.1,0,100,100,12.5
Evan Fournier,2019,ORL,27,61,31.7,0.8,0,0.8,0.6,0.1,0,100,87.2,20.5
Ersan Ilyasova,2019,MIL,33,56,16,1.7,0.2,1.5,0.9,0.3,9.7,90.3,92.5,35.8
Eric Paschall,2019,GSW,23,60,27.6,1.7,0,1.7,0.8,0.3,1,99,96.1,41.2
Eric Mika,2019,SAC,25,1,19.1,3,0,3,2,1,0,100,100,50
Eric Gordon,2019,HOU,31,34,28.6,1.1,0,1.1,0.7,0.2,0,100,96,28
Eric Bledsoe,2019,MIL,30,56,27.2,0.7,0.1,0.6,0.5,0.1,7.7,92.3,96.7,23.3
Enes Kanter,2019,BOS,28,51,17.5,3.6,1.1,2.5,2.3,1.3,29.7,69.7,90.8,51.5
Emmanuel Mudiay,2019,UTA,24,48,15.7,0.2,0,0.2,0.1,0,20,80,71.4,28.6
Elie Okobo,2019,PHX,22,54,13.1,0.2,0,0.2,0.1,0,0,100,77.8,22.2
Elfrid Payton,2019,NYK,26,45,27.7,0.3,0.1,0.3,0.2,0,20,80,90,20
Edmond Sumner,2019,IND,24,25,13.8,0.5,0,0.5,0.3,0,0,100,88.9,0
Ed Davis,2019,UTA,30,25,10.7,2.8,0.4,2.4,1.6,0.8,14.3,85.7,88.6,43.2
E'Twaun Moore,2019,NOP,31,51,18.8,0.7,0,0.7,0.4,0,2.9,97.1,95.5,9.1
Dzanan Musa,2019,BKN,21,35,11.6,0.1,0,0.1,0.1,0,0,100,100,0
Dwight Powell,2019,DAL,28,40,26.5,3.4,0.2,3.2,1.7,0.6,5.1,94.9,90.8,31.6
Dwight Howard,2019,LAL,34,62,19.2,3.4,1.4,1.9,2.2,1.5,42.4,57.6,88.7,61.6
Dwayne Bacon,2019,CHA,24,39,17.6,0.5,0,0.4,0.4,0.1,5.6,94.4,87.5,12.5
Dusty Hannahs,2019,MEM,26,2,6.7,0,0,0,0,0,0,0,0,0
Duncan Robinson,2019,MIA,26,65,30,1.1,0,1.1,0.8,0.1,1.4,98.6,91.2,10.5
Drew Eubanks,2019,SAS,23,14,9.3,1.3,0.1,1.1,0.6,0.3,11.1,88.9,90,40
Draymond Green,2019,GSW,30,43,28.4,3.9,0.1,3.9,2,0.7,1.2,98.8,87.9,31.3
Dragan Bender,2019,GSW,22,16,17.8,1.8,0,1.8,1.1,0.7,0,100,100,61.1
Doug McDermott,2019,IND,28,62,20,1.2,0.1,1.2,0.7,0.2,3.9,96.1,80.4,23.5
Dorian Finney-Smith,2019,DAL,27,64,29.7,1.8,0,1.8,1,0.4,0.9,99.1,98.4,39.1
Donte DiVincenzo,2019,MIL,23,59,23.1,0.4,0.1,0.3,0.3,0.1,17.4,82.6,83.3,33.3
Donta Hall,2019,DET,22,4,12,1.5,0,1.5,0.3,0,0,100,100,0
Donovan Mitchell,2019,UTA,23,63,34.4,1.8,0,1.8,1.1,0.3,0,100,81.9,19.3
Domantas Sabonis,2019,IND,24,62,34.8,3.6,0.8,2.8,2.5,1.4,21.5,78.5,93.5,52.7
Dion Waiters,2019,LAL,28,3,14,0.3,0,0.3,0,0,0,100,0,0
Dillon Brooks,2019,MEM,24,65,28.5,1.2,0.1,1.2,0.9,0.2,3.8,96.3,98.3,22.4
Dewayne Dedmon,2019,ATL,30,44,17.6,2.7,0.4,2.4,1.8,1,13.3,86.7,96.3,53.7
Dewan Hernandez,2019,TOR,23,4,2.8,1,0,1,0.8,0.3,0,100,100,33.3
Devonte' Graham,2019,CHA,25,63,35.1,0.8,0,0.8,0.5,0.1,0,100,88.9,22.2
Devon Hall,2019,OKC,24,5,3.9,0.6,0,0.6,0.4,0,0,100,100,0
Devin Booker,2019,PHX,23,62,36.1,1.2,0.1,1.1,0.8,0.1,4.2,95.8,92.3,17.3
Derrick White,2019,SAS,25,61,24.1,0.5,0,0.5,0.3,0.1,0,100,90,15
Derrick Walton Jr.,2019,DET,25,26,9.6,0.2,0,0.2,0.1,0,0,100,75,0
Derrick Rose,2019,DET,31,50,26,0.2,0,0.2,0.1,0,0,100,66.7,0
Derrick Jones Jr.,2019,MIA,23,51,24.5,1.5,0.1,1.4,0.9,0.3,6.6,93.4,95.7,34
Derrick Favors,2019,NOP,28,45,24.2,4.7,0.6,4.2,2.8,1.5,12.2,87.8,92.6,49.6
Deonte Burton,2019,OKC,26,34,8.4,0.8,0,0.8,0.5,0.1,3.4,96.6,88.9,27.8
Denzel Valentine,2019,CHI,26,36,13.6,0.3,0,0.3,0.2,0,0,100,85.7,14.3
Dennis Smith Jr.,2019,NYK,22,34,15.8,0.2,0,0.2,0.1,0.1,0,100,83.3,33.3
Dennis Schroder,2019,OKC,26,63,31,0.4,0,0.4,0.2,0.1,0,100,87.5,18.8
Delon Wright,2019,DAL,28,65,21.7,0.7,0.1,0.6,0.3,0.1,14.3,85.7,69,17.2
Dejounte Murray,2019,SAS,23,58,25,0.4,0,0.4,0.3,0.1,0,100,93.8,31.3
Deandre Ayton,2019,PHX,21,30,33.2,2.6,0.7,2,2,1.2,25.3,74.7,95.2,58.1
Dean Wade,2019,CLE,23,12,6,0.8,0,0.8,0.3,0.1,0,100,80,20
DeMarre Carroll,2019,HOU,33,21,11,0.6,0.1,0.6,0.4,0.1,7.7,92.3,100,33.3
DeMar DeRozan,2019,SAS,30,61,34.3,1.5,0,1.5,0.9,0.2,0,100,86.9,19.7
DeAndre' Bembry,2019,ATL,25,43,21.3,0.6,0,0.6,0.3,0.1,4,96,84.6,38.5
DeAndre Jordan,2019,BKN,31,56,22,3.5,0.6,2.8,2.1,1.2,18,82,93.5,54
De'Anthony Melton,2019,MEM,22,52,19.4,0.5,0.1,0.4,0.4,0.1,11.5,88.5,87,21.7
De'Andre Hunter,2019,ATL,22,63,32,1.5,0.1,1.4,0.8,0.3,5.4,94.6,91.2,33.3
De'Aaron Fox,2019,SAC,22,45,31.7,0.2,0,0.2,0.2,0,0,100,100,11.1
Davis Bertans,2019,WAS,27,54,29.3,2,0.1,1.9,0.9,0.3,3.7,96.3,87.7,26.3
David Nwaba,2019,BKN,27,20,13.4,1.6,0.1,1.4,0.7,0.1,9.4,90.6,87.5,6.3
Daryl Macon,2019,MIA,24,4,3.5,0,0,0,0,0,0,0,0,0
Darius Garland,2019,CLE,20,59,30.9,0.6,0,0.6,0.4,0,0,100,96,8
Darius Bazley,2019,OKC,19,53,17.2,1.1,0,1.1,0.6,0.2,0,100,93.5,38.7
Dario Saric,2019,PHX,26,58,24.9,2.4,0.2,2.2,1.2,0.5,8.5,91.5,92.2,35.1
Danuel House Jr.,2019,HOU,26,58,30,1.6,0.1,1.5,1,0.2,3.3,96.7,93.4,16.4
Dante Exum,2019,CLE,24,35,13.9,0.2,0,0.2,0.2,0,0,100,100,16.7
Danny Green,2019,LAL,32,61,25.1,1.1,0.1,0.9,0.7,0.1,14.1,85.9,84.3,17.6
Danilo Gallinari,2019,OKC,31,55,30.7,1.6,0.1,1.6,0.8,0.3,3.4,96.6,95.5,31.8
Daniel Theis,2019,BOS,28,58,23.8,4.1,0.7,3.4,2.4,0.9,17.3,82.7,88.4,35.5
Daniel Gafford,2019,CHI,21,43,14.2,1.8,0.2,1.6,0.7,0.2,10.1,89.9,76.9,17.9
Damyean Dotson,2019,NYK,26,48,17.4,0.4,0,0.4,0.3,0.1,5,95,100,18.8
Damion Lee,2019,GSW,27,49,29,1.1,0,1.1,0.8,0.2,1.8,98.2,88.1,21.4
Damian Lillard,2019,POR,29,58,36.9,0.3,0,0.3,0.3,0.1,10,90,93.8,43.8
Damian Jones,2019,ATL,24,55,16.1,2.4,0.5,2,1.3,0.6,19.4,80.6,89,37.8
DaQuan Jeffries,2019,SAC,22,6,3.2,0.7,0.2,0.5,0.7,0,25,75,100,0
D.J. Wilson,2019,MIL,24,31,9,1.2,0,1.2,0.8,0.2,2.6,97.4,92.3,26.9
D.J. Augustin,2019,ORL,32,49,24.8,0.5,0,0.5,0.3,0,4,96,84.2,10.5
D'Angelo Russell,2019,MIN,24,45,32.3,0.4,0,0.4,0.2,0,0,100,91.7,16.7
Cristiano Felicio,2019,CHI,27,22,17.5,2.5,0.9,1.6,1.7,0.9,35.2,64.8,97.4,50
Courtney Lee,2019,DAL,34,24,14.4,0.7,0,0.7,0.4,0.1,0,100,76.9,15.4
Cory Joseph,2019,SAC,28,64,24,0.7,0,0.7,0.4,0.1,4.3,95.7,82.4,14.7
Collin Sexton,2019,CLE,21,65,33,0.4,0,0.3,0.3,0.1,8.3,91.7,100,17.6
Cody Zeller,2019,CHA,27,58,23.1,3.8,0.5,3.3,2.5,1.1,13.2,86.8,93.5,41.9
Cody Martin,2019,CHA,24,48,18.8,0.8,0.1,0.7,0.5,0.2,12.8,87.2,92.9,35.7
Coby White,2019,CHI,20,65,25.8,0.2,0,0.2,0.2,0.1,0,100,100,36.4
Clint Capela,2019,ATL,26,39,32.8,4.1,0.4,3.7,2.5,1.6,10.1,89.9,94.3,58.1
Christian Wood,2019,DET,24,62,21.4,2,0.3,1.8,1,0.6,13.4,86.6,90,48.6
Chris Silva,2019,MIA,23,41,7.5,1.7,0.4,1.2,1.1,0.4,25,75,86,34
Chris Paul,2019,OKC,35,63,31.8,0.5,0,0.5,0.4,0.1,0,100,92.6,18.5
Chris Clemons,2019,HOU,22,29,8.7,0.3,0,0.3,0.3,0,0,100,100,0
Chris Chiozza,2019,BKN,24,21,11.8,0.2,0,0.2,0.1,0,0,100,66.7,0
Chris Boucher,2019,TOR,27,55,13.2,1,0.1,0.8,0.6,0.3,15.1,84.9,91.2,41.2
Chimezie Metu,2019,SAS,23,16,4.5,0.4,0,0.4,0.2,0.1,0,100,75,25
Cheick Diallo,2019,PHX,23,44,10.6,1.6,0.4,1.2,0.8,0.5,22.9,77.1,90,50
Chasson Randle,2019,GSW,27,3,13.5,0.7,0,0.7,0.3,0,0,100,100,0
Charles Brown Jr.,2019,ATL,23,10,4,0.4,0,0.4,0.3,0,0,100,100,0
Chandler Parsons,2019,ATL,31,5,10.8,0.6,0,0.6,0,0,0,100,0,0
Chandler Hutchison,2019,CHI,24,28,18.8,1,0,1,0.5,0.2,3.4,96.6,88.2,29.4
Cedi Osman,2019,CLE,25,65,29.4,1,0.1,0.9,0.7,0.2,9,91,91.5,31.9
Carsen Edwards,2019,BOS,22,35,9,0.2,0,0.2,0.2,0.1,0,100,100,28.6
Carmelo Anthony,2019,POR,36,50,32.5,2.4,0.3,2.2,1.5,0.8,10.7,89.3,94.9,48.7
Caris LeVert,2019,BKN,25,39,29,0.7,0,0.7,0.6,0.2,0,100,92.3,30.8
Cameron Johnson,2019,PHX,24,49,20.3,1.2,0,1.2,0.7,0.1,1.6,98.4,100,14.3
Cam Reddish,2019,ATL,20,58,26.7,0.5,0,0.5,0.3,0.1,0,100,94.7,31.6
Caleb Swanigan,2019,POR,23,27,10.7,2.6,0.3,2.2,1.5,0.8,13,87,93,53.5
Caleb Martin,2019,CHA,24,18,17.6,1,0.1,0.9,0.4,0.2,5.6,94.4,72.7,27.3
CJ Miles,2019,WAS,33,10,16.1,0.2,0,0.2,0.1,0,0,100,100,0
CJ McCollum,2019,POR,28,62,36,0.6,0,0.5,0.3,0.1,2.9,97.1,78.3,26.1
Buddy Hield,2019,SAC,27,64,32,0.5,0.1,0.5,0.3,0.1,11.8,88.2,91.7,29.2
Bryn Forbes,2019,SAS,26,63,25.1,0.8,0,0.8,0.5,0,0,100,88.9,2.8
Bruno Fernando,2019,ATL,21,56,12.7,2.6,0.6,2,1.4,0.6,22.3,77.7,87.6,39.3
Bruno Caboclo,2019,HOU,24,27,8.1,1.8,0.1,1.7,0.6,0.2,6.1,93.9,85,25
Bruce Brown,2019,DET,23,58,28.2,0.7,0,0.7,0.5,0.1,0,100,92.9,28.6
Brook Lopez,2019,MIL,32,61,26.6,4.3,0.2,4.1,2.8,0.7,3.8,96.2,91.3,23.4
Brian Bowen II,2019,IND,21,5,5.8,0,0,0,0,0,0,0,0,0
Brandon Knight,2019,DET,28,25,18.5,0.6,0,0.6,0.4,0,0,100,81.8,9.1
Brandon Ingram,2019,NOP,22,56,34.3,0.6,0,0.6,0.4,0.2,0,100,92.3,38.5
Brandon Goodwin,2019,ATL,24,34,12.7,0.5,0,0.5,0.3,0.1,0,100,92.3,15.4
Brandon Clarke,2019,MEM,23,50,21.7,2.1,0.3,1.8,1,0.6,12.5,87.5,92.9,51.8
Bradley Beal,2019,WAS,26,57,36,0.5,0,0.5,0.4,0.1,3.3,96.7,96,24
Brad Wanamaker,2019,BOS,30,63,19.3,0.4,0,0.4,0.3,0.1,0,100,100,18.8
Bojan Bogdanovic,2019,UTA,31,63,33.1,1.5,0.1,1.5,0.6,0.1,3.1,96.9,90,22.5
Bogdan Bogdanovic,2019,SAC,27,53,28.5,1.3,0.1,1.2,0.8,0.2,4.5,95.5,90,18
Bobby Portis,2019,NYK,25,66,21.1,4.1,0.6,3.5,2.1,0.9,14.4,85.6,88.9,38.6
Boban Marjanovic,2019,DAL,31,37,9.1,1.4,0.3,1.1,0.9,0.5,21.2,78.8,91.4,54.3
Blake Griffin,2019,DET,31,18,28.5,1.4,0,1.4,0.9,0.3,0,100,100,37.5
Bismack Biyombo,2019,CHA,27,53,19.4,3,0.6,2.4,1.6,0.9,19.6,80.4,85.9,49.5
Ben Simmons,2019,PHI,23,54,35.8,0.7,0.3,0.4,0.3,0.2,42.1,57.9,85.7,57.1
Ben McLemore,2019,HOU,27,63,22.8,0.9,0,0.9,0.6,0.1,1.8,98.2,82.2,13.3
Bam Adebayo,2019,MIA,22,65,34.4,6,0.4,5.6,3.3,1.6,6.9,93.1,89.7,42.6
BJ Johnson,2019,ORL,24,8,5.8,0,0,0,0,0,0,0,0,0
Avery Bradley,2019,LAL,29,49,24.2,1.1,0,1.1,0.8,0.1,3.7,96.3,88.4,11.6
Austin Rivers,2019,HOU,27,60,23.4,0.9,0,0.9,0.7,0.1,3.6,96.4,90.7,16.3
Aron Baynes,2019,PHX,33,42,22.2,4.8,0.7,4.1,2.6,1,14.3,85.7,90.2,33.3
Anzejs Pasecniks,2019,WAS,24,24,16.9,3.4,0.5,2.9,2.1,0.8,14.8,85.2,94.3,34
Antonius Cleveland,2019,DAL,26,6,3.7,0,0,0,0,0,0,0,0,0
Anthony Tolliver,2019,MEM,34,47,15.6,2.3,0.1,2.2,1.1,0.3,5.5,94.5,96.2,30.8
Anthony Davis,2019,LAL,27,55,34.3,1.8,0.4,1.4,1,0.5,21.2,78.8,90.5,41.3
Ante Zizic,2019,CLE,23,22,10,2.3,0.5,1.9,1.5,0.9,19.6,80.4,86.8,52.6
Anfernee Simons,2019,POR,20,65,21.5,0.2,0,0.2,0.1,0,0,100,90,10
Andrew Wiggins,2019,GSW,25,54,34.4,0.7,0.1,0.6,0.5,0.2,17.5,82.5,85.3,32.4
Andre Iguodala,2019,MIA,36,14,18.5,1.5,0,1.5,0.9,0.4,0,100,92.3,46.2
Andre Drummond,2019,CLE,26,57,33,2.6,1.1,1.5,1.9,1.6,43,57,94.8,80.2
Amir Coffey,2019,LAC,22,13,7.5,0.1,0,0.1,0,0,0,100,0,0
Amile Jefferson,2019,ORL,27,18,4.1,0.5,0.1,0.4,0.4,0.2,11.1,88.9,100,42.9
Allonzo Trier,2019,NYK,24,24,12.1,0.1,0,0.1,0.1,0,0,100,100,0
Allen Crabbe,2019,MIN,28,37,17.6,0.2,0,0.2,0.1,0,0,100,100,20
Alize Johnson,2019,IND,24,13,4.1,0.2,0.1,0.1,0.1,0.1,33.3,66.7,100,50
Alfonzo McKinnie,2019,CLE,27,40,14.8,0.5,0.1,0.4,0.3,0.1,10.5,89.5,85.7,21.4
Alex Len,2019,SAC,26,49,18.3,3.4,0.3,3,1.7,0.9,9.1,90.9,87.6,43.3
Alex Caruso,2019,LAL,26,58,17.8,1.2,0,1.2,0.9,0.2,0,100,90.9,21.8
Alen Smailagic,2019,GSW,19,14,9.9,1.6,0.1,1.4,0.8,0.1,9.1,90.9,91.7,16.7
Alec Burks,2019,PHI,28,59,27.3,0.4,0,0.4,0.3,0.1,8,92,80,35
Al-Farouq Aminu,2019,ORL,29,18,21.1,1.9,0.5,1.4,1.1,0.4,26.5,73.5,82.6,34.8
Al Horford,2019,PHI,33,60,30.8,4.7,0.4,4.3,2.6,1.3,7.9,92.1,89.5,43.6
Admiral Schofield,2019,WAS,23,27,10.8,1.2,0,1.1,0.4,0.1,3.1,96.9,85.7,21.4
Adam Mokoka,2019,CHI,21,11,10.2,0.8,0.3,0.6,0.4,0.2,33.3,66.7,100,50
Abdel Nader,2019,OKC,26,48,15.8,0.8,0,0.8,0.4,0.1,0,100,87,26.1
Aaron Holiday,2019,IND,23,58,23.6,0.9,0,0.8,0.6,0.1,4,96,90.2,12.2
Aaron Gordon,2019,ORL,24,58,33,1.1,0.2,0.9,0.7,0.4,21.5,78.5,95.1,51.2
