Player,Season,TEAM,AGE,GP,MIN,Box Outs,OFF Box Outs,DEF Box Outs,Team Reb on Box Outs,Player Reb on Box Outs,% Box Outs Off,% Box Outs Def,% Team Reb When Box Out,% Player Reb When Box Out
Thaddeus Young,2018,IND,31,81,30.7,4.1,0.8,3.3,1.9,0.7,18.8,81.2,86.7,32.8
Theo Pinson,2018,BKN,23,18,11.7,0.4,0,0.4,0.4,0.1,0,100,87.5,25
Thomas Bryant,2018,WAS,21,72,20.8,4.2,0.6,3.6,2.2,0.9,14.5,85.5,90.9,36.9
Thomas Welsh,2018,DEN,23,11,3.3,1.4,0.1,1.4,0.6,0.2,6.3,93.8,75,25
Thon Maker,2018,DET,22,64,15.2,2.9,0.2,2.6,1.3,0.4,8.2,91.8,83.5,24.7
Tim Frazier,2018,MIL,28,59,19,0.8,0.1,0.7,0.4,0.1,13,87,74.2,9.7
Tim Hardaway Jr.,2018,DAL,27,65,31.6,1.4,0.1,1.4,0.8,0.2,3.3,96.7,85.9,20.3
Timothe Luwawu-Cabarrot,2018,CHI,24,50,13.4,1.4,0.1,1.3,0.7,0.2,4.3,95.7,82.5,22.5
Tobias Harris,2018,PHI,26,82,34.7,3.3,0.2,3.1,1.7,0.6,5.9,94.1,89.5,31.4
Tomas Satoransky,2018,WAS,27,80,27,1.9,0.4,1.4,0.9,0.2,22.1,77.9,72.4,13.3
Tony Bradley,2018,UTA,21,3,12,2,0.7,1.3,0.3,0,33.3,66.7,50,0
Tony Parker,2018,CHA,37,56,17.9,0.6,0,0.5,0.3,0.1,3.2,96.8,78.3,13
Tony Snell,2018,MIL,27,74,17.6,1.1,0,1.1,0.6,0.1,1.3,98.7,87.2,10.6
Torrey Craig,2018,DEN,28,75,20,1,0.2,0.8,0.5,0.2,22.7,77.3,74,30
Trae Young,2018,ATL,20,81,30.9,0.3,0,0.3,0.2,0,0,100,93.3,20
Treveon Graham,2018,BKN,25,35,20.4,2.6,0.2,2.4,1.5,0.2,8.8,91.2,89.7,12.1
Trevon Duval,2018,HOU,20,3,1.9,0,0,0,0,0,0,0,0,0
Trevor Ariza,2018,WAS,33,69,34,2.1,0.2,1.9,0.9,0.3,7.7,92.3,91.5,25.4
Trey Burke,2018,DAL,26,58,19.4,0.3,0,0.3,0.2,0,6.3,93.8,83.3,16.7
Trey Lyles,2018,DEN,23,64,17.5,3.1,0.2,2.8,1.3,0.4,7.6,92.4,87.8,26.5
Tristan Thompson,2018,CLE,28,43,27.9,8.5,1.7,6.8,3.8,1.7,20.4,79.6,83.2,37.1
Troy Brown Jr.,2018,WAS,19,52,14,0.6,0,0.6,0.4,0.1,0,100,86.4,31.8
Troy Caupain,2018,ORL,23,4,3.9,0.3,0.3,0,0.3,0,100,0,100,0
Troy Daniels,2018,PHX,27,51,14.9,0.7,0,0.7,0.4,0,5.6,94.4,95.5,0
