Player,Season,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
Al-Farouq Aminu,2017,POR,69,40,29,30,9.3,36,19.2,1.2,1.97,1,0.259,0.9,0.2,2.1,0.234,0.154,0.635
Al Jefferson,2017,IND,36,17,19,13.4,7,26.7,15.9,0.8,1.76,0.42,0.262,2.4,3.8,2,0.424,0.765,0.877
Al Horford,2017,BOS,69,44,25,31.5,12.8,63.5,40,2.3,2.2,1.06,0.201,3.1,5.2,3.8,0.409,0.478,0.693
Adreian Payne,2017,ORL,5,0,5,8.5,4.2,12.4,6.8,0.4,1.77,0.68,0.339,1,0.6,1,0.2,0.667,1
Abdel Nader,2017,BOS,47,32,15,11.1,3.1,13.3,9.9,0.5,2.31,1.46,0.233,0.1,0.1,0.5,0,1,0.455
Aaron Jackson,2017,HOU,1,0,1,34.5,8,62,24,4.8,4.65,4.06,0.129,1,0,4,0,0,0.5
Aaron Harrison,2017,DAL,9,2,7,25.9,6.7,29.2,17.7,1.1,2.35,1.63,0.228,1,0,0.3,0,0,1.333
Aaron Gordon,2017,ORL,58,19,39,32.9,17.6,59.9,31.8,2.4,2.44,1.65,0.294,1.8,2.3,3.9,0.673,0.458,0.974
Aaron Brooks,2017,MIN,32,19,13,5.9,2.3,12.6,4.1,1.1,5.25,5.14,0.186,0,0,0.1,0,0,0
Zhou Qi,2018,HOU,1,0,1,1,2,1,1,0,0.76,0,2,0,0,1,0,0,2
Zhaire Smith,2018,PHI,6,2,4,18.4,6.7,20.2,15.5,0.6,1.79,1.04,0.331,0.7,0,1,0.5,0,1
Zaza Pachulia,2018,DET,68,35,33,12.9,3.9,20.8,12.8,0.6,1.84,0.62,0.189,2.4,1,3.5,0.223,0.333,0.674
Zach Lofton,2018,DET,1,1,0,3.8,0,5,3,0.2,1.83,1.2,0,0,0,0,0,0,0
Zach LaVine,2018,CHI,62,16,46,34.4,23.7,62.9,36.4,4.8,4.57,3.96,0.376,0.8,0.5,1.4,0.8,0.607,1.093
Zach Collins,2018,POR,77,51,26,17.6,6.6,28.4,14.9,0.8,1.63,0.46,0.234,1.9,1.7,3.1,0.421,0.557,0.892
Yuta Watanabe,2018,MEM,15,5,10,11.6,2.6,14.7,8.7,0.5,2.02,1.09,0.177,0.2,0.2,0.5,0,1.333,1
Yogi Ferrell,2018,SAC,71,33,38,15,5.9,30.2,10.3,2.3,4.54,4.12,0.196,0.2,0,0.3,0.8,0,0.7
Yante Maten,2018,MIA,2,1,1,6.5,1,10,3.5,0.2,1.26,0.25,0.1,0,0,1,0,0,0
Wilson Chandler,2018,LAC,50,35,15,22.8,6,29.9,17.1,0.9,1.88,0.75,0.201,1.3,0.5,1.4,0.149,0.167,0.472
Willy Hernangomez,2018,CHA,58,31,27,14,7.3,32.1,16.8,0.8,1.44,0.45,0.226,2.8,1.2,5,0.36,0.58,0.841
Willie Cauley-Stein,2018,SAC,81,39,42,27.3,11.9,44.2,26,1.4,1.85,0.67,0.269,6.4,2.9,8.2,0.38,0.46,0.84
Will Barton,2018,DEN,43,27,16,27.7,11.5,47.2,29.7,2.5,3.23,2.59,0.243,0.5,0.2,1.1,0.6,0.444,0.75
Wesley Matthews,2018,IND,69,27,42,30.3,12.2,36.1,27.4,1.3,2.15,1.31,0.337,0.9,2.7,1.2,0.475,0.478,0.568
Wesley Johnson,2018,WAS,38,17,21,14.1,3.4,14.9,9.5,0.4,1.45,0.61,0.225,0.3,0,0.5,0.364,0,0.889
Wes Iwundu,2018,ORL,68,36,32,18.1,5,18.4,12.5,0.8,2.59,1.72,0.272,0.3,0,0.9,0.81,0.667,0.931
Wendell Carter Jr.,2018,CHI,43,10,33,25.4,10.4,39.8,27.1,1.1,1.67,0.48,0.262,5.8,3.1,6.2,0.356,0.358,0.779
Wayne Selden,2018,CHI,75,27,48,19.2,6.9,23.5,17,1,2.58,1.89,0.291,0.3,0.1,0.6,0.696,0.333,0.6
Wayne Ellington,2018,DET,53,26,27,24.5,10.3,27.7,21.8,0.9,1.91,1.18,0.372,0.3,0,0.3,0.571,0,0.714
Walt Lemon Jr.,2018,CHI,6,1,5,27.9,14.3,66.5,22,5.7,5.17,5.13,0.216,0.7,0,1.2,0.5,0,1.286
Wade Baldwin IV,2018,POR,16,10,6,5.9,1.9,14,3.9,1.4,6.04,5.65,0.134,0,0.1,0.3,0,0,0
Vincent Edwards,2018,HOU,2,1,1,7.9,1.5,7,5,0.1,1.22,0.57,0.214,0,0,0,0,0,0
Vince Carter,2018,ATL,76,25,51,17.5,7.4,31.6,17.8,0.9,1.67,0.71,0.234,0.7,0.6,0.7,0.296,0.489,0.843
Victor Oladipo,2018,IND,36,25,11,31.9,18.8,61.3,35.8,3.9,3.8,3.45,0.306,0.6,0,0.8,0.783,2,0.4
Udonis Haslem,2018,MIA,10,8,2,7.4,2.5,12.2,6.4,0.4,1.95,0.63,0.205,0.6,0.8,1.3,0,0.5,0.923
Tyus Jones,2018,MIN,68,29,39,22.9,6.9,54.4,17.4,4.5,4.92,4.44,0.127,0.2,0,0.3,0.75,0,0.727
Tyson Chandler,2018,LAL,55,26,29,15.9,3.1,18.9,8.4,0.4,1.35,0.23,0.166,1.8,0.1,3.3,0.198,0,0.769
Tyrone Wallace,2018,LAC,62,34,28,10.1,3.5,18.2,8.4,1,3.33,2.99,0.193,0.2,0.1,0.6,0.385,0.25,0.703
Tyreke Evans,2018,IND,69,41,28,20.3,10.2,34.3,21.1,2.3,3.98,3.19,0.298,0.4,0.3,0.8,0.786,0.875,0.818
Tyler Zeller,2018,MEM,6,3,3,15.5,7.7,21.3,16.3,0.6,1.75,0.48,0.359,2.8,0.7,4.3,0.588,1.25,1.115
Tyler Ulis,2018,CHI,1,0,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Lydon,2018,DEN,25,20,5,3.7,0.9,4,2.2,0.1,1.42,0.45,0.228,0.1,0,0.4,0.667,0,0.818
Tyler Johnson,2018,PHX,57,26,31,26.8,10.9,48.5,27.6,2.6,3.23,2.85,0.224,0.6,0,0.9,0.611,0,0.735
Tyler Dorsey,2018,MEM,48,11,37,14.5,6.2,19.7,13.6,0.9,2.7,2.34,0.313,0.3,0,0.6,0.5,0,0.633
Tyler Davis,2018,OKC,1,1,0,0.9,0,1,1,0,1.72,1,0,0,0,1,0,0,0
Tyler Cavanaugh,2018,UTA,11,7,4,3.6,0.8,5.5,2.5,0.1,1.24,0.29,0.148,0,0.1,0.5,0,0,0.667
Troy Williams,2018,SAC,21,7,14,14.9,5.3,17.4,11.1,0.5,1.76,0.7,0.304,0.2,0,0.8,0.8,0,1
Troy Daniels,2018,PHX,51,13,38,14.9,6.2,19.2,13.3,0.7,2.03,1.36,0.324,0.3,0,0.6,0.538,0,0.903
Troy Caupain,2018,ORL,4,3,1,3.9,2.5,5.3,3.8,0.4,4.15,2.38,0.476,0,0,0,0,0,0
Troy Brown Jr.,2018,WAS,51,19,32,14.1,4.8,19.7,12.6,0.9,2.78,2.15,0.245,0.5,0,1,0.462,1,0.627
Tristan Thompson,2018,CLE,43,8,35,27.9,10.9,47.3,26.3,1.7,2.14,0.89,0.231,6,3.1,8.1,0.357,0.343,0.774
Trey Lyles,2018,DEN,64,42,22,17.5,8.5,32.7,19.7,1.1,2.01,0.93,0.261,1,1.6,1.9,0.71,0.524,1.05
Trey Burke,2018,DAL,58,16,42,19.4,10.9,43.8,16.9,3.6,4.94,4.82,0.249,0.2,0.1,0.4,0.714,1,0.577
Trevor Ariza,2018,WAS,68,21,47,34,12.5,53.1,36.8,1.9,2.15,1.16,0.236,0.8,0.6,1.1,0.679,0.359,1.013
Trevon Duval,2018,HOU,3,2,1,1.9,1.7,5.7,2.7,0.5,5.09,4.71,0.294,0,0,0,0,0,0
Treveon Graham,2018,BKN,35,19,16,20.4,5.3,28.4,14.3,0.8,1.65,0.75,0.185,0.1,0.1,1,0,0,0.324
Trae Young,2018,ATL,81,29,52,30.9,19.1,81.3,26.2,7.4,5.49,5.28,0.235,0.5,0,0.9,0.486,1.5,0.616
Torrey Craig,2018,DEN,75,50,25,20,5.7,20.1,13.6,0.6,1.82,0.85,0.285,0.3,0.1,1.9,0.6,0,0.685
Tony Snell,2018,MIL,74,55,19,17.6,6,20.3,12.6,0.6,1.89,1.04,0.296,0.5,0,0.6,0.471,0,0.783
Tony Parker,2018,CHA,56,30,26,17.9,9.5,41.1,13.9,4.2,6.13,6.66,0.231,0.3,0,0.3,0.222,0,0.25
Tony Bradley,2018,UTA,3,2,1,12,5.7,20,11,0.4,1.32,0.4,0.283,2.3,0,5.3,0.429,0,1.063
Tomas Satoransky,2018,WAS,79,31,48,27,8.8,57.2,21.9,3.9,4.06,3.97,0.154,0.8,0.2,1.8,0.569,0.444,0.786
Tobias Harris,2018,PHI,82,46,36,34.7,20,61.2,35.1,3.1,3.02,2.11,0.328,1.3,2.1,2,0.792,0.644,1.066
Timothe Luwawu-Cabarrot,2018,CHI,50,25,25,13.4,4.6,15.3,9.5,0.5,2.05,1.25,0.302,0.1,0,0.6,0.2,0,1
Tim Hardaway Jr.,2018,DAL,64,14,50,31.8,18.2,51.8,33.7,2.3,2.72,1.83,0.352,0.7,0.4,0.8,0.717,1.036,0.959
Tim Frazier,2018,MIL,59,27,32,19,5.3,44.8,17.1,3.1,4.11,3.65,0.117,0.4,0,1,0.391,0,0.633
Thon Maker,2018,DET,64,44,20,15.2,5,23.7,12.8,0.6,1.51,0.42,0.213,0.7,0.2,1.9,0.565,0,0.726
Thomas Welsh,2018,DEN,11,8,3,3.3,1.6,4.8,3.5,0.1,1.78,0.68,0.34,0.3,0.2,0.1,1.333,0,1
Thomas Bryant,2018,WAS,71,28,43,20.9,10.5,35.4,19.2,0.9,1.49,0.37,0.298,2.8,0.6,5.1,0.637,0.525,1.113
Theo Pinson,2018,BKN,18,7,11,11.7,4.5,21.9,10.8,1.4,3.74,2.9,0.205,0.2,0,0.3,0,0,1
Thaddeus Young,2018,IND,81,47,34,30.7,12.6,50.3,27.4,1.5,1.81,0.74,0.251,2.4,5.1,5.2,0.58,0.442,0.882
Thabo Sefolosha,2018,UTA,49,28,21,12.2,3.9,18.4,9.1,0.6,1.9,1.01,0.211,0.2,0.1,0.4,1.111,1.5,0.909
Terry Rozier,2018,BOS,79,47,32,22.7,9,51.9,19.7,3.7,4.22,3.73,0.173,0.3,0,0.5,0.5,0,0.619
Terrence Ross,2018,ORL,79,40,39,26.6,15.1,33.3,24.7,1.4,2.44,1.41,0.455,0.8,0,0.5,1.016,0.5,0.923
Terrence Jones,2018,HOU,2,2,0,2.6,1,8.5,4.5,0.4,2.79,1.41,0.118,0,0,0.5,0,0,2
Terrance Ferguson,2018,OKC,73,43,30,26.1,6.9,16.7,13.4,0.4,1.55,0.75,0.413,0.3,0,0.9,0.522,0,0.968
Taurean Prince,2018,ATL,55,19,36,28.2,13.5,33.8,24.5,1.4,2.57,1.72,0.399,0.2,0.1,0.5,0.667,0,1
Taj Gibson,2018,MIN,70,32,38,24.1,10.8,39.4,21.5,1.1,1.61,0.7,0.273,3.1,3,6.2,0.558,0.603,0.966
Tahjere McCall,2018,BKN,1,0,1,8,4,7,5,0.2,1.75,0.43,0.571,0,0,0,0,0,0
TJ Leaf,2018,IND,58,35,23,9,3.9,11,6.2,0.3,1.61,0.59,0.353,0.8,0.6,1.6,0.659,0.697,1.054
T.J. Warren,2018,PHX,43,10,33,31.6,18,61.5,35.8,2.1,2.08,1.06,0.292,1.1,0.7,1.5,0.745,0.31,1.138
T.J. McConnell,2018,PHI,75,46,29,19.3,6.4,45.8,14.3,3.6,4.71,4.49,0.14,0.3,0,0.7,0.5,0,0.63
Svi Mykhailiuk,2018,DET,42,19,23,10.5,3.2,12.6,7.9,0.5,2.16,1.5,0.251,0.2,0,0.3,0.143,0,0.308
Steven Adams,2018,OKC,79,46,33,33.3,13.8,45,25.2,1.3,1.69,0.52,0.307,5.1,5,12.6,0.515,0.595,0.762
Sterling Brown,2018,MIL,58,45,13,17.8,6.4,22.8,14.1,0.9,2.48,1.68,0.281,0.2,0.1,0.9,0.727,1,0.741
Stephen Curry,2018,GSW,69,52,17,33.8,27.3,76.8,32.3,4.8,3.73,3.45,0.355,1,0.3,1.4,0.845,0.889,0.853
Stanley Johnson,2018,NOP,66,28,38,18.3,6.9,34.5,18.3,1.5,2.56,1.72,0.199,0.3,0.2,0.6,0.545,0.429,0.439
Spencer Dinwiddie,2018,BKN,68,36,32,28.1,16.8,58.5,25.4,5.1,5.2,4.65,0.287,0.3,0,0.3,0.696,0,0.667
Solomon Hill,2018,NOP,44,14,30,20,4.3,27.8,14.9,0.9,2.01,1.17,0.156,0.5,0.2,1.6,0.65,0,0.667
Skal Labissiere,2018,POR,22,12,10,8,3,11.3,5.5,0.4,1.93,0.58,0.27,0.4,1,1.3,0.667,0.5,0.929
Sindarius Thornwell,2018,LAC,64,37,27,4.9,1,5,3,0.2,2.04,1.45,0.193,0.1,0,0.2,0.667,0,0.769
Shelvin Mack,2018,CHA,57,22,35,21.9,7.5,52.5,22.3,4.2,4.79,4.59,0.144,0.7,0.1,0.7,0.357,0.667,0.625
Shaun Livingston,2018,GSW,64,45,19,15.1,4,29.5,13.5,1.6,3.28,2.62,0.137,1,1.1,1.8,0.426,0.377,0.774
Shaquille Harrison,2018,CHI,72,20,52,19.7,6.6,33.2,16,2.1,3.71,3.27,0.198,0.3,0.1,0.7,0.4,0,0.604
Shake Milton,2018,PHI,20,10,10,13.4,4.4,16.8,10.6,0.8,2.92,2.27,0.26,0.2,0,0.5,0.5,0,0.667
Shai Gilgeous-Alexander,2018,LAC,82,48,34,26.5,10.8,53.8,19.7,3.8,4.24,3.92,0.202,0.2,0.2,0.6,0.789,0.615,0.585
Shabazz Napier,2018,BKN,56,26,30,17.6,9.4,36.6,18.1,2.8,4.55,4.08,0.258,0.3,0,0.4,0.444,0,0.583
Seth Curry,2018,POR,74,49,25,18.9,7.9,24.7,16.5,1.5,3.53,2.99,0.317,0.1,0,0.2,0.286,0,0.353
Serge Ibaka,2018,TOR,74,53,21,27.2,15,47.1,28.2,1.3,1.63,0.44,0.319,3.9,2,5.7,0.842,0.655,0.959
Semi Ojeleye,2018,BOS,56,39,17,10.6,3.3,13.7,7.3,0.4,1.74,0.78,0.243,0.3,0.1,0.7,0.714,0,1
Scott Machado,2018,LAL,4,3,1,4.8,2.5,9.3,3.8,0.7,4.39,4.24,0.27,0,0,0.3,0,0,2
Sam Dekker,2018,WAS,46,13,33,16.7,6,23.6,13.5,0.7,1.84,1.03,0.256,0.5,0.2,1.9,0.72,0,0.828
Salah Mejri,2018,DAL,36,13,23,11.1,3.9,21.1,12.1,0.5,1.53,0.34,0.186,1.6,0.1,2.4,0.25,0.5,0.897
Ryan Broekhoff,2018,DAL,42,15,27,10.8,4,13.6,9.4,0.4,1.66,0.78,0.292,0.2,0,0.3,0.571,0,0.846
Ryan Arcidiacono,2018,CHI,80,22,58,24.2,6.7,42.1,17.5,3.1,4.41,4.03,0.16,0.2,0,0.4,0.211,0,0.576
Ryan Anderson,2018,MIA,25,7,18,12.9,2.5,25.7,14.3,0.6,1.5,0.43,0.098,0.4,0.4,0.5,0,0.545,0.385
Russell Westbrook,2018,OKC,72,43,29,36,23,91.1,27,7.7,5.07,4.71,0.252,1.1,1.8,1.9,0.558,0.553,0.776
Rudy Gobert,2018,UTA,80,50,30,31.8,16,59.6,32.6,1.5,1.47,0.36,0.268,4.8,0.7,12.2,0.521,0.273,1.05
Rudy Gay,2018,SAS,69,42,27,26.7,13.7,49.2,24.8,2.3,2.85,1.71,0.279,0.9,2.4,1.6,0.397,0.673,0.872
Royce O'Neale,2018,UTA,81,50,31,20.5,5.2,25.5,17.3,0.9,2.11,1.48,0.206,0.1,0,0.5,0.909,0,0.767
Rondae Hollis-Jefferson,2018,BKN,59,27,32,20.9,8.9,43.4,21.6,1.5,2.03,1.15,0.206,2.2,1.7,2.8,0.52,0.398,0.635
Ron Baker,2018,WAS,15,4,11,10.1,0.9,15.1,6.2,0.9,3.59,3.31,0.062,0.2,0,0.3,0.667,0,0.6
Rodney McGruder,2018,LAC,66,31,35,23.5,7.6,31.9,19.8,1.3,2.39,1.79,0.239,0.6,0,1.4,0.25,0,0.62
Rodney Hood,2018,POR,72,29,43,26.3,11.2,34.5,23.9,1.6,2.87,2.08,0.324,0.4,0.6,0.5,0.452,0.783,0.919
Rodions Kurucs,2018,BKN,63,36,27,20.5,8.5,27.7,15.4,0.8,1.77,1.11,0.306,0.1,0.1,1.9,0.857,0.75,0.893
Robin Lopez,2018,CHI,73,20,53,21.6,9.5,28.5,21.1,1,2.01,0.83,0.333,3.6,4,4.6,0.54,0.761,0.892
Robert Williams III,2018,BOS,32,18,14,8.8,2.5,11.5,6.8,0.3,1.37,0.34,0.22,1,0.2,2.4,0.424,0.667,0.872
Robert Covington,2018,MIN,35,20,15,34.4,13.3,39.9,25.2,1.1,1.73,0.68,0.333,0.6,0.1,1.1,0.9,0,0.9
Ricky Rubio,2018,UTA,67,40,27,27.9,12.7,72.9,31.9,5.4,4.45,4.1,0.174,0.4,0,0.5,0.267,0,0.412
Richaun Holmes,2018,PHX,70,16,54,16.9,8.2,23.7,15.2,0.6,1.65,0.46,0.345,3.2,0.6,5.3,0.537,0.61,1.016
Reggie Jackson,2018,DET,82,41,41,27.9,15.4,69.4,26.1,5.4,4.69,4.21,0.221,0.4,0.2,0.6,0.417,0.467,0.627
Reggie Bullock,2018,LAL,63,27,36,29.8,11.3,38.9,29.3,1.1,1.69,0.74,0.29,0.6,0,0.9,0.556,2,0.607
Raymond Felton,2018,OKC,33,19,14,11.5,4.3,19.1,8.6,1.4,4.55,3.98,0.225,0.1,0,0.1,0,0,0
Ray Spalding,2018,PHX,14,3,11,10.5,3.9,14.4,7.3,0.3,1.34,0.56,0.269,1.1,0.1,3,1,0,0.833
Rawle Alkins,2018,CHI,10,3,7,12,3.7,11.7,8.8,0.5,2.4,1.86,0.316,0.3,0,1.3,0,0,0.385
Raul Neto,2018,UTA,37,26,11,12.8,5.3,29.6,13.1,2.1,4.18,4.41,0.179,0.2,0,0.3,0,0,0.364
Rajon Rondo,2018,LAL,46,19,27,29.8,9.2,71.3,25.5,5.5,4.61,4.02,0.129,0.9,0.1,1.1,0.1,0,0.286
RJ Hunter,2018,BOS,1,1,0,25.7,17,34,27,1.5,2.68,1.65,0.5,1,0,0,0,0,0
Quinn Cook,2018,GSW,74,49,25,14.3,6.9,33.1,16.3,2.1,3.77,3.78,0.208,0.2,0,0.4,0.75,0,0.741
Quincy Pondexter,2018,SAS,53,29,24,5.5,1.8,8.3,5,0.5,3.31,2.28,0.223,0.1,0,0.3,0.667,0,1.278
Quincy Acy,2018,PHX,10,2,8,12.3,1.7,19.7,10.1,0.4,1.27,0.25,0.086,0.7,0.1,1.3,0.286,0,0.538
Paul Millsap,2018,DEN,70,49,21,27.1,12.6,41.5,26.2,1.6,2.33,1.24,0.304,1.4,3.2,4.7,0.416,0.699,0.772
Paul George,2018,OKC,76,45,31,36.9,28,59.7,36.2,3.4,3.39,2.64,0.469,2.1,1.5,2.1,0.764,0.586,0.801
Pau Gasol,2018,MIL,30,17,13,12,3.9,29.7,16.6,0.8,1.62,0.33,0.133,2.5,1.5,2.2,0.289,0.348,0.746
Patty Mills,2018,SAS,82,48,34,23.3,9.9,42.7,16.3,3,4.2,4.4,0.232,0.4,0,0.4,0.4,0,0.829
Patrick Patterson,2018,OKC,62,39,23,13.7,3.7,19.2,8.2,0.4,1.21,0.27,0.192,0.5,0.4,1.2,0.357,0.84,0.63
Patrick McCaw,2018,TOR,29,17,12,13.7,2.6,16.2,9.3,0.6,2.14,1.38,0.157,0.1,0,0.4,0.667,0,0.364
Patrick Beverley,2018,LAC,78,48,30,27.4,7.6,48.8,23.8,2.8,3.42,2.8,0.157,0.4,0,0.9,0,0,0.247
Pat Connaughton,2018,MIL,61,43,18,20.7,6.9,30.4,19.1,1.1,2.11,1.14,0.227,0.6,0,1.9,0.833,0,0.876
Pascal Siakam,2018,TOR,80,57,23,31.8,16.9,59.1,31.4,2.5,2.55,1.74,0.286,1.7,2.3,3.6,0.664,0.651,0.803
PJ Dozier,2018,BOS,6,5,1,8.5,3.2,14.3,9,0.5,1.99,1.23,0.221,0.5,0,1,0,0,1.333
P.J. Tucker,2018,HOU,82,53,29,34.2,7.3,35.7,18.9,0.8,1.29,0.51,0.205,0.7,0.1,1.8,0.407,0,0.384
Otto Porter Jr.,2018,CHI,55,24,31,30,13.8,43.5,24.4,1.6,2.24,1.26,0.318,1,0.8,2.1,0.564,0.667,0.802
Omri Casspi,2018,MEM,36,14,22,14.5,6.3,23.7,15.1,0.8,1.91,0.86,0.265,0.8,0.3,2,0.9,0.667,1.028
Omari Spellman,2018,ATL,46,15,31,17.5,5.9,32.9,18.6,0.8,1.37,0.34,0.18,1.1,0.2,2.9,0.388,0.286,0.614
Okaro White,2018,WAS,3,2,1,2.1,0,3.7,1.7,0.1,2.01,0.91,0,0,0,0.3,0,0,0
OG Anunoby,2018,TOR,67,46,21,20.2,7,24.5,15.1,0.8,1.87,0.98,0.286,0.4,0.3,1.3,0.733,0.455,0.767
Norman Powell,2018,TOR,60,45,15,18.8,8.6,27.3,17.4,1.3,2.86,2.35,0.316,0.3,0,0.7,0.667,1,0.925
Noah Vonleh,2018,NYK,67,13,54,25.3,8.3,49.1,24.1,1.6,1.94,1.1,0.17,1.5,2.7,2.7,0.276,0.534,0.699
Nikola Vucevic,2018,ORL,78,39,39,31.4,20.8,70.6,46.7,2,1.71,0.66,0.295,5.9,9.2,9.7,0.554,0.487,0.901
Nikola Mirotic,2018,MIL,46,24,22,27.1,15.2,48.6,25.1,1.4,1.74,0.6,0.312,0.5,1.7,2.7,1,0.81,1.107
Nikola Jokic,2018,DEN,80,53,27,31.3,20.1,93.5,55.9,3.6,2.33,1.13,0.214,7,7.7,6.7,0.465,0.51,0.846
Nik Stauskas,2018,CLE,68,33,35,14.9,5.9,20.5,14.4,0.8,2.37,1.76,0.286,0.3,0,0.3,0.474,0,0.7
Nicolas Batum,2018,CHA,75,35,40,31.4,9.3,44.1,30.7,1.6,2.24,1.45,0.211,0.4,0.2,1.4,0.633,0.471,0.863
Nick Young,2018,DEN,4,3,1,9.3,2.3,7,4.8,0.2,1.54,0.71,0.321,0,0,0,0,0,0
Nerlens Noel,2018,OKC,76,47,29,13.7,4.9,21.2,9.6,0.5,1.48,0.39,0.232,2.1,0.1,4.3,0.338,0.333,0.889
Nene,2018,HOU,42,29,13,13,3.6,18.2,9.7,0.5,1.77,0.48,0.197,1.9,0.4,2.2,0.704,0.667,0.761
Nemanja Bjelica,2018,SAC,77,38,39,23.2,9.6,39.7,22.6,1.1,1.66,0.68,0.242,0.7,1,3.1,0.418,0.429,1.004
Naz Mitrou-Long,2018,UTA,14,9,5,6,1.1,9.9,4.5,0.7,4.44,4.21,0.115,0.1,0,0.1,0,0,0
Myles Turner,2018,IND,74,43,31,28.6,13.3,50.4,29.4,1.2,1.44,0.46,0.264,3.5,2.3,4.3,0.69,0.626,0.867
Moritz Wagner,2018,LAL,43,15,28,10.4,4.8,15.8,9.7,0.4,1.66,0.76,0.305,0.4,0.7,1.1,0.895,0.621,0.851
Montrezl Harrell,2018,LAC,82,48,34,26.3,16.6,48,32,1.6,1.97,0.86,0.346,4.3,3.9,8.2,0.75,0.611,1.086
Monte Morris,2018,DEN,82,54,28,24,10.4,53.5,22.3,3.9,4.4,4.21,0.194,0.6,0.1,0.6,0.652,0.4,0.673
Mo Bamba,2018,ORL,45,17,28,16.3,6.1,26.3,14.1,0.7,1.58,0.46,0.233,2,1,3.4,0.516,0.488,0.877
Mitchell Robinson,2018,NYK,65,16,49,20.8,7.4,23.6,13.2,0.5,1.35,0.28,0.314,1.7,0.4,6.2,0.372,0.286,1.091
Mitchell Creek,2018,MIN,5,1,4,9.4,4.2,11,8,0.3,1.81,1.18,0.382,1.2,0.2,1,0.833,0,0.8
Milos Teodosic,2018,LAC,15,8,7,10,3.2,22.6,9.7,1.4,3.71,3.22,0.142,0,0,0.1,0,0,1
Miles Plumlee,2018,ATL,18,1,17,9.6,4.4,18,11.1,0.5,1.63,0.48,0.247,1.8,0.2,3.7,0.424,0,0.91
Miles Bridges,2018,CHA,80,38,42,21.2,7.5,26.3,16.4,0.8,1.76,0.88,0.284,0.4,0.6,1.8,0.5,0.409,0.986
Mike Scott,2018,PHI,79,44,35,17.7,5.8,25.9,14,0.7,1.51,0.68,0.224,0.6,0.5,0.9,0.311,0.556,0.735
Mike Muscala,2018,LAL,63,35,28,20.4,7,37.8,19.8,0.8,1.2,0.23,0.186,1.3,0.3,1.7,0.353,0.524,0.611
Mike Conley,2018,MEM,70,30,40,33.5,21.1,83.2,38.2,6.7,4.8,4.37,0.254,1,0.1,0.8,0.625,1,0.643
Mikal Bridges,2018,PHX,82,19,63,29.5,8.3,37.5,23.8,1.1,1.8,0.89,0.222,0.6,0.2,1.1,0.638,0.286,0.82
Michael Kidd-Gilchrist,2018,CHA,64,29,35,18.4,6.7,25.5,14,0.7,1.75,0.99,0.261,0.9,0.4,2.7,0.345,0.458,0.703
Michael Carter-Williams,2018,ORL,28,17,11,13.3,4.8,30.1,8.9,2.5,4.97,4.59,0.159,0.2,0.1,0.8,0.333,0.667,0.727
Michael Beasley,2018,LAL,26,11,15,10.7,7,19.3,12,0.8,2.35,1.4,0.361,1.7,1.4,1.6,0.744,0.432,0.756
Meyers Leonard,2018,POR,61,35,26,14.4,5.9,25.4,15.6,0.7,1.71,0.38,0.23,1.1,0.6,2.4,0.338,0.308,0.866
Melvin Frazier Jr.,2018,ORL,10,8,2,4.4,1.5,4.6,4.1,0.2,2.23,1.48,0.326,0.3,0,0.6,0,0,1
Maxi Kleber,2018,DAL,71,30,41,21.2,6.8,35.7,20.1,0.8,1.36,0.33,0.191,0.6,0.6,2.1,0.326,0.717,0.664
Maurice Harkless,2018,POR,60,37,23,23.6,7.7,29.1,17.4,0.9,1.82,0.82,0.264,0.7,1.5,2.9,0.977,0.652,0.915
Matthew Dellavedova,2018,CLE,48,20,28,16.9,5.9,39,14.8,3.2,4.99,4.78,0.151,0.1,0.3,0.3,0,0.429,0.429
Mason Plumlee,2018,DEN,82,54,28,21.1,7.8,38.3,24.4,1.4,2.13,0.96,0.203,2.8,3.3,6.2,0.296,0.354,0.747
Marvin Williams,2018,CHA,75,35,40,28.4,10.1,37.2,23.4,0.8,1.28,0.47,0.271,0.6,1.1,1.7,0.583,0.444,0.922
Marvin Bagley III,2018,SAC,62,30,32,25.3,14.9,39.3,23.3,1.4,2.07,0.85,0.378,3.3,5.5,5.9,0.574,0.636,1.09
Marquese Chriss,2018,CLE,43,17,26,11.6,4.2,20.4,10.5,0.5,1.5,0.52,0.208,0.7,0.4,2.7,0.276,0.526,0.776
Markieff Morris,2018,OKC,58,24,34,21.9,9.4,31.8,19.7,0.8,1.45,0.51,0.296,1.4,2.9,2.6,0.35,0.647,0.822
Markelle Fultz,2018,ORL,19,12,7,22.5,8.2,52.7,18.5,4.1,4.68,4.47,0.155,0.7,0.2,2.3,0.286,0,0.432
Mario Hezonja,2018,NYK,57,12,45,20.8,9,38.4,18.4,2,3.05,2.02,0.233,0.6,0.2,1.3,0.939,0.667,0.973
Marcus Smart,2018,BOS,80,48,32,27.5,8.9,46.6,23.8,2.6,3.39,2.59,0.19,0.6,1,1.7,0.409,0.341,0.534
