Player,Season,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
LaMarcus Aldridge,2016,SAS,71,52,19,32.4,17.3,54.1,39.8,1.8,2,0.84,0.32,3.5,10.1,5.3,0.29,0.468,0.899
Kyrie Irving,2016,CLE,72,47,25,35.1,25.2,79,30.3,6.7,5.07,4.87,0.319,1.2,0.9,1.5,0.739,0.712,0.667
Kyle Wiltjer,2016,HOU,14,12,2,3.1,0.9,6.1,3.7,0.2,1.59,0.73,0.151,0,0.1,0.2,0,0,0.333
Kyle Singler,2016,OKC,32,15,17,12,2.8,12.5,8.3,0.3,1.58,0.71,0.221,0.3,0,0.5,0.25,0,0.8
Kyle O'Quinn,2016,NYK,79,29,50,15.6,6.3,30.6,17.7,0.9,1.72,0.3,0.205,2.7,1.1,4,0.335,0.382,0.705
Kyle Lowry,2016,TOR,59,35,24,37.5,22.4,84.5,34.6,6.9,4.87,4.44,0.265,0.6,0.3,1.2,0.486,0,0.589
Kyle Korver,2016,CLE,67,33,34,26.2,10.1,29.5,22.1,0.7,1.5,0.58,0.343,0.4,0.1,0.5,0.308,1,0.677
Kyle Anderson,2016,SAS,71,53,18,14.2,3.4,21.2,12.8,0.9,2.5,1.48,0.162,0.3,0.2,1.2,0.211,0.313,0.791
Kristaps Porzingis,2016,NYK,66,26,40,32.8,18.1,60.5,39.8,1.6,1.57,0.48,0.3,4,4,4.9,0.515,0.541,0.871
Kris Humphries,2016,ATL,56,31,25,12.3,4.6,25.6,14.7,0.6,1.49,0.42,0.179,1.9,0.3,2.5,0.245,0.588,0.529
Kris Dunn,2016,MIN,78,30,48,17.1,3.8,34.6,12.2,2.7,4.73,4.09,0.108,0.2,0,0.5,0.5,0,0.619
Kosta Koufos,2016,SAC,71,27,44,20,6.6,29,15.8,0.8,1.58,0.41,0.228,3.1,1.5,6.1,0.436,0.436,0.798
Klay Thompson,2016,GSW,78,66,12,34,22.3,47.8,37.4,1.7,2.07,1.44,0.467,2.1,0.9,2.5,0.657,0.565,1.036
Khris Middleton,2016,MIL,29,19,10,30.7,14.7,54.7,32.3,2.9,3.17,2.35,0.269,1.5,2.2,0.7,0.233,0.462,1.211
Kevon Looney,2016,GSW,53,44,9,8.4,2.5,13.5,8,0.3,1.55,0.47,0.189,0.9,0.5,2.5,0.304,0.077,0.752
Kevin Seraphin,2016,IND,48,23,25,11.2,4.6,16.8,9.8,0.5,1.65,0.52,0.276,1.6,1.8,2.8,0.405,0.614,0.807
Kevin Love,2016,CLE,60,40,20,31.4,19,60,34,1.7,1.72,0.46,0.317,1.9,5.6,4.6,0.345,0.618,0.734
Kevin Durant,2016,GSW,62,51,11,33.4,25.1,61.1,38.4,2.7,2.67,1.63,0.411,2.7,3.7,2.8,0.778,0.489,1.127
Kentavious Caldwell-Pope,2016,DET,76,33,43,33.3,13.8,40.8,32.4,1.5,2.27,1.48,0.338,0.8,0,1.1,0.565,0.667,0.518
Kent Bazemore,2016,ATL,73,39,34,26.9,11,42,27.5,1.7,2.5,1.79,0.261,0.6,0,1.4,0.419,1,0.657
Kenneth Faried,2016,DEN,60,28,32,21.3,9.5,31.3,16.4,0.9,1.68,0.65,0.305,2,1.1,6.3,0.708,0.651,0.934
Kemba Walker,2016,CHA,79,36,43,34.7,23.2,85.9,29.7,8.2,5.75,5.72,0.27,0.5,0,0.7,0.395,0,0.576
Kelly Oubre Jr.,2016,WAS,79,47,32,20.3,6.3,21.8,14.6,0.7,1.88,0.91,0.291,0.3,0.1,1.3,0.56,0.714,0.808
Kelly Olynyk,2016,BOS,75,49,26,20.5,9,42.8,26.7,1.2,1.66,0.58,0.211,1,1.2,3.3,0.623,0.736,0.9
Kay Felder,2016,CLE,42,25,17,9.2,4,18.9,5.8,1.8,5.65,5.95,0.209,0.1,0,0.2,0,0,0.286
Kawhi Leonard,2016,SAS,73,54,19,33.5,25.3,57.5,40.5,3.5,3.71,3.06,0.441,1.7,3.7,2.1,0.691,0.554,0.843
Karl-Anthony Towns,2016,MIN,82,31,51,37,25.1,70.2,43.8,2.3,1.93,0.57,0.358,3.5,11,8.4,0.734,0.592,1.01
KJ McDaniels,2016,BKN,49,28,21,10.3,4.2,11.3,8.1,0.4,2.37,1.5,0.373,0.2,0,0.9,1,1,0.857
Jusuf Nurkic,2016,POR,64,33,31,21.6,10.3,44.3,26.3,1.3,1.78,0.58,0.233,3,5,5.9,0.596,0.53,0.743
Justise Winslow,2016,MIA,18,4,14,34.7,10.9,64.2,33.6,3.3,3.12,2.41,0.17,1.8,0.7,2.7,0.219,0.462,0.5
Justin Holiday,2016,NYK,82,31,51,20,7.7,28,21.1,0.9,1.88,1.05,0.274,0.6,0.1,1.1,0.596,0.8,0.943
Justin Harper,2016,PHI,3,1,2,10.4,4,19.3,13.7,0.4,1.35,0.46,0.207,1.3,0.3,1.3,0.5,0,0.5
Justin Hamilton,2016,BKN,63,14,49,18.3,6.9,32.3,19.6,0.7,1.24,0.37,0.215,1.2,0.7,3.1,0.59,0.319,0.903
Justin Anderson,2016,PHI,74,23,51,16.6,7.2,28.2,18.4,1,2.16,0.92,0.255,0.5,0.1,1.3,0.825,0,0.776
Julius Randle,2016,LAL,74,24,50,28.8,13.2,55.4,31.4,2.4,2.63,1.47,0.238,3,3.3,4.5,0.486,0.407,0.873
Juancho Hernangomez,2016,DEN,61,29,32,13.7,4.9,17.7,10,0.5,1.58,0.58,0.279,0.2,0.3,1.6,1.071,0.438,0.825
Jrue Holiday,2016,NOP,67,32,35,32.7,15.4,82,34.3,5.8,4.25,3.96,0.187,0.6,0.3,1.3,0.333,0.174,0.739
Josh Richardson,2016,MIA,53,23,30,30.5,10.2,50.8,26.5,3.2,3.73,3.23,0.2,0.6,0,0.9,0.233,1,0.388
Josh McRoberts,2016,MIA,22,6,16,17.3,4.9,40.5,22.3,1.4,2.1,0.93,0.12,2.4,1.1,2,0.154,0,0.578
Josh Huestis,2016,OKC,2,0,2,15.4,7,19.5,14,0.4,1.09,0.23,0.359,0,0,1.5,0,0,1.333
Jose Calderon,2016,ATL,41,15,26,13.1,3.4,31.9,13.3,2.2,4.07,3.7,0.108,0.2,0,0.4,0.5,0,0.563
Jordan Mickey,2016,BOS,25,9,16,5.6,1.5,10.1,6.4,0.3,1.64,0.74,0.15,0.5,0.2,1.2,0.615,0,0.733
